Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Start_+_End_Windows,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
Austrolittorina cincta,Paia Point,3.1,,TRUE,0.006,FALSE,,100,0,,7/23/06 12:00,7/23/06 13:07,,7/24/06 8:35,7/24/06 9:38,,0.81,0.9,0.86,2:10:00,9.97,TRUE
Austrolittorina cincta,Paia Point,4.6,,TRUE,0.012,FALSE,,100,0,,7/23/06 10:35,7/23/06 11:10,,7/24/06 9:38,7/24/06 10:39,,0.94,1,0.97,1:36:00,13.04,TRUE
Austrolittorina cincta,Paia Point,3.9,,TRUE,0.007,FALSE,,100,0,,7/23/06 14:09,7/23/06 15:04,,7/24/06 17:34,7/24/06 18:36,,1.1,1.19,1.14,1:57:00,10.96,TRUE
Austrolittorina cincta,Paia Point,4,,FALSE,0.008,FALSE,,100,0,,7/23/06 20:02,7/23/06 21:02,,7/25/06 8:47,7/25/06 10:00,,1.49,1.58,1.54,2:13:00,9.77,TRUE
Austrolittorina cincta,Paia Point,7.3,,TRUE,0.063,FALSE,,100,0,,7/23/06 18:06,7/23/06 19:08,,7/25/06 15:02,7/25/06 16:08,,1.83,1.92,1.87,2:08:00,10.11,TRUE
Austrolittorina cincta,Paia Point,5.1,,TRUE,0.018,FALSE,,100,0,,7/24/06 13:38,7/24/06 14:38,,7/25/06 20:11,7/25/06 21:08,,1.23,1.31,1.27,1:57:00,10.96,TRUE
Austrolittorina cincta,Paia Point,3.9,,FALSE,0.008,FALSE,,100,0,,7/25/06 13:00,7/25/06 14:03,,7/26/06 8:26,7/26/06 9:32,,0.77,0.86,0.81,2:09:00,10.04,TRUE
Austrolittorina cincta,Paia Point,3,,TRUE,0.003,FALSE,,100,0,,7/25/06 11:04,7/25/06 12:09,,7/26/06 12:32,7/26/06 13:32,,1.02,1.1,1.06,2:05:00,10.33,TRUE
Austrolittorina cincta,Paia Point,4.3,,TRUE,0.011,FALSE,,100,0,,7/25/06 19:02,7/25/06 20:05,,7/26/06 13:32,7/26/06 14:35,,0.73,0.81,0.77,2:06:00,10.26,TRUE
Austrolittorina cincta,Paia Point,4.4,,FALSE,0.013,FALSE,,100,0,,7/26/06 8:32,7/26/06 9:37,,7/26/06 22:08,7/26/06 23:06,,0.52,0.61,0.56,2:03:00,10.48,TRUE
Austrolittorina cincta,Paia Point,2.6,,TRUE,0.004,FALSE,,100,0,,7/27/06 8:26,7/27/06 9:40,,7/27/06 18:38,7/27/06 19:37,,0.37,0.47,0.42,2:13:00,9.77,TRUE
Austrolittorina cincta,Paia Point,4.6,,TRUE,0.013,FALSE,,100,0,,7/27/06 19:32,7/27/06 20:34,,7/29/06 8:16,7/29/06 9:17,,1.49,1.57,1.53,2:03:00,10.48,TRUE
Chamaesipho columna,Intertunnel,2.1,,FALSE,,FALSE,,100,0,couldn't see well for 12-24 hr period; Between opercular plates,7/27/06 19:45,,yes,7/29/06 9:50,,yes,1.59,1.59,1.59,0:00:00,100,TRUE
Austrolittorina cincta,Paia Point,4,,FALSE,0.01,FALSE,,100,0,,7/29/06 18:30,7/29/06 19:32,,7/30/06 13:05,7/30/06 14:04,,0.73,0.82,0.77,2:01:00,10.64,TRUE
Austrolittorina cincta,Paia Point,4.5,,TRUE,0.013,FALSE,,100,0,,7/30/06 12:02,7/30/06 13:05,,7/31/06 11:35,7/31/06 12:40,,0.94,1.03,0.98,2:08:00,10.11,TRUE
Risellopsis varia,Paia Point,2.7,1.4,TRUE,0.001,FALSE,,100,0,"not sure prey taken was correct one, found on opposite side of container",7/31/06 12:44,7/31/06 13:39,,7/31/06 22:38,7/31/06 23:37,,0.37,0.45,0.41,1:54:00,11.21,TRUE
Austrolittorina cincta,Paia Point,5.4,,TRUE,0.021,FALSE,,100,0,,7/31/06 11:38,7/31/06 12:44,,8/1/06 13:09,8/1/06 14:08,,1.02,1.1,1.06,2:05:00,10.33,TRUE
Austrolittorina cincta,Paia Point,4.5,,TRUE,0.014,FALSE,,100,0,,7/31/06 16:38,7/31/06 17:36,,8/1/06 16:09,8/1/06 17:04,,0.94,1.02,0.98,1:53:00,11.3,TRUE
Austrolittorina cincta,Paia Point,2.4,,TRUE,0.003,FALSE,,100,0,not sure of ending time,8/1/06 14:06,8/1/06 15:07,,8/2/06 8:07,8/2/06 9:05,,0.71,0.79,0.75,1:59:00,10.79,TRUE
Austrolittorina cincta,Paia Point,3.8,,TRUE,0.01,FALSE,,100,0,,8/1/06 19:13,8/1/06 20:06,,8/2/06 12:03,8/2/06 13:06,,0.66,0.75,0.7,1:56:00,11.04,TRUE
Austrolittorina cincta,Paia Point,2.5,,TRUE,0.001,FALSE,,100,0,,8/2/06 12:05,8/2/06 13:09,,8/2/06 21:07,8/2/06 22:07,,0.33,0.42,0.38,2:04:00,10.4,TRUE
Chamaesipho columna,Intertunnel,1.6,,FALSE,,FALSE,,100,0,"unsure of technique, but through top",8/2/06 10:49,8/2/06 11:16,,8/3/06 5:15,8/3/06 5:30,,0.75,0.78,0.76,0:42:00,25.53,TRUE
Risellopsis varia,Paia Point,3.8,2.4,TRUE,0.006,FALSE,,100,0,,8/3/06 15:35,8/3/06 16:33,,8/3/06 21:39,8/3/06 22:50,,0.21,0.3,0.26,2:09:00,10.04,TRUE
Chamaesipho columna,Intertunnel,2.1,,FALSE,,FALSE,,100,0,"unsure of technique, but through top",8/3/06 5:40,8/3/06 5:50,,8/4/06 7:25,8/4/06 7:27,,1.07,1.07,1.07,0:12:00,54.55,TRUE
Austrolittorina cincta,Paia Point,3.9,,TRUE,0.009,FALSE,,100,0,,8/3/06 20:40,8/3/06 21:41,,8/4/06 13:36,8/4/06 14:41,,0.66,0.75,0.71,2:06:00,10.26,TRUE
