"CensusID","DateID","SiteID","AreaID","SurveyTypeID","CounterID","DielID","TransectID","TimeStart","TimeEnd","TidalZoneID","QuadSizeID","CensusConditions","CensusComments"
3,102,66,2,1,10,1,1,"1899-12-30 17:20:00",,3,1,"Dusk, wind from South, very good tide, p. cloudy","First Channel E. Side; C. radians&ornata up higher& on clean boulders lower than this zone; high Stichaster #s, don't appear to go for Xeno. Thus very low patchy Mytilus cover. ""Mid Mytilus"" zone would probably extend lower if Stichaster weren't present."
4,103,66,5,1,10,2,2,"1899-12-30 18:10:00",,3,1,"clear sky, slight wind, night, cold","Channel 2 West side; Melag. Only around edges of pools, D. niger under boulders higher, Turbo more abund. Lower down among boulders, C. ornata quite large higher up"
7,103,66,2,1,10,1,1,"1899-12-30 15:00:00",,4,1,"P. cloudy, sunny, breeze from SW, sizeable swell","East side Mainland (First) channel"
8,103,66,5,1,10,1,2,"1899-12-30 16:00:00",,4,1,"sunny (although transect is in shade),low swell","position description not written down"
9,105,66,4,2,10,1,3,"1899-12-30 15:00:00",,4,1,"Overcast, wind from south, large waves","East side 2nd channel (""W side 1st finger"")"
10,106,66,4,2,10,1,3,"1899-12-30 17:30:00",,3,1,"dusk, overcast, starting to rain, wind from SW, avg. well, avg. waves","E side 2nd channel (W. side 1st finger)"
12,107,62,4,1,10,1,1,,,4,1,"overcast, relatively low swell","Southside of central outcrop; Quads 4 & 5 done on May 23rd"
13,94,62,4,1,10,1,2,,,4,1,"partly cloudy and sunny","N side of central outcrop; Headlamp used for quad #8. Quads 9 and 10 done on May 24th"
14,97,62,3,1,10,1,1,,,3,1,"clear sunny evening","Probably on west side of main rock, but not recorded, 3 oyster catchers around, 2 southern blackback gulls, 1 foraging in Xenostrobus boulders"
15,108,62,4,1,10,1,2,,,3,1,"clear sky, dusk, slight breeze",
16,109,62,5,2,10,1,3,"1899-12-30 15:00:00",,4,1,"overcast, wind from south, avg. swell and waves","E. side of 2nd outcrop and around corner on N. side"
17,109,62,5,2,10,1,3,"1899-12-30 16:45:00",,3,1,"as before","E. side of 2nd rock and around corner"
18,110,90,2,1,10,1,1,,,3,1,"Partly cloudy, becoming windy SW, overcast, calm at start","In shade"
19,110,90,2,1,10,2,2,,,3,1,"P. cloudy, cold wind, in shade, Dusk at #7 --> ckear sjy cold night","continuation of 1st transect really"
20,111,90,2,1,10,1,1,,,4,1,"overcast, calm, low swell, rain later",
21,111,90,2,1,10,1,2,,,4,1,,"Continued on June 2nd, extension of transect 1"
22,112,90,3,2,10,1,3,"1899-12-30 09:15:00",,3,1,"overcast, v.low swell, no waves, breeze","North side of midfinger"
23,113,90,3,2,10,2,3,"1899-12-30 18:30:00",,4,1,"overcast night, south wind, no waves, v. low swell","North side of middle finger; chitons not out and about yet"
24,114,91,4,1,10,1,1,"1899-12-30 12:30:00",,3,1,"cloudy, no wind, flat - no waves, small swell, clear water","N. side of main rock (#3), into cut btwn rks 3&4"
25,115,91,3,1,10,1,2,"1899-12-30 13:30:00",,3,1,"overcast, flat water, v. small swell","N. side of Channel (rk 2)"
26,114,91,4,1,10,1,1,"1899-12-30 15:00:00",,4,1,"cloudy, low swell, no waves, light breeze from south","N. side of main rock (#3) and cut"
27,115,91,3,1,10,1,2,"1899-12-30 16:00:00",,4,1,"overcast, breeze from south","N side of channel (rk 2)"
28,116,91,2,2,10,1,3,"1899-12-30 12:00:00",,4,1,"mid waves, wind from north, but rock face in shade, crap tide","South side Rock1"
29,116,91,2,2,10,1,3,"1899-12-30 11:00:00",,3,1,"mid waves, wind from north, sunny but rock face in shade, crap tide","South side rock 1"
30,170,66,2,1,10,1,1,,,4,1,"Clear sunny sky, strong wind from S, Good tide","E side 1st channel, 1>5 going seaward"
31,170,66,4,1,10,1,1,"1899-12-30 18:00:00",,3,1,"Clear sunny sky, strong wind from S, good tide","E side 2nd channel"
