"AbundanceID","CensusID","SpeciesID","QuadID","Count","Subsample","SubsampleSize","CountComment"
1,3,114,5,1,FALSE,1,
2,3,132,1,28,FALSE,1,
3,3,132,2,1,FALSE,1,
4,3,132,3,25,FALSE,1,"~20 eggs in Epopella"
5,3,132,4,61,FALSE,1,"~29 eggs in pocked, 15 in crack, 2 in crack, 7 in pocket"
6,3,132,5,27,FALSE,1,"4 eggs in pocket, 19 in crack"
7,3,327,1,80,FALSE,1,
8,3,327,2,10,FALSE,1,"mostly uncombed (?) recruits"
9,3,327,3,4,FALSE,1,
10,3,327,4,42,FALSE,1,
11,3,327,5,47,FALSE,1,
12,3,92,1,6,FALSE,1,
13,3,92,2,0.1,FALSE,1,
14,3,92,3,18,FALSE,1,
15,3,92,4,20,FALSE,1,
17,3,92,5,3,FALSE,1,
18,3,89,2,0.1,FALSE,1,
19,3,336,5,3,FALSE,1,
20,3,19,1,1,FALSE,1,
21,3,19,3,0.1,FALSE,1,
22,3,19,4,0.1,FALSE,1,
23,3,19,5,1,FALSE,1,
24,3,156,1,18,FALSE,1,
25,3,156,3,0.5,FALSE,1,
26,3,156,4,0.5,FALSE,1,
27,3,156,5,18,FALSE,1,
28,3,166,1,0.1,FALSE,1,
29,3,166,3,0.1,FALSE,1,
30,3,166,4,0.1,FALSE,1,
31,3,166,5,0.5,FALSE,1,
32,3,278,1,15,FALSE,1,
33,3,278,2,85,FALSE,1,
34,3,278,3,70,FALSE,1,
35,3,278,4,36,FALSE,1,
36,3,278,5,9,FALSE,1,
37,3,357,3,3,FALSE,1,
38,3,357,4,3,FALSE,1,
39,3,357,5,1,FALSE,1,
40,3,11,5,1,FALSE,1,
41,3,50,1,6,FALSE,1,
42,3,50,3,3,FALSE,1,
43,3,50,4,9,FALSE,1,
44,3,50,5,22,FALSE,1,
45,3,143,4,2,FALSE,1,
46,3,163,3,1,FALSE,1,
47,3,163,4,1,FALSE,1,
48,3,163,5,2,FALSE,1,
49,3,358,1,3,TRUE,0.3,
50,3,358,2,3,FALSE,1,
51,3,358,3,10,FALSE,1,
52,3,358,4,4,FALSE,1,
53,3,358,5,20,FALSE,1,
54,3,359,1,1,TRUE,0.3,
55,3,360,1,2,TRUE,0.3,
56,3,360,3,2,FALSE,1,
57,3,360,4,1,FALSE,1,
58,3,360,5,4,FALSE,1,
59,3,361,2,1,FALSE,1,
60,3,361,4,3,FALSE,1,
61,3,361,5,5,FALSE,1,
62,3,137,1,1,FALSE,1,
63,3,137,4,1,FALSE,1,
64,3,135,1,60,TRUE,0.3,
65,3,135,2,21,FALSE,1,
66,3,135,3,3,FALSE,1,
67,3,135,4,138,FALSE,1,
68,3,135,5,4,FALSE,1,
69,3,183,1,36,FALSE,1,
70,3,183,3,13,FALSE,1,
71,3,183,4,12,FALSE,1,
72,3,183,5,2,FALSE,1,
73,3,304,4,2,FALSE,1,
74,3,304,5,3,FALSE,1,
75,3,342,3,1,FALSE,1,
76,3,23,1,1,FALSE,1,
77,3,23,2,5,FALSE,1,
78,3,23,3,14,FALSE,1,
79,3,23,4,6,FALSE,1,
80,3,23,5,9,FALSE,1,
81,3,84,5,8,FALSE,1,
82,4,114,3,1,FALSE,1,
83,4,114,4,2,FALSE,1,
84,4,132,1,7,FALSE,1,
85,4,132,2,7,FALSE,1,
86,4,132,3,76,FALSE,1,"1 egg in crack"
87,4,132,4,45,FALSE,1,"4 eggs in Epopella"
88,4,132,5,18,FALSE,1,"2 eggs in Epopella"
89,4,327,1,47,FALSE,1,
90,4,327,2,52,FALSE,1,
91,4,327,3,32,FALSE,1,
92,4,327,4,70,FALSE,1,
93,4,327,5,64,FALSE,1,
94,4,92,1,1,FALSE,1,
95,4,92,2,4,FALSE,1,
96,4,92,3,30,FALSE,1,
97,4,92,4,7,FALSE,1,
98,4,92,5,10,FALSE,1,
99,4,336,1,1,FALSE,1,
100,4,336,2,0.5,FALSE,1,
101,4,336,4,4,FALSE,1,
102,4,336,5,5,FALSE,1,
103,4,19,2,0.1,FALSE,1,
104,4,19,3,1,FALSE,1,
105,4,19,4,0.5,FALSE,1,
106,4,19,5,0.1,FALSE,1,
107,4,156,1,0.1,FALSE,1,
108,4,156,2,1,FALSE,1,
109,4,156,3,14,FALSE,1,
110,4,156,4,8,FALSE,1,
111,4,156,5,1,FALSE,1,
112,4,166,2,0.1,FALSE,1,
113,4,166,3,1,FALSE,1,
114,4,166,4,0.1,FALSE,1,
115,4,166,5,0.1,FALSE,1,
116,4,278,1,49,FALSE,1,
117,4,278,2,40,FALSE,1,
118,4,278,3,15,FALSE,1,
119,4,278,4,3,FALSE,1,
120,4,278,5,7,FALSE,1,
121,4,11,2,2,FALSE,1,
122,4,11,3,1,FALSE,1,
123,4,11,4,1,FALSE,1,
124,4,357,1,1,FALSE,1,
125,4,50,1,9,FALSE,1,
126,4,50,2,20,FALSE,1,
127,4,50,3,14,FALSE,1,
128,4,50,4,35,FALSE,1,
129,4,50,5,19,FALSE,1,
130,4,143,5,1,FALSE,1,
131,4,362,4,1,FALSE,1,
132,4,362,5,1,FALSE,1,
133,4,40,2,1,FALSE,1,
134,4,40,3,2,FALSE,1,
135,4,163,1,10,FALSE,1,
136,4,163,2,1,FALSE,1,
137,4,163,3,2,FALSE,1,
138,4,163,4,5,FALSE,1,
139,4,163,5,19,FALSE,1,
140,4,358,1,1,FALSE,1,
141,4,358,2,1,FALSE,1,
142,4,358,3,1,TRUE,0.3,
143,4,358,4,9,TRUE,0.3,
144,4,358,5,4,TRUE,0.3,
145,4,360,3,1,TRUE,0.3,
146,4,360,4,2,TRUE,0.3,
147,4,360,5,9,TRUE,0.3,
148,4,361,1,3,FALSE,1,
149,4,361,2,1,FALSE,1,
150,4,361,3,3,TRUE,0.3,
151,4,361,4,11,TRUE,0.3,
