"QuadDimensionsID","CensusID","QuadID","Diagonal-First","Diagonal-Second","TransectDistance"
1,3,1,87,80,2
2,3,2,72,79,5
3,3,3,81,75,7
4,3,4,75,76,8
5,3,5,80,95,9
7,4,1,75,74,2
8,4,2,96,97,6
9,4,3,88,92,7
10,4,4,88,116,8
11,4,5,83,82,9
13,7,1,72,74,1
14,7,2,83,85,4
15,7,3,78,78,5
16,7,4,100,98,7
17,7,5,90,89,9
18,8,1,74,75,2
19,8,2,75,76,4
20,8,3,75,75,6
21,8,4,81,86,8
22,8,5,79,73,9
23,9,1,73,79,9
24,9,2,78,88,7
25,9,3,74,117,6
26,9,4,78,95,3
27,9,5,95,90,0
28,10,1,96,92,0
29,10,2,93,85,5
30,10,3,75,88,9
31,10,4,94,78,10
32,10,5,106,98,15
33,12,1,74,82,1
34,12,2,76,74,3
35,12,3,100,95,7
36,12,4,73,80,8
37,12,5,93,90,9
38,13,1,90,83,3
39,13,2,80,100,4
40,13,3,82,81,6
41,13,4,79,80,7
42,13,5,89,75,9
43,14,1,72,71,2
44,14,2,90,115,5
45,14,3,72,75,7
46,14,4,93,85,8
47,14,5,70,75,10
48,15,1,75,85,1
49,15,2,100,109,5
50,15,3,88,88,4
51,15,4,77,86,6
52,15,5,76,86,8
53,16,1,97,91,3
54,16,2,80,85,6
55,16,3,86,90,9
56,16,4,110,81,12
57,16,5,102,84,13
58,17,1,101,96,3
59,17,2,83,88,8
60,17,3,106,95,9
61,17,4,77,78,13
62,17,5,84,85,15
65,18,1,80,80,1
66,18,2,86,86,2
67,18,3,85,89,4
68,18,4,75,72,5
69,18,5,105,72,6
70,19,1,90,95,10
71,19,2,70,70,11
72,19,3,105,93,12
73,19,4,87,80,14
74,19,5,84,86,17
75,20,1,85,78,1
76,20,2,85,85,2
77,20,3,87,78,7
78,20,4,96,85,8
79,20,5,105,104,9
80,21,1,84,95,10
81,21,2,109,93,13
82,21,3,89,84,14
83,21,4,81,88,15
84,21,5,75,84,17
85,22,1,76,75,1
86,22,2,81,86,3
87,22,3,79,78,7
88,22,4,80,78,13
89,22,5,89,90,15
90,23,1,92,89,1
91,23,2,88,82,3
92,23,3,89,8,7
93,23,4,81,91,9
94,23,5,79,82,14
95,24,1,77,82,0
96,24,2,90,87,2
97,24,3,79,88,3
98,24,4,80,77,9
99,24,5,89,83,13
100,25,1,81,97,0
