"IndividualID","SiteID","DateID","SpeciesID","StableIsotope","LiveMeasure","Height-MaxLength","Width-BarnacleHeight","Aperature-LimpetHeight","WholeWeight-AirDry","ShellWeight-OvenDry","ShellWeightWithOperculum","TissueWeight-Wet","TissueWetWithOperculum/Plates/Mantle","Operculum/MantleWeight","TissueWeight-OvenDry","ImmersedWholeWeight","FoilNumber","AshFreeDryMass","Comment"
1,21,95,114,FALSE,TRUE,55.9,,,22.784,,FALSE,,FALSE,,,,,,""
2,21,95,114,FALSE,TRUE,51.6,,,18.249,,FALSE,,FALSE,,,,,,""
3,21,95,114,FALSE,TRUE,53.8,,,16.981,,FALSE,,FALSE,,,,,,""
4,21,95,114,FALSE,TRUE,54,,,19.011,,FALSE,,FALSE,,,,,,""
5,21,95,114,FALSE,TRUE,53.8,,,17.604,,FALSE,,FALSE,,,,,,""
6,21,95,114,FALSE,TRUE,58.9,,,25.699,,FALSE,,FALSE,,,,,,""
7,21,95,114,FALSE,TRUE,53.6,,,20.315,,FALSE,,FALSE,,,,,,""
8,21,95,114,FALSE,TRUE,55.8,,,22.673,,FALSE,,FALSE,,,,,,""
9,21,95,114,FALSE,TRUE,51.4,,,16.841,,FALSE,,FALSE,,,,,,""
10,21,95,114,FALSE,TRUE,58,,,23.778,,FALSE,,FALSE,,,,,,""
11,21,95,114,FALSE,TRUE,51.7,,,16.553,,FALSE,,FALSE,,,,,,""
12,21,95,114,FALSE,TRUE,50.5,,,13.286,,FALSE,,FALSE,,,,,,""
13,21,95,114,FALSE,TRUE,53.8,,,18.51,,FALSE,,FALSE,,,,,,""
14,21,95,114,FALSE,TRUE,56.6,,,21.171,,FALSE,,FALSE,,,,,,""
15,21,95,114,FALSE,TRUE,50.8,,,13.859,,FALSE,,FALSE,,,,,,""
16,21,95,114,FALSE,TRUE,55.4,,,20.892,,FALSE,,FALSE,,,,,,""
17,21,95,114,FALSE,TRUE,56.5,,,19.875,,FALSE,,FALSE,,,,,,""
18,21,95,114,FALSE,TRUE,53.2,,,18.344,,FALSE,,FALSE,,,,,,""
19,21,95,114,FALSE,TRUE,54,,,19.308,,FALSE,,FALSE,,,,,,""
20,21,95,114,FALSE,TRUE,55.1,,,16.843,,FALSE,,FALSE,,,,,,""
21,21,95,114,FALSE,TRUE,55.1,,,21.169,,FALSE,,FALSE,,,,,,""
22,21,95,114,FALSE,TRUE,30,,,4.036,,FALSE,,FALSE,,,,,,""
23,21,95,114,FALSE,TRUE,32,,,4.59,,FALSE,,FALSE,,,,,,""
24,21,95,114,FALSE,TRUE,29.6,,,3.329,,FALSE,,FALSE,,,,,,""
25,21,95,114,FALSE,TRUE,31.9,,,4.098,,FALSE,,FALSE,,,,,,""
26,21,95,114,FALSE,TRUE,31.8,,,4.19,,FALSE,,FALSE,,,,,,""
27,21,95,114,FALSE,TRUE,29.8,,,3.701,,FALSE,,FALSE,,,,,,""
28,21,95,114,FALSE,TRUE,32.2,,,4.604,,FALSE,,FALSE,,,,,,""
29,21,95,114,FALSE,TRUE,32.8,,,4.037,,FALSE,,FALSE,,,,,,""
30,21,95,114,FALSE,TRUE,31.7,,,4.086,,FALSE,,FALSE,,,,,,""
31,21,95,114,FALSE,TRUE,31,,,3.681,,FALSE,,FALSE,,,,,,""
32,21,95,114,FALSE,TRUE,32.2,,,4.23,,FALSE,,FALSE,,,,,,""
33,21,95,114,FALSE,TRUE,30.7,,,4.287,,FALSE,,FALSE,,,,,,""
34,21,95,114,FALSE,TRUE,30.2,,,4.101,,FALSE,,FALSE,,,,,,""
35,21,95,114,FALSE,TRUE,31.6,,,4.885,,FALSE,,FALSE,,,,,,""
36,21,95,114,FALSE,TRUE,31.9,,,4.321,,FALSE,,FALSE,,,,,,""
37,21,95,114,FALSE,TRUE,33.1,,,5.628,,FALSE,,FALSE,,,,,,""
38,21,95,114,FALSE,TRUE,30.5,,,4.002,,FALSE,,FALSE,,,,,,""
39,21,95,114,FALSE,TRUE,32,,,3.848,,FALSE,,FALSE,,,,,,""
40,21,95,114,FALSE,TRUE,31.2,,,3.716,,FALSE,,FALSE,,,,,,""
41,21,95,114,FALSE,TRUE,32.1,,,4.577,,FALSE,,FALSE,,,,,,"2 epiphytic Chaemosipho"
42,21,95,114,FALSE,TRUE,33.5,,,4.95,,FALSE,,FALSE,,,,,,""
43,21,95,114,FALSE,TRUE,33.6,,,4.922,,FALSE,,FALSE,,,,,,""
44,21,95,114,FALSE,TRUE,34.7,,,5.281,,FALSE,,FALSE,,,,,,""
45,21,95,114,FALSE,TRUE,33.3,,,4.873,,FALSE,,FALSE,,,,,,""
46,62,50,114,FALSE,TRUE,41.8,,,10.29,,FALSE,,FALSE,,,,,,""
47,62,50,114,FALSE,TRUE,43.5,,,14.575,,FALSE,,FALSE,,,,,,""
48,62,50,114,FALSE,TRUE,41.6,,,10.42,,FALSE,,FALSE,,,,,,""
49,62,50,114,FALSE,TRUE,43,,,10.014,,FALSE,,FALSE,,,,,,""
50,62,50,114,FALSE,TRUE,45.7,,,14.357,,FALSE,,FALSE,,,,,,""
51,62,50,114,FALSE,TRUE,41.1,,,10.238,,FALSE,,FALSE,,,,,,""
52,62,50,114,FALSE,TRUE,43.6,,,13.029,,FALSE,,FALSE,,,,,,""
53,62,50,114,FALSE,TRUE,43.8,,,9.752,,FALSE,,FALSE,,,,,,""
54,62,50,114,FALSE,TRUE,40.6,,,9.994,,FALSE,,FALSE,,,,,,""
55,62,50,114,FALSE,TRUE,41.4,,,10.305,,FALSE,,FALSE,,,,,,""
56,62,50,114,FALSE,TRUE,26.4,,,2.513,,FALSE,,FALSE,,,,,,""
57,62,50,114,FALSE,TRUE,25.7,,,2.695,,FALSE,,FALSE,,,,,,""
58,62,50,114,FALSE,TRUE,28.9,,,4.405,,FALSE,,FALSE,,,,,,""
59,62,50,114,FALSE,TRUE,26.6,,,3.209,,FALSE,,FALSE,,,,,,""
60,62,50,114,FALSE,TRUE,27.3,,,3.227,,FALSE,,FALSE,,,,,,""
61,62,50,114,FALSE,TRUE,14.3,,,0.439,,FALSE,,FALSE,,,,,,""
62,62,50,114,FALSE,TRUE,14.7,,,0.562,,FALSE,,FALSE,,,,,,""
63,62,50,114,FALSE,TRUE,14.5,,,0.504,,FALSE,,FALSE,,,,,,""
64,62,50,114,FALSE,TRUE,13.3,,,0.396,,FALSE,,FALSE,,,,,,""
65,62,50,114,FALSE,TRUE,15,,,0.669,,FALSE,,FALSE,,,,,,""
66,62,50,114,FALSE,TRUE,27.7,,,3.219,,FALSE,,FALSE,,,,,,""
67,83,85,64,TRUE,FALSE,35.9,19.9,22.4,6.1,,TRUE,1.62,FALSE,,,,,,"Upper Horm Turf"
68,83,85,64,TRUE,FALSE,27.3,15.7,17.2,2.91,,FALSE,0.638,FALSE,,,,,,"Mid Horm"
69,83,85,114,TRUE,FALSE,27.2,16.5,21.2,2.83,,FALSE,0.428,FALSE,,,,,,"Upper Bare"
70,83,85,114,TRUE,FALSE,30.1,19,22.8,3.88,,FALSE,0.684,FALSE,,,,,,"Upper Bare"
71,83,85,114,TRUE,FALSE,43,27.9,33.4,9.53,,FALSE,2.163,FALSE,,,,,,"Upper Bare"
72,83,85,64,TRUE,FALSE,42.6,24.7,26.1,10.14,,FALSE,3.585,TRUE,,,,,,"Upper Bare"
