"StableIsotopeID","IndividualID","FoilNumber","ReplicateID","SamplePrepID","CollectionDate","OvenStartDateTime","OvenEndDateTime","SampleWeight","NitrogenWeight","CarbonWeight","Delta-N","Delta-C","Comment"
1,67,38,1,2,,,,1.478,13.77252137,46.90251685,15.435,-13.093,
2,68,32,1,2,,,,1.048,12.76397711,45.68735435,14.71,-13.903,
3,69,18,1,2,,,,0.876,13.84338052,44.85736817,12.947,-13.233,
4,70,22,1,2,,,,0.903,13.49652178,44.19023574,12.931,-11.331,
5,71,34,1,2,,,,1.551,14.84607617,48.8574923,13.286,-13.871,
6,72,44,1,2,,,,0.571,13.61825923,45.29554164,14.606,-13.571,
7,73,42,1,2,,,,1.46,13.88472473,46.85144112,11.373,-14.822,
8,74,12,1,2,,,,0.924,13.04221604,42.59345783,10.768,-13.03,
9,75,14,1,2,,,,0.89,14.22174981,45.16087451,10.416,-12.903,
10,76,48,1,2,,,,1.414,12.16429257,48.00982305,9.74,-14.624,
11,77,46,1,2,,,,1.769,13.0704694,45.88249063,11.263,-13.376,
12,78,16,1,2,,,,0.883,14.07873054,44.28541904,11.553,-13.935,
13,79,36,1,2,,,,1.487,14.10076923,48.38231361,11.243,-14.243,
14,80,30,1,2,,,,1.288,14.06600302,45.60127729,11.567,-13.652,
15,81,40,1,2,,,,1.825,14.69279881,48.25554649,9.792,-14.469,
16,82,26,1,2,,,,1.244,13.2369089,42.84228826,8.476,-10.27,
18,84,8,1,2,,,,0.74,13.78605349,43.78690645,8.728,-10.351,
19,85,10,1,2,,,,0.376,13.7212227,41.50523982,8.94,-10.29,
20,86,24,1,2,,,,1.418,13.30525313,44.71617777,9.183,-14.462,
21,87,6,1,2,,,,0.378,11.92105309,40.8104376,8.683,-13.643,
22,88,28,1,2,,,,0.728,14.08826754,44.37746706,11.367,-15.697,
23,89,20,1,2,,,,1.729,8.9146963,35.24406411,11.585,-13.699,
24,90,2,1,2,,,,0.892,13.93819404,44.55778252,11.382,-15.648,
25,67,37,1,3,,,,1.454,12.12220522,43.8234338,15.173,-13.784,
26,68,31,1,3,,,,1.261,10.6424393,40.68763196,14.328,-14.242,
27,69,17,1,3,,,,0.992,12.63967338,43.41161621,12.59,-13.729,
28,70,21,1,3,,,,1.319,12.57811248,44.37605072,12.382,-11.676,
29,71,33,1,3,,,,1.469,13.75151349,46.54265381,12.929,-13.966,
30,72,43,1,3,,,,1.706,13.84996579,47.13190972,14.324,-13.539,
31,73,41,1,3,,,,1.36,13.66982088,46.34794359,11.166,-14.753,
32,74,11,1,3,,,,1.238,12.17257006,42.66416223,9.456,-14.16,
33,75,13,1,3,,,,1.306,12.03421498,45.04481953,10.054,-13.427,
34,76,47,1,3,,,,0.967,12.24620949,45.45406703,9.56,-14.963,
35,77,45,1,3,,,,1.63,12.24780486,46.3112993,11.021,-13.344,
36,78,15,1,3,,,,0.87,12.7138629,43.16762144,11.227,-14.472,
37,79,35,1,3,,,,1.566,12.95368646,47.73963952,10.845,-14.078,
38,80,29,1,3,,,,0.805,12.41606756,43.065315,10.958,-13.912,
39,81,39,1,3,,,,1.475,13.03320975,45.62417429,9.204,-14.46,
40,82,25,1,3,,,,1.456,12.98210806,43.54717644,8.246,-10.78,
41,83,3,1,3,,,,0.642,12.45564811,42.72560941,8.275,-10.432,
42,84,7,1,3,,,,1.203,12.78274154,44.23605434,8.597,-10.584,
43,85,9,1,3,,,,0.275,8.21019668,28.64664995,7.845,-11.574,
44,86,23,1,3,,,,1.176,12.06354742,41.38827163,8.69,-15.219,
45,87,5,1,3,,,,1.812,10.49263277,40.6176086,8.607,-13.728,
46,88,27,1,3,,,,1.256,12.84556715,43.90963656,10.494,-15.606,
47,89,19,1,3,,,,1.487,10.52996337,42.72657558,11.465,-15.73,
48,90,1,1,3,,,,0.42,11.95452286,40.46309065,10.837,-16.039,
