"ObsID","CensusID","PredID","PredSize","EstimatedPredSize","RepeatObsID","PreyID","PreySize","EstimatedPreySize","Drilling","ObsComment","Tag","TidalZone","PossibleChaemoPred"
4,1,114,26,TRUE,1,39,10,TRUE,FALSE,"Estimated at 2.8cm with fingernail, remeasured next day with calipers.  C. ornata estimated size",,1,FALSE
5,1,114,40,TRUE,1,39,20,TRUE,FALSE,"estimated sizes using fingernail.",,1,FALSE
6,1,114,30,TRUE,1,147,8,TRUE,FALSE,"estimated sizes using fingernail",,1,FALSE
7,2,114,28,FALSE,2,283,0,FALSE,FALSE,"seen day before, incorrect size estimate made",,1,FALSE
8,2,114,34,FALSE,1,283,0,FALSE,FALSE,"In same tide pool on rock 1",,1,FALSE
9,2,114,33,FALSE,1,283,0,FALSE,FALSE,"in same tide pool, rock 1",,1,FALSE
10,2,114,34,FALSE,1,283,0,FALSE,FALSE,"in same tide pool, rock 1",,1,FALSE
11,2,114,27,FALSE,1,283,0,FALSE,FALSE,"in same tide pool, rock 1",,1,FALSE
12,2,114,25,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
13,2,114,29,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
14,2,114,27,FALSE,1,147,16,FALSE,FALSE,"Operculum pulled off, no drilling",,1,FALSE
15,2,114,34,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
16,2,114,26,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
17,2,114,49,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
19,2,114,33,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
20,2,114,29,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
21,2,114,28,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
22,2,114,38,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
23,2,114,48,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
24,2,114,40,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
25,2,114,18,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
26,3,114,38,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
27,3,114,31,FALSE,2,147,10,FALSE,FALSE,,,1,FALSE
28,4,114,36,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
29,4,114,32,FALSE,1,283,0,FALSE,FALSE,"between rocks 2 & 3",,1,FALSE
30,5,114,30,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
31,5,114,34,FALSE,2,283,0,FALSE,FALSE,"All in same tide pool",,1,FALSE
32,5,114,34,FALSE,2,283,0,FALSE,FALSE,"Lost tag, but must be one of previously seen in same tide pool",,1,FALSE
33,5,114,34,FALSE,2,283,0,FALSE,FALSE,"All in same tide pool, only dot of tag remaining",,1,FALSE
34,5,114,28,FALSE,2,283,0,FALSE,FALSE,"Lost tag, but must be one of previously seen in same tide pool",,1,FALSE
36,5,114,28,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
37,5,114,21,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
38,5,114,21,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
39,5,114,29,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
40,5,114,46,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
41,5,114,34,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
42,5,114,31,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
43,5,114,42,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
44,5,114,28,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
45,5,114,22,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
46,5,114,28,FALSE,1,50,18,FALSE,FALSE,,,1,FALSE
47,6,114,28,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
48,6,114,29,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
49,6,114,38,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
50,6,114,48,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
51,6,114,40,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
52,6,114,51,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
53,6,114,34,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
54,6,114,26,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
55,6,114,33,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
56,6,114,30,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
57,6,114,29,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
58,7,114,26,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
59,7,114,18,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
60,8,114,38,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
61,8,114,18,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
62,9,114,36,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
64,10,114,30,FALSE,1,283,0,FALSE,FALSE,"btwn rocks 3 &4",,1,FALSE
65,10,114,27,FALSE,1,283,0,FALSE,FALSE,"btwn rocks 3 &4",,1,FALSE
66,10,114,33,FALSE,1,283,0,FALSE,FALSE,"btwn rocks 3 &4",,1,FALSE
67,10,114,33,FALSE,1,283,0,FALSE,FALSE,"btwn rocks 3 &4",,1,FALSE
68,10,114,27,FALSE,1,283,0,FALSE,FALSE,"btwn rocks 3 &4",,1,FALSE
69,10,114,18,FALSE,1,283,0,FALSE,FALSE,"btwn rocks 3 &4",,1,FALSE
70,10,114,18,FALSE,1,283,0,FALSE,FALSE,"btwn rocks 3 &4",,1,FALSE
71,10,114,20,FALSE,1,283,0,FALSE,FALSE,"btwn rocks 3 &4",,1,FALSE
72,10,114,24,FALSE,3,283,0,FALSE,FALSE,,,1,FALSE
73,10,114,22,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
74,10,114,41,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
75,10,114,35,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
76,10,114,12,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
77,10,114,28,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
78,10,114,21,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
79,10,114,26,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
80,10,114,28,FALSE,3,283,0,FALSE,FALSE,"all in same tide pool",,1,FALSE
81,10,114,34,FALSE,3,283,0,FALSE,FALSE,"all in same tide pool",,1,FALSE
82,10,114,34,FALSE,3,283,0,FALSE,FALSE,"all in same tide pool",,1,FALSE
83,10,114,34,FALSE,3,283,0,FALSE,FALSE,"all in same tide pool",,1,FALSE
84,10,114,24,FALSE,1,323,10,FALSE,FALSE,"siph shell appears to be chipped on side",,1,FALSE
85,10,114,29,FALSE,2,283,0,FALSE,FALSE,,,1,FALSE
86,10,114,28,FALSE,2,283,0,FALSE,FALSE,"tag almost lost",,1,FALSE
87,10,114,17,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
88,10,114,16,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
89,10,114,35,FALSE,1,50,23,FALSE,FALSE,,,1,FALSE
90,11,114,38,FALSE,3,283,0,FALSE,FALSE,,,1,FALSE
91,11,114,48,FALSE,3,283,0,FALSE,FALSE,,,1,FALSE
92,11,114,27,FALSE,1,283,0,FALSE,FALSE,,,1,FALSE
