"SiteID","Site","CoastID","RegionID","NZ N-coordinate","NZ E-coordinate","SiteDescription","FocusSite"
4,"MemorialGardenRocks",2,1,"5866764","2566404","Rocks behind the war memorial on the southern end of downtown Kaikoura",FALSE
5,"EPFSLabRocks",2,1,"5865540","2567382","Edward Percival Field Station",FALSE
7,"SwimmingPoolRocks",2,1,,,"Linear series of rocks behind Kaikoura Swimming Pool",FALSE
8,"AvocaPointNorth",2,1,"5865446","2568244","""Waiopuka Observation Point North"",""Fyffe House Point"" begin N end of cement wall-only shoreside 1/2 til terrain turns ""outcroppy"", then entire shore til  tilted bedding planes end, to Horm surveyed. Channel btwn 2 largest outcrops impassible.",FALSE
9,"AvocaPointSouth",2,1,"5865446","2568244","""Waiopuka Observation Point South"", ""Fyffe House Point"" South of tilted bedding plane substrate of ""north"" site down to the walls of the ""South Wharf"".  Substrate rounded smooth, bubbly rock.  No bedding planes.",FALSE
10,"WhakatuPoint",2,1,"5865651","2568129","Between ""New Wharf"" of Pacifica Inc. and Avoca Point (Fyffe House Point).  Tilted bedding planes.",FALSE
11,"LighthouseReef",2,1,"5864581","2569000","a.k.a. Seal Reef; Smooth, bubbly graywacke. Lots of drift algae in water filled cracks and crevices. Area surveyed aprox 15x30m at base of cliff, south of large crevice starting next to parkinglot steps,",FALSE
14,"WairepoLagoon",2,1,,,"Zostera/silted bay north of seal reef point",FALSE
15,"OaroNorth",2,1,"5854380","2551731",,FALSE
16,"OaroMid",2,1,"5853711","2551503",,FALSE
17,"OaroSouth",2,1,"5853593","2551499",,FALSE
18,"OtumatuRock",2,1,"5858017","2553518","Exposed point - Durvillea, coralline crust and Porphyra on barnacles only. Lepsiella present, C. ornata, radians.",FALSE
19,"FirstBay",2,1,"5864336","2568788","Kaikoura Peninsula, south of Seal Reef.  Area 1 on southern side of First Bay between two main channels. Area 2 on outer side of point, on other side of the Horm and Coralline dominated flat platform.",FALSE
20,"BlueDuck",2,1,"5880618","2573680","Very exposed - Durv and paint.  Mussels abundant, no whelks.  Mostly boulders rather than platform of smooth dark grey rock with shallow crack structure, and crevice pools. Boulder beach and outcrop (Anne's site) north, sand beach south.",FALSE
21,"LimestoneBayPoint",2,1,"5864282","2566550","East side of Limestone bay on the western side of South Bay, Kaikoura Peninsula. Inland of Baxter's Reef.",FALSE
22,"Raramai",2,1,"5860822","2555403","Exposed shore-Durvillea, coralline (paint and turf) mussel, barnacle dominated.Horm in crevices. Usual prey species.Menge's sites (Area1) next to tunnel.Area two next outcrop north Area 3 outcrop north of 2 w/ high pinnacle. Pinnac's northside inaccessibl",FALSE
23,"WardBeach",2,2,"5928089","2608283","South of Cape Campbell; coordinates given for Area 2; Area 1 coordinates: E2608266 N5928127",FALSE
24,"Opunake",4,7,"6193622","2583053","Old Wharf breakwater, Lepsiella in very good number (most seen to date)",FALSE
25,"TungutuPoint",6,9,"6520092","2664820","Sheltered - Mahurangi West - Harbour",FALSE
26,"TeWerahiNorth",5,8,"6751503","2481366","At north end of beach SW of Cape Reinga",FALSE
27,"TapotupotuBayWest",5,8,"6751887","2484669","after first channel with overhanging outcrop on west end of beach",FALSE
28,"TapotupotuBayEast",6,8,"6751826","2485006",,FALSE
