"IndividualID","CensusID","TideZoneID","SpeciesID","Size","SizeComment"
1,1,4,132,16,
2,1,4,132,12,
3,1,4,132,17,
4,1,4,132,15,
5,1,4,132,12,
6,1,4,132,14,
7,1,4,132,14,
8,1,4,132,17,
9,1,4,132,13,
10,1,4,132,15,
11,1,4,132,11,
12,1,4,132,11,
13,1,4,132,13,
14,1,4,132,17,
15,1,4,132,13,
16,1,4,132,10,
17,1,4,132,14,
18,1,4,132,13,
19,1,4,132,16,
20,1,4,132,12,
21,1,4,132,12,
22,1,4,132,12,
23,1,4,132,15,
24,1,4,132,14,
25,1,4,132,17,
26,1,4,132,12,
27,1,4,132,12,
28,1,4,132,15,
29,1,4,132,15,
30,1,4,132,13,
31,1,4,132,10,
32,1,4,132,14,
33,1,4,132,12,
34,1,4,132,13,
35,1,4,132,12,
36,1,4,132,12,
37,1,4,132,15,
38,1,4,132,15,
39,1,4,132,12,
40,1,4,132,15,
41,1,4,132,13,
42,1,4,132,12,
43,1,4,132,12,
44,1,4,132,13,
45,1,4,132,10,
46,1,4,132,16,
47,1,4,132,11,
48,1,4,132,13,
49,1,4,132,13,
50,1,4,132,10,
51,1,4,132,11,
52,1,4,132,11,
53,1,4,132,13,
54,1,4,132,13,
55,1,4,132,11,
56,1,4,132,15,
57,1,4,132,13,
58,1,4,132,13,
59,1,4,132,15,
60,1,4,132,11,
61,1,4,132,12,
62,1,4,132,10,
63,1,4,132,11,
64,1,4,132,12,
65,1,4,132,13,
66,1,4,132,10,
67,1,4,132,12,
68,1,4,132,16,
69,1,4,132,14,
70,1,4,132,10,
71,1,4,132,13,
72,1,4,132,16,
73,1,4,132,11,
74,1,4,132,11,
75,1,4,132,12,
76,1,4,132,16,
77,1,4,132,13,
78,1,4,132,12,
79,1,4,132,11,
80,1,4,132,12,
81,1,4,132,14,
82,1,4,132,13,
83,1,4,132,13,
84,1,4,132,13,
85,1,4,132,8,
86,1,4,132,12,
87,1,4,132,7,
88,1,4,132,7,
89,1,4,132,13,
90,1,4,132,14,
91,1,4,132,13,
92,1,4,132,12,
93,1,4,132,12,
94,1,4,132,13,
95,1,4,132,16,
96,1,4,132,13,
97,1,4,132,14,
98,1,4,132,12,
99,1,4,132,14,
100,1,4,132,11,
101,1,4,132,12,
102,1,4,132,16,
103,1,4,132,12,
104,1,4,132,12,
105,1,4,132,7,
106,1,4,132,15,
107,1,4,132,11,
108,1,4,132,10,
