Site,Picture,Species,Indiv,Area,Length
JacksonHead,3394,Chamaesipho columna,1,2.592,2.469
JacksonHead,3394,Chamaesipho columna,2,2.027,1.77
JacksonHead,3394,Chamaesipho columna,3,1.684,1.631
JacksonHead,3394,Chamaesipho columna,4,1.928,2.162
JacksonHead,3394,Chamaesipho columna,5,1.121,1.199
JacksonHead,3394,Chamaesipho columna,6,0.784,1.324
JacksonHead,3394,Chamaesipho columna,7,3.013,2.094
JacksonHead,3394,Chamaesipho columna,8,2.185,2.07
JacksonHead,3394,Chamaesipho columna,9,0.904,1.563
JacksonHead,3394,Chamaesipho columna,10,0.47,0.989
JacksonHead,3394,Chamaesipho columna,11,1.427,1.613
JacksonHead,3394,Chamaesipho columna,12,1.312,1.666
JacksonHead,3394,Chamaesipho columna,13,1.617,1.6
JacksonHead,3394,Chamaesipho columna,14,1.303,1.67
JacksonHead,3394,Chamaesipho columna,15,0.403,0.646
JacksonHead,3394,Chamaesipho columna,16,1.303,1.234
JacksonHead,3394,Chamaesipho columna,17,1.564,1.826
JacksonHead,3394,Chamaesipho columna,18,2.304,1.234
JacksonHead,3394,Chamaesipho columna,19,1.334,1.464
JacksonHead,3394,Chamaesipho columna,20,1.812,1.873
JacksonHead,3394,Chamaesipho columna,21,1.706,1.403
JacksonHead,3394,Chamaesipho columna,22,1.112,1.631
JacksonHead,3394,Chamaesipho columna,23,1.725,1.517
JacksonHead,3394,Chamaesipho columna,24,2.047,1.483
JacksonHead,3394,Chamaesipho columna,25,0.523,0.936
JacksonHead,3394,Chamaesipho columna,26,0.337,1.031
JacksonHead,3394,Chamaesipho columna,27,1.103,1.449
JacksonHead,3394,Chamaesipho columna,28,1.755,1.563
JacksonHead,3394,Chamaesipho columna,29,1.281,1.297
JacksonHead,3394,Chamaesipho columna,30,1.074,1.502
OkahuPoint,3425,Chamaesipho columna,1,0.518,0.811
OkahuPoint,3425,Chamaesipho columna,2,0.612,1.078
OkahuPoint,3425,Chamaesipho columna,3,1.859,1.913
OkahuPoint,3425,Chamaesipho columna,4,0.733,1.093
OkahuPoint,3425,Chamaesipho columna,5,0.646,1.351
OkahuPoint,3425,Chamaesipho columna,6,0.564,0.955
OkahuPoint,3425,Chamaesipho columna,7,0.867,1.043
OkahuPoint,3425,Chamaesipho columna,8,0.874,1.311
OkahuPoint,3425,Chamaesipho columna,9,1.691,1.681
OkahuPoint,3425,Chamaesipho columna,10,1.124,1.282
OkahuPoint,3425,Chamaesipho columna,11,0.614,0.882
OkahuPoint,3425,Chamaesipho columna,12,0.654,0.807
OkahuPoint,3425,Chamaesipho columna,13,1.235,1.026
OkahuPoint,3425,Chamaesipho columna,14,1.059,1.232
OkahuPoint,3425,Chamaesipho columna,15,1.441,1.39
OkahuPoint,3425,Chamaesipho columna,16,1.057,1.173
OkahuPoint,3425,Chamaesipho columna,17,0.512,0.819
OkahuPoint,3425,Chamaesipho columna,18,0.458,0.492
OkahuPoint,3425,Chamaesipho columna,19,1.112,1.15
OkahuPoint,3425,Chamaesipho columna,20,1.097,1.229
OkahuPoint,3425,Chamaesipho columna,21,1.128,1.28
OkahuPoint,3425,Chamaesipho columna,22,1.322,1.282
OkahuPoint,3425,Chamaesipho columna,23,0.602,0.927
OkahuPoint,3425,Chamaesipho columna,24,1.089,1.28
OkahuPoint,3425,Chamaesipho columna,25,2.03,1.449
OkahuPoint,3425,Chamaesipho columna,26,0.841,1.147
OkahuPoint,3425,Chamaesipho columna,27,1.227,0.835
OkahuPoint,3425,Chamaesipho columna,28,0.77,1.373
OkahuPoint,3425,Chamaesipho columna,29,0.836,0.927
OkahuPoint,3425,Chamaesipho columna,30,0.827,1.295
PaiaPoint,3535,Chamaesipho columna,1,2.907,2.219
PaiaPoint,3535,Chamaesipho columna,2,0.803,0.936
