SpeciesName,AnalysisGroup,AnalysisGroup2,AnalysisGroup3,IGgroup,IGgroupHigh,IGgroupMid,IGgroupLow,Phylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus
Acanthochitona zelandica,Chitons,Chiton,Chiton,IGPredPrey,NA,NA,IGPredPrey,Mollusca,Polyplacophora,Neoloricata,,,Acanthochitonina,,,,Acanthochitonidae,Acanthochitoninae,Acanthochitona
Atalacmea fragilis,Notoacmid limpets,Limpet - Acmid,Notoacmid limpet,IGPredPrey,NA,NA,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Lottidae,,Atalacmea
Aulacomya atra maoriana,Mussels,Bivalve - Mussel,Mussel,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Bivalvia,Pteriomorpha,,,Mytiloida,,,,Mytilidae,Modiolinae,Aulacomya
Austrolittorina antipodum,Austrolittorines,Snail,Austrolittorine snail,IGPreyPrey,IGPreyPrey,IGPreyPrey,IGSharedPrey,Mollusca,Gastropoda,Prosobranchia,Apogastropoda,Caenogastropoda,Neotaenioglossa,,,Littorinoidea,Littorinidae,Littorininae,Austrolittorina
Austrolittorina cincta,Austrolittorines,Snail,Austrolittorine snail,IGPreyPrey,IGPreyPrey,IGPreyPrey,IGSharedPrey,Mollusca,Gastropoda,Prosobranchia,Apogastropoda,Caenogastropoda,Neotaenioglossa,,,Littorinoidea,Littorinidae,Littorininae,Austrolittorina
Balanus sp,Barnacles,Barnacle - Acorn,Barnacle,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Arthropoda,Maxillopoda,Thecostraca,Cirripedia,Thoracica,Sessilia,,,,Balanidae,,Balanus
Buccinulum multilineum,Other Count,Whelk,Whelk,IGPredPrey,NA,IGPredPrey,NA,Mollusca,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Buccinulidae,Buccinulinae,Buccinulum
Buccinulum sp,Other Count,Whelk,Whelk,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Buccinulidae,Buccinulinae,Buccinulum
Calantica spinosa,Barnacles,Barnacle - Gooseneck,Barnacle,IGSharedPrey,NA,NA,IGSharedPrey,Arthropoda,Maxillopoda,Thecostraca,Cirripedia,Thoracica,Pedunculata,,,,Calanticidae,,Calantica
Calantica villosa,Barnacles,Barnacle - Gooseneck,Barnacle,IGSharedPrey,NA,NA,IGSharedPrey,Arthropoda,Maxillopoda,Thecostraca,Cirripedia,Thoracica,Pedunculata,,,,Calanticidae,,Calantica
Cantharidella tesselata,Other Count,Snail,Snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,Trochoidea,Trochidae,Trochinae,Cantheridella
Cellana denticulata,Cellana limpets,Limpet,Cellanid limpet,IGPredPrey,NA,NA,IGSharedPrey,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Nacellidae,,Cellana
Cellana ornata,Cellana limpets,Limpet,Cellanid limpet,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Nacellidae,,Cellana
Cellana radians,Cellana limpets,Limpet,Cellanid limpet,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Nacellidae,,Cellana
Cellana stellifera,Cellana limpets,Limpet,Cellanid limpet,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Nacellidae,,Cellana
Chamaesipho brunnea,Barnacles,Barnacle - Acorn,Barnacle,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Arthropoda,Maxillopoda,Thecostraca,Cirripedia,Thoracica,Sessilia,,,Chthamaloidea,Chthamalidae,,Chamaesipho
Chamaesipho columna,Barnacles,Barnacle - Acorn,Barnacle,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Arthropoda,Maxillopoda,Thecostraca,Cirripedia,Thoracica,Sessilia,,,Chthamaloidea,Chthamalidae,,Chamaesipho
Chamaesipho spp,Barnacles,Barnacle - Acorn,Barnacle,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Arthropoda,Maxillopoda,Thecostraca,Cirripedia,Thoracica,Sessilia,,,Chthamaloidea,Chthamalidae,,Chamaesipho
Chiton glaucus,Chitons,Chiton,Chiton,IGSharedPrey,NA,NA,IGSharedPrey,Mollusca,Polyplacophora,Neoloricata,,,Ischnochitonina,,,,Chitonidae,,Chiton
Cominella adspersa,Other Count,Whelk,Whelk,NA,NA,NA,NA,Mollusca,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Buccinulidae,Cominellinae,Cominella
Crassostrea gigas,Other Cover,Bivalve,Other bivalve,IGPreyPrey,IGPreyPrey,IGPreyPrey,IGPreyPrey,Mollusca,Bivalvia,Pteriomorphia,,,Ostreoida,,,Ostreoidea,Ostreidae,,Crassostrea
Dicathais orbita,Other Count,Whelk,Whelk,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Muricidae,,Dicathais
Diloma aethiops,Other Count,Snail,Dilomid snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,Trochoidea,Trochidae,Trochinae,Diloma
Diloma arida,Other Count,Snail,Dilomid snail,IGPredPrey,IGPredPrey,IGPredPrey,NA,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,Trochoidea,Trochidae,Trochinae,Diloma
Diloma bicanaliculata,Other Count,Snail,Dilomid snail,IGPredPrey,IGPredPrey,IGPredPrey,NA,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,Trochoidea,Trochidae,Trochinae,Diloma
Diloma nigerrima,Other Count,Snail,Dilomid snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,Trochoidea,Trochidae,Trochinae,Diloma
Diloma zelandica,Other Count,Snail,Dilomid snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,Trochoidea,Trochidae,Trochinae,Diloma
Eatoniella sp,Other Count,Snail,Snail,IGPredPrey,NA,NA,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Neotaenioglossa,,,,Eatoniellidae,,Eatoniella
