Site,IndexSpecies.SpeciesName,IndexSpecies_1.SpeciesName
CapeFoulwind,Haustrum haustorium,Cantharidella tesselata
CapeFoulwind,Haustrum haustorium,Cellana ornata
CapeFoulwind,Haustrum haustorium,Haustrum scobina
CapeFoulwind,Haustrum haustorium,Paratrophon patens
CapeFoulwind,Haustrum haustorium,Patelloida corticata
CapeFoulwind,Haustrum haustorium,Siphonaria australis
CapeFoulwind,Haustrum haustorium,UNID Barnacle
JacksonHead,Haustrum haustorium,Haustrum scobina
JacksonHead,Haustrum haustorium,Patelloida corticata
JacksonHead,Haustrum haustorium,Siphonaria australis
OkahuPoint,Haustrum haustorium,Diloma arida
OkahuPoint,Haustrum haustorium,Patelloida corticata
OkahuPoint,Haustrum haustorium,Siphonaria australis
OkahuPoint,Haustrum haustorium,Turbo smaragdus
OkahuPoint,Haustrum scobina,Risellopsis varia
PaiaPoint,Haustrum haustorium,Calantica spinosa
PaiaPoint,Haustrum haustorium,Cellana denticulata
PaiaPoint,Haustrum haustorium,Cellana ornata
PaiaPoint,Haustrum haustorium,Diloma aethiops
PaiaPoint,Haustrum haustorium,Haustrum scobina
PaiaPoint,Haustrum haustorium,Siphonaria australis
PaiaPoint,Haustrum scobina,Mytilus galloprovincialis
Rakautara,Haustrum haustorium,Cellana ornata
Rakautara,Haustrum haustorium,Cellana radians
Rakautara,Haustrum haustorium,Chamaesipho brunnea
Rakautara,Haustrum haustorium,Chamaesipho columna
Rakautara,Haustrum haustorium,Patelloida corticata
Rakautara,Haustrum haustorium,Sypharochiton pelliserpentis
Rakautara,Haustrum scobina,Perna canaliculus
TaurangaHead,Haustrum haustorium,Calantica spinosa
TaurangaHead,Haustrum haustorium,Cantharidella tesselata
TaurangaHead,Haustrum haustorium,Chamaesipho columna
TaurangaHead,Haustrum haustorium,Diloma aethiops
TaurangaHead,Haustrum haustorium,Diloma arida
TaurangaHead,Haustrum haustorium,Diloma bicanaliculata
TaurangaHead,Haustrum haustorium,Diloma nigerrima
TaurangaHead,Haustrum haustorium,Haustrum scobina
TaurangaHead,Haustrum haustorium,Paratrophon patens
TaurangaHead,Haustrum haustorium,Patelloida corticata
TaurangaHead,Haustrum haustorium,Plaxiphora caelata
TaurangaHead,Haustrum haustorium,Siphonaria australis
TaurangaHead,Haustrum haustorium,Sypharochiton pelliserpentis
TaurangaHead,Haustrum haustorium,Turbo smaragdus
TaurangaHead,Haustrum haustorium,Xenostrobus pulex
