Site,Year,Date,CensusID,DayNight,TideZone,IndexSpecies.SpeciesName,IndexSpecies_1.SpeciesName
TaurangaHead,2004,7/1/2004,197,Night,General_Unspecified,Paratrophon patens,Mytilus galloprovincialis
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Xenostrobus pulex
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Xenostrobus pulex
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Xenostrobus pulex
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Xenostrobus pulex
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Xenostrobus pulex
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Chamaesipho columna
TaurangaHead,2004,7/1/2004,196,Night,General_Unspecified,Paratrophon patens,Not Feeding
TaurangaHead,2004,7/1/2004,196,Night,General_Unspecified,Paratrophon patens,Not Feeding
TaurangaHead,2004,7/1/2004,196,Night,General_Unspecified,Paratrophon patens,Epopella plicata
TaurangaHead,2004,7/1/2004,197,Night,General_Unspecified,Paratrophon patens,Not Feeding
TaurangaHead,2004,7/1/2004,197,Night,General_Unspecified,Paratrophon patens,Not Feeding
TaurangaHead,2004,7/1/2004,197,Night,General_Unspecified,Paratrophon patens,Not Feeding
TaurangaHead,2004,7/1/2004,197,Night,General_Unspecified,Paratrophon patens,Not Feeding
TaurangaHead,2004,7/1/2004,197,Night,General_Unspecified,Paratrophon patens,Not Feeding
TaurangaHead,2004,7/1/2004,197,Night,General_Unspecified,Paratrophon patens,Not Feeding
TaurangaHead,2004,7/1/2004,197,Night,General_Unspecified,Paratrophon patens,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
CapeFoulwind,2006,5/29/2006,594,Day,General_Unspecified,Haustrum scobina,Not Feeding
