CensusID,Site,TimeStart,TimeEnd,Expr1,SpeciesName
582,TaurangaHead,1:50,4:00,130,Buccinulum sp
582,TaurangaHead,1:50,4:00,130,Cominella maculosa
582,TaurangaHead,1:50,4:00,130,Paratrophon patens
582,TaurangaHead,1:50,4:00,130,Haustrum haustorium
455,TaurangaHead,5:57,8:04,127,Haustrum haustorium
583,TaurangaHead,4:00,6:00,120,Paratrophon patens
583,TaurangaHead,4:00,6:00,120,Haustrum haustorium
812,PaiaPoint,12:00,13:53,113,Haustrum haustorium
812,PaiaPoint,12:00,13:53,113,Haustrum lacunosus
812,PaiaPoint,12:00,13:53,113,Buccinulum sp
483,PaiaPoint,18:45,20:30,105,Haustrum haustorium
355,PaiaPoint,9:14,10:54,100,Haustrum scobina
353,PaiaPoint,8:43,10:19,96,Buccinulum sp
353,PaiaPoint,8:43,10:19,96,Haustrum haustorium
711,TaurangaHead,20:05,21:37,92,Haustrum haustorium
711,TaurangaHead,20:05,21:37,92,Cominella maculosa
711,TaurangaHead,20:05,21:37,92,Paratrophon patens
442,TaurangaHead,6:50,8:22,92,Haustrum haustorium
442,TaurangaHead,6:50,8:22,92,Buccinulum sp
369,TaurangaHead,18:06,19:37,91,Paratrophon patens
369,TaurangaHead,18:06,19:37,91,Haustrum haustorium
741,JacksonHead,7:23,8:54,91,Haustrum haustorium
540,OkahuPoint,17:00,18:29,89,Haustrum haustorium
464,TaurangaHead,20:30,21:58,88,Paratrophon patens
464,TaurangaHead,20:30,21:58,88,Haustrum haustorium
340,TaurangaHead,7:15,8:42,87,Haustrum haustorium
340,TaurangaHead,7:15,8:42,87,Paratrophon patens
340,TaurangaHead,7:15,8:42,87,Buccinulum sp
735,OkahuPoint,15:19,16:46,87,Haustrum scobina
329,TaurangaHead,14:02,15:27,85,Haustrum scobina
666,OkahuPoint,9:42,11:07,85,Haustrum haustorium
676,PaiaPoint,7:52,9:16,84,Haustrum scobina
728,OkahuPoint,15:33,16:57,84,Haustrum haustorium
479,Rakautara,18:08,19:32,84,Dicathais orbita
479,Rakautara,18:08,19:32,84,Haustrum haustorium
314,PaiaPoint,9:30,10:54,84,Haustrum scobina
457,TaurangaHead,8:16,9:40,84,Haustrum haustorium
759,OkahuPoint,18:37,20:00,83,Haustrum haustorium
352,PaiaPoint,8:16,9:39,83,Buccinulum sp
