IndexSpecies.SpeciesName,IndexSpecies_1.SpeciesName
Haustrum haustorium,Acanthochitona zelandica
Haustrum haustorium,Atalacmea fragilis
Haustrum haustorium,Austrolittorina antipodum
Haustrum haustorium,Austrolittorina cincta
Haustrum haustorium,Buccinulum sp
Haustrum haustorium,Calantica spinosa
Haustrum haustorium,Cantharidella tesselata
Haustrum haustorium,Cellana denticulata
Haustrum haustorium,Cellana ornata
Haustrum haustorium,Cellana radians
Haustrum haustorium,Cellana stellifera
Haustrum haustorium,Chamaesipho brunnea
Haustrum haustorium,Chamaesipho columna
Haustrum haustorium,Chamaesipho spp
Haustrum haustorium,Cominella adspersa
Haustrum haustorium,Crassostrea gigas
Haustrum haustorium,Dicathais orbita
Haustrum haustorium,Diloma aethiops
Haustrum haustorium,Diloma arida
Haustrum haustorium,Diloma bicanaliculata
Haustrum haustorium,Diloma nigerrima
Haustrum haustorium,Diloma zelandica
Haustrum haustorium,Eatoniella sp
Haustrum haustorium,Epopella plicata
Haustrum haustorium,Fossarina rimata
Haustrum haustorium,Haustrum haustorium
Haustrum haustorium,Haustrum lacunosus
Haustrum haustorium,Haustrum scobina
Haustrum haustorium,Lasaea rubra hinemoa
Haustrum haustorium,Margarella sp
Haustrum haustorium,Montfortula chathamensis
Haustrum haustorium,Mytilus galloprovincialis
Haustrum haustorium,Nerita atramentosa
Haustrum haustorium,Notoacmea 2spokes
Haustrum haustorium,Notoacmea Black
Haustrum haustorium,Notoacmea daedala
Haustrum haustorium,Notoacmea Net
Haustrum haustorium,Notoacmea parviconoidea
Haustrum haustorium,Notoacmea Radialspokes
Haustrum haustorium,Onithochiton neglectus neglectus
Haustrum haustorium,Paratrophon patens
Haustrum haustorium,Patelloida corticata
Haustrum haustorium,Plaxiphora caelata
Haustrum haustorium,Plaxiphora obtecta
Haustrum haustorium,Risellopsis varia
Haustrum haustorium,Siphonaria australis
Haustrum haustorium,Sypharochiton pelliserpentis
Haustrum haustorium,Thoristella chathamensis
Haustrum haustorium,Trimusculus conicus
Haustrum haustorium,Turbo smaragdus
Haustrum haustorium,UNID
Haustrum haustorium,UNID Barnacle
Haustrum haustorium,UNID Chiton
Haustrum haustorium,UNID Diloma
Haustrum haustorium,UNID Limpet
Haustrum haustorium,UNID Notoacmea
Haustrum haustorium,UNID Snail
Haustrum haustorium,Xenostrobus pulex
Haustrum haustorium,Zeacumantus subcarinatus
Haustrum scobina,Aulacomya atra maoriana
Haustrum scobina,Austrolittorina antipodum
Haustrum scobina,Austrolittorina cincta
Haustrum scobina,Balanus sp
Haustrum scobina,Calantica spinosa
Haustrum scobina,Calantica villosa
Haustrum scobina,Cellana denticulata
Haustrum scobina,Chamaesipho brunnea
Haustrum scobina,Chamaesipho columna
Haustrum scobina,Chamaesipho spp
Haustrum scobina,Chiton glaucus
Haustrum scobina,Crassostrea gigas
Haustrum scobina,Epopella plicata
Haustrum scobina,Lasaea rubra hinemoa
Haustrum scobina,Mytilus galloprovincialis
Haustrum scobina,Notoacmea 2spokes
Haustrum scobina,Notoacmea Net
Haustrum scobina,Notoacmea Radialspokes
Haustrum scobina,Perna canaliculus
Haustrum scobina,Risellopsis varia
Haustrum scobina,Siphonaria australis
Haustrum scobina,Turbo smaragdus
Haustrum scobina,Xenostrobus pulex
