Site,SpeciesName,PredSize
MemorialGardenRocks,Haustrum haustorium,26
MemorialGardenRocks,Haustrum haustorium,40
MemorialGardenRocks,Haustrum haustorium,30
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,33
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,27
MemorialGardenRocks,Haustrum haustorium,25
MemorialGardenRocks,Haustrum haustorium,29
MemorialGardenRocks,Haustrum haustorium,27
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,26
MemorialGardenRocks,Haustrum haustorium,49
MemorialGardenRocks,Haustrum haustorium,33
MemorialGardenRocks,Haustrum haustorium,29
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,38
MemorialGardenRocks,Haustrum haustorium,48
MemorialGardenRocks,Haustrum haustorium,40
MemorialGardenRocks,Haustrum haustorium,18
MemorialGardenRocks,Haustrum haustorium,38
MemorialGardenRocks,Haustrum haustorium,31
MemorialGardenRocks,Haustrum haustorium,36
MemorialGardenRocks,Haustrum haustorium,32
MemorialGardenRocks,Haustrum haustorium,30
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,21
MemorialGardenRocks,Haustrum haustorium,21
MemorialGardenRocks,Haustrum haustorium,29
MemorialGardenRocks,Haustrum haustorium,46
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,31
MemorialGardenRocks,Haustrum haustorium,42
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,22
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,29
MemorialGardenRocks,Haustrum haustorium,38
MemorialGardenRocks,Haustrum haustorium,48
MemorialGardenRocks,Haustrum haustorium,40
MemorialGardenRocks,Haustrum haustorium,51
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,26
MemorialGardenRocks,Haustrum haustorium,33
MemorialGardenRocks,Haustrum haustorium,30
MemorialGardenRocks,Haustrum haustorium,29
MemorialGardenRocks,Haustrum haustorium,26
MemorialGardenRocks,Haustrum haustorium,18
MemorialGardenRocks,Haustrum haustorium,38
MemorialGardenRocks,Haustrum haustorium,18
MemorialGardenRocks,Haustrum haustorium,36
MemorialGardenRocks,Haustrum haustorium,30
MemorialGardenRocks,Haustrum haustorium,27
MemorialGardenRocks,Haustrum haustorium,33
MemorialGardenRocks,Haustrum haustorium,33
MemorialGardenRocks,Haustrum haustorium,27
MemorialGardenRocks,Haustrum haustorium,18
MemorialGardenRocks,Haustrum haustorium,18
MemorialGardenRocks,Haustrum haustorium,20
MemorialGardenRocks,Haustrum haustorium,24
MemorialGardenRocks,Haustrum haustorium,22
MemorialGardenRocks,Haustrum haustorium,41
MemorialGardenRocks,Haustrum haustorium,35
MemorialGardenRocks,Haustrum haustorium,12
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,21
MemorialGardenRocks,Haustrum haustorium,26
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,24
MemorialGardenRocks,Haustrum haustorium,29
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,17
MemorialGardenRocks,Haustrum haustorium,16
MemorialGardenRocks,Haustrum haustorium,35
MemorialGardenRocks,Haustrum haustorium,38
MemorialGardenRocks,Haustrum haustorium,48
MemorialGardenRocks,Haustrum haustorium,27
MemorialGardenRocks,Haustrum haustorium,51
MemorialGardenRocks,Haustrum haustorium,34
MemorialGardenRocks,Haustrum haustorium,11
MemorialGardenRocks,Haustrum haustorium,26
MemorialGardenRocks,Haustrum haustorium,9
MemorialGardenRocks,Haustrum haustorium,33
MemorialGardenRocks,Haustrum haustorium,25
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,29
MemorialGardenRocks,Haustrum haustorium,28
MemorialGardenRocks,Haustrum haustorium,26
MemorialGardenRocks,Haustrum haustorium,26
MemorialGardenRocks,Haustrum haustorium,18
WhakatuPoint,Haustrum haustorium,45
WhakatuPoint,Haustrum haustorium,17
WhakatuPoint,Haustrum scobina,19
WhakatuPoint,Haustrum scobina,11
WhakatuPoint,Haustrum scobina,11
WhakatuPoint,Haustrum scobina,15
WhakatuPoint,Haustrum scobina,12
WhakatuPoint,Haustrum scobina,18
WhakatuPoint,Haustrum scobina,11
WhakatuPoint,Haustrum scobina,10
WhakatuPoint,Haustrum scobina,17
WhakatuPoint,Haustrum scobina,11
WhakatuPoint,Haustrum scobina,12
WhakatuPoint,Haustrum scobina,18
WhakatuPoint,Haustrum scobina,17
WhakatuPoint,Haustrum scobina,17
WhakatuPoint,Haustrum scobina,18
WhakatuPoint,Haustrum scobina,20
WhakatuPoint,Haustrum scobina,18
WhakatuPoint,Haustrum scobina,19
WhakatuPoint,Haustrum scobina,19
WhakatuPoint,Haustrum scobina,18
WhakatuPoint,Haustrum scobina,18
WhakatuPoint,Haustrum scobina,19
WhakatuPoint,Haustrum scobina,19
WhakatuPoint,Haustrum scobina,18
WhakatuPoint,Haustrum scobina,12
WhakatuPoint,Haustrum scobina,16
WhakatuPoint,Haustrum scobina,15
WhakatuPoint,Haustrum scobina,14
WhakatuPoint,Haustrum scobina,14
WhakatuPoint,Haustrum scobina,9
WhakatuPoint,Haustrum scobina,12
WhakatuPoint,Haustrum scobina,12
WhakatuPoint,Haustrum scobina,11
WhakatuPoint,Haustrum scobina,10
WhakatuPoint,Haustrum scobina,11
WhakatuPoint,Haustrum scobina,19
WhakatuPoint,Haustrum scobina,11
WhakatuPoint,Haustrum scobina,11
WhakatuPoint,Haustrum scobina,12
WhakatuPoint,Haustrum scobina,11
WhakatuPoint,Haustrum scobina,10
WhakatuPoint,Haustrum haustorium,40
WhakatuPoint,Haustrum haustorium,32
WhakatuPoint,Haustrum haustorium,15
WhakatuPoint,Haustrum haustorium,45
WhakatuPoint,Haustrum haustorium,25
WhakatuPoint,Haustrum haustorium,44
WhakatuPoint,Haustrum haustorium,21
WhakatuPoint,Haustrum haustorium,16
WhakatuPoint,Haustrum haustorium,23
WhakatuPoint,Haustrum haustorium,46
WhakatuPoint,Haustrum haustorium,43
WhakatuPoint,Haustrum haustorium,43
WhakatuPoint,Haustrum haustorium,18
WhakatuPoint,Haustrum haustorium,40
WhakatuPoint,Haustrum haustorium,23
WhakatuPoint,Haustrum haustorium,29
WhakatuPoint,Haustrum haustorium,25
AvocaPointNorth,Haustrum haustorium,12
AvocaPointNorth,Haustrum haustorium,23
AvocaPointNorth,Haustrum haustorium,21
AvocaPointNorth,Haustrum haustorium,24
AvocaPointNorth,Haustrum haustorium,21
AvocaPointNorth,Haustrum haustorium,49
AvocaPointNorth,Haustrum haustorium,18
AvocaPointNorth,Haustrum haustorium,47
AvocaPointNorth,Haustrum haustorium,28
AvocaPointNorth,Haustrum haustorium,47
AvocaPointNorth,Haustrum haustorium,24
AvocaPointNorth,Haustrum haustorium,31
AvocaPointNorth,Haustrum scobina,8
AvocaPointNorth,Haustrum haustorium,36
AvocaPointNorth,Haustrum haustorium,47
AvocaPointNorth,Haustrum haustorium,45
AvocaPointNorth,Haustrum haustorium,45
AvocaPointNorth,Haustrum haustorium,45
AvocaPointNorth,Haustrum haustorium,29
AvocaPointNorth,Haustrum haustorium,52
AvocaPointNorth,Haustrum haustorium,41
AvocaPointNorth,Haustrum haustorium,41
AvocaPointNorth,Haustrum haustorium,40
AvocaPointNorth,Haustrum haustorium,27
AvocaPointNorth,Haustrum haustorium,49
AvocaPointNorth,Haustrum haustorium,32
AvocaPointNorth,Haustrum haustorium,48
AvocaPointNorth,Haustrum haustorium,45
AvocaPointNorth,Haustrum haustorium,27
AvocaPointNorth,Haustrum scobina,14
AvocaPointNorth,Haustrum scobina,11
AvocaPointNorth,Haustrum haustorium,32
AvocaPointNorth,Haustrum haustorium,14
AvocaPointNorth,Haustrum haustorium,31
AvocaPointNorth,Haustrum haustorium,29
AvocaPointNorth,Haustrum haustorium,35
AvocaPointNorth,Haustrum haustorium,24
AvocaPointNorth,Haustrum haustorium,17
AvocaPointNorth,Haustrum haustorium,48
AvocaPointNorth,Haustrum haustorium,31
AvocaPointNorth,Haustrum haustorium,28
AvocaPointNorth,Haustrum haustorium,46
AvocaPointNorth,Haustrum haustorium,36
AvocaPointNorth,Haustrum haustorium,51
AvocaPointNorth,Haustrum haustorium,38
AvocaPointNorth,Haustrum haustorium,47
AvocaPointNorth,Haustrum haustorium,18
AvocaPointNorth,Haustrum scobina,9
AvocaPointNorth,Haustrum scobina,10
AvocaPointNorth,Haustrum scobina,11
AvocaPointNorth,Haustrum scobina,11
AvocaPointNorth,Haustrum scobina,12
AvocaPointNorth,Haustrum scobina,9
AvocaPointNorth,Haustrum scobina,11
AvocaPointNorth,Haustrum scobina,10
AvocaPointNorth,Haustrum scobina,10
AvocaPointNorth,Haustrum scobina,12
AvocaPointNorth,Haustrum scobina,10
AvocaPointNorth,Haustrum scobina,10
AvocaPointNorth,Haustrum scobina,12
AvocaPointNorth,Haustrum scobina,11
AvocaPointNorth,Haustrum scobina,9
AvocaPointNorth,Haustrum scobina,11
AvocaPointNorth,Haustrum scobina,6
AvocaPointNorth,Haustrum scobina,13
AvocaPointNorth,Haustrum scobina,10
AvocaPointNorth,Haustrum scobina,9
AvocaPointNorth,Haustrum scobina,11
AvocaPointNorth,Haustrum scobina,8
AvocaPointNorth,Haustrum scobina,10
AvocaPointNorth,Haustrum scobina,14
AvocaPointNorth,Haustrum scobina,12
AvocaPointNorth,Haustrum scobina,11
AvocaPointNorth,Haustrum scobina,11
AvocaPointNorth,Haustrum scobina,11
AvocaPointNorth,Haustrum scobina,13
