Predators.SpeciesName,PredSize,PreySize,IndexSpecies.SpeciesName,Site,FocusSite
Haustrum haustorium,32,13,Acanthochitona zelandica,PaiaPoint,TRUE
Haustrum haustorium,21,14,Acanthochitona zelandica,Rakautara,TRUE
Haustrum haustorium,32,11,Acanthochitona zelandica,Rakautara,TRUE
Haustrum haustorium,35,13,Atalacmea fragilis,PaiaPoint,TRUE
Haustrum haustorium,9,2,Austrolittorina antipodum,PaiaPoint,TRUE
Haustrum haustorium,11,4,Austrolittorina antipodum,PaiaPoint,TRUE
Haustrum haustorium,6,4,Austrolittorina antipodum,Rakautara,TRUE
Haustrum haustorium,14,3,Austrolittorina cincta,PaiaPoint,TRUE
Haustrum haustorium,10,3,Austrolittorina cincta,PaiaPoint,TRUE
Haustrum haustorium,20,5,Austrolittorina cincta,PaiaPoint,TRUE
Haustrum haustorium,23,11,Austrolittorina cincta,PaiaPoint,TRUE
Haustrum haustorium,17,3,Austrolittorina cincta,PaiaPoint,TRUE
Haustrum haustorium,13,3,Austrolittorina cincta,PaiaPoint,TRUE
Haustrum haustorium,17,4,Austrolittorina cincta,Rakautara,TRUE
Haustrum haustorium,10,6,Austrolittorina cincta,Rakautara,TRUE
Haustrum haustorium,25,10,Buccinulum sp,JacksonHead,TRUE
Haustrum haustorium,35,18,Calantica spinosa,PaiaPoint,TRUE
Haustrum haustorium,10,12,Calantica spinosa,Rakautara,TRUE
Haustrum haustorium,20,2,Calantica spinosa,TaurangaHead,TRUE
Haustrum haustorium,26,3,Cantharidella tesselata,CapeFoulwind,TRUE
Haustrum haustorium,35,5,Cantharidella tesselata,CapeFoulwind,TRUE
Haustrum haustorium,28,5,Cantharidella tesselata,CapeFoulwind,TRUE
Haustrum haustorium,28,3,Cantharidella tesselata,CapeFoulwind,TRUE
Haustrum haustorium,27,4,Cantharidella tesselata,CapeFoulwind,TRUE
Haustrum haustorium,32,6,Cantharidella tesselata,CapeFoulwind,TRUE
Haustrum haustorium,37,5,Cantharidella tesselata,CapeFoulwind,TRUE
Haustrum haustorium,32,6,Cantharidella tesselata,CapeFoulwind,TRUE
Haustrum haustorium,35,5,Cantharidella tesselata,CapeFoulwind,TRUE
Haustrum haustorium,35,4,Cantharidella tesselata,OkahuPoint,TRUE
Haustrum haustorium,29,4,Cantharidella tesselata,OkahuPoint,TRUE
Haustrum haustorium,29,6,Cantharidella tesselata,PaiaPoint,TRUE
Haustrum haustorium,14,5,Cantharidella tesselata,PaiaPoint,TRUE
Haustrum haustorium,31,7,Cantharidella tesselata,PaiaPoint,TRUE
Haustrum haustorium,22,8,Cantharidella tesselata,PaiaPoint,TRUE
Haustrum haustorium,31,6,Cantharidella tesselata,PaiaPoint,TRUE
Haustrum haustorium,24,8,Cantharidella tesselata,PaiaPoint,TRUE
Haustrum haustorium,29,7,Cantharidella tesselata,PaiaPoint,TRUE
Haustrum haustorium,35,8,Cantharidella tesselata,PaiaPoint,TRUE
Haustrum haustorium,28,6,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,22,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,37,4,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,22,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,23,4,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,24,6,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,31,4,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,24,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,30,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,24,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,28,4,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,28,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,28,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,21,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,23,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,28,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,31,5,Cantharidella tesselata,TaurangaHead,TRUE
Haustrum haustorium,43,21,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,23,15,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,25,20,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,16,5,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,39,19,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,47,22,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,26,12,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,38,23,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,41,24,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,32,20,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,46,31,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,45,27,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,42,25,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,46,19,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,28,11,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,42,19,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,30,16,Cellana denticulata,PaiaPoint,TRUE
Haustrum haustorium,51,24,Cellana denticulata,PaiaPoint,TRUE
