ObsID,Predators.SpeciesName,PredSize,PreySize,IndexSpecies.SpeciesName,Site
16745,Haustrum haustorium,32,13,Acanthochitona zelandica,PaiaPoint
15597,Haustrum haustorium,32,11,Acanthochitona zelandica,Rakautara
23347,Haustrum haustorium,21,14,Acanthochitona zelandica,Rakautara
4871,Haustrum haustorium,34,12,Atalacmea fragilis,MoaPoint
1118,Haustrum haustorium,31,10,Atalacmea fragilis,Opunake
1117,Haustrum haustorium,31,11,Atalacmea fragilis,Opunake
1087,Haustrum haustorium,34,13,Atalacmea fragilis,Opunake
24136,Haustrum haustorium,35,13,Atalacmea fragilis,PaiaPoint
37306,Haustrum haustorium,9,2,Austrolittorina antipodum,PaiaPoint
49063,Haustrum haustorium,11,4,Austrolittorina antipodum,PaiaPoint
48772,Haustrum haustorium,6,4,Austrolittorina antipodum,Rakautara
22684,Haustrum haustorium,14,3,Austrolittorina cincta,PaiaPoint
22704,Haustrum haustorium,20,5,Austrolittorina cincta,PaiaPoint
23622,Haustrum haustorium,10,3,Austrolittorina cincta,PaiaPoint
32520,Haustrum haustorium,13,3,Austrolittorina cincta,PaiaPoint
32521,Haustrum haustorium,23,11,Austrolittorina cincta,PaiaPoint
31159,Haustrum haustorium,17,3,Austrolittorina cincta,PaiaPoint
48773,Haustrum haustorium,10,6,Austrolittorina cincta,Rakautara
31438,Haustrum haustorium,17,4,Austrolittorina cincta,Rakautara
35285,Haustrum haustorium,25,10,Buccinulum sp,JacksonHead
10455,Haustrum haustorium,35,18,Calantica spinosa,PaiaPoint
17917,Haustrum haustorium,10,12,Calantica spinosa,Rakautara
18565,Haustrum haustorium,20,2,Calantica spinosa,TaurangaHead
5811,Haustrum haustorium,28,3,Cantharidella tesselata,CapeFoulwind
5736,Haustrum haustorium,26,3,Cantharidella tesselata,CapeFoulwind
27682,Haustrum haustorium,27,4,Cantharidella tesselata,CapeFoulwind
19278,Haustrum haustorium,35,5,Cantharidella tesselata,CapeFoulwind
20805,Haustrum haustorium,28,5,Cantharidella tesselata,CapeFoulwind
50136,Haustrum haustorium,37,5,Cantharidella tesselata,CapeFoulwind
39003,Haustrum haustorium,32,6,Cantharidella tesselata,CapeFoulwind
39006,Haustrum haustorium,32,6,Cantharidella tesselata,CapeFoulwind
44375,Haustrum haustorium,35,5,Cantharidella tesselata,CapeFoulwind
4317,Haustrum haustorium,37,4,Cantharidella tesselata,CastlePointCave
4344,Haustrum haustorium,29,4,Cantharidella tesselata,CastlePointCave
4335,Haustrum haustorium,27,4,Cantharidella tesselata,CastlePointCave
4327,Haustrum haustorium,24,4,Cantharidella tesselata,CastlePointCave
4319,Haustrum haustorium,30,5,Cantharidella tesselata,CastlePointCave
4318,Haustrum haustorium,23,4,Cantharidella tesselata,CastlePointCave
6784,Haustrum haustorium,31,9,Cantharidella tesselata,FirstBay
7136,Haustrum haustorium,28,6,Cantharidella tesselata,MemorialGardenRocks
34762,Haustrum haustorium,29,4,Cantharidella tesselata,OkahuPoint
35494,Haustrum haustorium,35,4,Cantharidella tesselata,OkahuPoint
23675,Haustrum haustorium,24,8,Cantharidella tesselata,PaiaPoint
13543,Haustrum haustorium,31,7,Cantharidella tesselata,PaiaPoint
16950,Haustrum haustorium,29,6,Cantharidella tesselata,PaiaPoint
10595,Haustrum haustorium,14,5,Cantharidella tesselata,PaiaPoint
13581,Haustrum haustorium,22,8,Cantharidella tesselata,PaiaPoint
32436,Haustrum haustorium,31,6,Cantharidella tesselata,PaiaPoint
48555,Haustrum haustorium,35,8,Cantharidella tesselata,PaiaPoint
49762,Haustrum haustorium,29,7,Cantharidella tesselata,PaiaPoint
6221,Haustrum haustorium,37,4,Cantharidella tesselata,TaurangaHead
5970,Haustrum haustorium,23,4,Cantharidella tesselata,TaurangaHead
19111,Haustrum haustorium,24,5,Cantharidella tesselata,TaurangaHead
6227,Haustrum haustorium,31,4,Cantharidella tesselata,TaurangaHead
6117,Haustrum haustorium,30,5,Cantharidella tesselata,TaurangaHead
5968,Haustrum haustorium,28,6,Cantharidella tesselata,TaurangaHead
5971,Haustrum haustorium,22,5,Cantharidella tesselata,TaurangaHead
5997,Haustrum haustorium,28,4,Cantharidella tesselata,TaurangaHead
6062,Haustrum haustorium,23,5,Cantharidella tesselata,TaurangaHead
14302,Haustrum haustorium,24,6,Cantharidella tesselata,TaurangaHead
14245,Haustrum haustorium,22,5,Cantharidella tesselata,TaurangaHead
19894,Haustrum haustorium,21,5,Cantharidella tesselata,TaurangaHead
29437,Haustrum haustorium,24,5,Cantharidella tesselata,TaurangaHead
38222,Haustrum haustorium,28,5,Cantharidella tesselata,TaurangaHead
29444,Haustrum haustorium,28,5,Cantharidella tesselata,TaurangaHead
29466,Haustrum haustorium,28,5,Cantharidella tesselata,TaurangaHead
46525,Haustrum haustorium,31,5,Cantharidella tesselata,TaurangaHead
6437,Haustrum haustorium,44,29,Cellana denticulata,DuffsKnobNorth
9779,Haustrum haustorium,44,24,Cellana denticulata,DuffsKnobSouth(KieKieRecreationReserve)
6948,Haustrum haustorium,46,27,Cellana denticulata,EPFSLabRocks
4819,Haustrum haustorium,47,17,Cellana denticulata,IslandBayLabRocks
4818,Haustrum haustorium,38,16,Cellana denticulata,IslandBayLabRocks
5114,Haustrum haustorium,51,24,Cellana denticulata,IslandBayLabRocks
4775,Haustrum haustorium,53,25,Cellana denticulata,MatakitakiakupeCapePalliser
4766,Haustrum haustorium,52,23,Cellana denticulata,MatakitakiakupeCapePalliser
9593,Haustrum haustorium,29,16,Cellana denticulata,MemorialGardenRocks
4888,Haustrum haustorium,52,23,Cellana denticulata,MoaPoint
22807,Haustrum haustorium,25,20,Cellana denticulata,PaiaPoint
24254,Haustrum haustorium,47,22,Cellana denticulata,PaiaPoint
24253,Haustrum haustorium,23,15,Cellana denticulata,PaiaPoint
24233,Haustrum haustorium,38,23,Cellana denticulata,PaiaPoint
24135,Haustrum haustorium,39,19,Cellana denticulata,PaiaPoint
24134,Haustrum haustorium,41,24,Cellana denticulata,PaiaPoint
10575,Haustrum haustorium,43,21,Cellana denticulata,PaiaPoint
24084,Haustrum haustorium,26,12,Cellana denticulata,PaiaPoint
22412,Haustrum haustorium,46,31,Cellana denticulata,PaiaPoint
22685,Haustrum haustorium,32,20,Cellana denticulata,PaiaPoint
22346,Haustrum haustorium,16,5,Cellana denticulata,PaiaPoint
44606,Haustrum haustorium,28,11,Cellana denticulata,PaiaPoint
44609,Haustrum haustorium,42,19,Cellana denticulata,PaiaPoint
44740,Haustrum haustorium,34,16,Cellana denticulata,PaiaPoint
44826,Haustrum haustorium,34,14,Cellana denticulata,PaiaPoint
37360,Haustrum haustorium,46,19,Cellana denticulata,PaiaPoint
44735,Haustrum haustorium,30,16,Cellana denticulata,PaiaPoint
45355,Haustrum haustorium,33,20,Cellana denticulata,PaiaPoint
45369,Haustrum haustorium,39,25,Cellana denticulata,PaiaPoint
45364,Haustrum haustorium,30,15,Cellana denticulata,PaiaPoint
37361,Haustrum haustorium,42,25,Cellana denticulata,PaiaPoint
45362,Haustrum haustorium,37,22,Cellana denticulata,PaiaPoint
37300,Haustrum haustorium,51,24,Cellana denticulata,PaiaPoint
