Year,Season,Site,TideZone,Transect,Quad,Diagonal-First,Diagonal-Second
2005,Winter,CapeFoulwind,High,1,1,72,74
2005,Winter,CapeFoulwind,High,1,2,83,85
2005,Winter,CapeFoulwind,High,1,3,78,78
2005,Winter,CapeFoulwind,High,1,4,100,98
2005,Winter,CapeFoulwind,High,1,5,90,89
2005,Winter,CapeFoulwind,High,2,1,74,75
2005,Winter,CapeFoulwind,High,2,2,75,76
2005,Winter,CapeFoulwind,High,2,3,75,75
2005,Winter,CapeFoulwind,High,2,4,81,86
2005,Winter,CapeFoulwind,High,2,5,79,73
2005,Winter,CapeFoulwind,High,3,1,73,79
2005,Winter,CapeFoulwind,High,3,2,78,88
2005,Winter,CapeFoulwind,High,3,3,74,117
2005,Winter,CapeFoulwind,High,3,4,78,95
2005,Winter,CapeFoulwind,High,3,5,95,90
2005,Winter,CapeFoulwind,Mid,1,1,87,80
2005,Winter,CapeFoulwind,Mid,1,2,72,79
2005,Winter,CapeFoulwind,Mid,1,3,81,75
2005,Winter,CapeFoulwind,Mid,1,4,75,76
2005,Winter,CapeFoulwind,Mid,1,5,80,95
2005,Winter,CapeFoulwind,Mid,2,1,75,74
2005,Winter,CapeFoulwind,Mid,2,2,96,97
2005,Winter,CapeFoulwind,Mid,2,3,88,92
2005,Winter,CapeFoulwind,Mid,2,4,88,116
2005,Winter,CapeFoulwind,Mid,2,5,83,82
2005,Winter,CapeFoulwind,Mid,3,1,96,92
2005,Winter,CapeFoulwind,Mid,3,2,93,85
2005,Winter,CapeFoulwind,Mid,3,3,75,88
2005,Winter,CapeFoulwind,Mid,3,4,94,78
2005,Winter,CapeFoulwind,Mid,3,5,106,98
2005,Winter,PaiaPoint,High,1,1,85,78
2005,Winter,PaiaPoint,High,1,2,85,85
2005,Winter,PaiaPoint,High,1,3,87,78
2005,Winter,PaiaPoint,High,1,4,96,85
2005,Winter,PaiaPoint,High,1,5,105,104
2005,Winter,PaiaPoint,High,2,1,84,95
2005,Winter,PaiaPoint,High,2,2,109,93
2005,Winter,PaiaPoint,High,2,3,89,84
2005,Winter,PaiaPoint,High,2,4,81,88
2005,Winter,PaiaPoint,High,2,5,75,84
2005,Winter,PaiaPoint,High,3,1,92,89
2005,Winter,PaiaPoint,High,3,2,88,82
2005,Winter,PaiaPoint,High,3,3,89,8
2005,Winter,PaiaPoint,High,3,4,81,91
2005,Winter,PaiaPoint,High,3,5,79,82
2005,Winter,PaiaPoint,Mid,1,1,80,80
2005,Winter,PaiaPoint,Mid,1,2,86,86
