Site,Year,Season,SurveyType,TideZone,Transect,Quad,QuadSize,SpeciesName,MainQuadOnlySpecies,PercentCoverSpecies,ExtrapolatedCount
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Aulacomya atra maoriana,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Austrolittorina antipodum,TRUE,FALSE,233.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Austrolittorina cincta,TRUE,FALSE,1560
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Bare Rock,FALSE,TRUE,8
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Benhamina obliquata,FALSE,FALSE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Calantica spinosa,FALSE,TRUE,0.5
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Cellana ornata,FALSE,FALSE,4
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Cellana radians,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Chamaesipho columna,FALSE,TRUE,80
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Epopella plicata,FALSE,TRUE,10
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Haustrum scobina,FALSE,FALSE,19
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Mytilus galloprovincialis,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Nereididae spp,FALSE,FALSE,1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Notoacmea 2spokes,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Notoacmea Black,TRUE,FALSE,16.66
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Notoacmea Net,TRUE,FALSE,3.33
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Notoacmea Radialspokes,TRUE,FALSE,60
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Sypharochiton pelliserpentis,FALSE,FALSE,11
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,UNID Anemone,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,UNID Macroalgae,FALSE,TRUE,0.1
CapeFoulwind,2006,Summer,Quads_All_species,High,1,1,0.25,Xenostrobus pulex,FALSE,TRUE,2
CapeFoulwind,2006,Summer,Quads_All_species,High,1,2,0.25,Austrolittorina antipodum,TRUE,FALSE,66.66
