Site,RecountNum,ElapsedDays,Block,Plot,Trtmt,SpeciesName,PercentCoverSpecies,ExtrapolatedCount
CapeFoulwind,1,0,A,3,- Pred,Austrolittorina antipodum,FALSE,17
CapeFoulwind,1,0,A,3,- Pred,Austrolittorina cincta,FALSE,307
CapeFoulwind,1,0,A,3,- Pred,Chamaesipho columna DEADCOUNT,FALSE,63
CapeFoulwind,1,0,A,3,- Pred,Elminius modestus COUNT,FALSE,18
CapeFoulwind,1,0,A,3,- Pred,Elminius modestus DEADCOUNT,FALSE,1
CapeFoulwind,1,0,A,3,- Pred,Notoacmea Black,FALSE,25
CapeFoulwind,1,0,A,3,- Pred,Notoacmea Radialspokes,FALSE,3
CapeFoulwind,1,0,A,3,- Pred,Risellopsis varia,FALSE,1
CapeFoulwind,1,0,A,3,- Pred,Xenostrobus pulex COUNT,FALSE,589
CapeFoulwind,1,0,A,3,- Pred,Xenostrobus pulex DEADCOUNT,FALSE,6
CapeFoulwind,1,0,A,5,- Pred dPrey,Austrolittorina antipodum,FALSE,29
CapeFoulwind,1,0,A,5,- Pred dPrey,Austrolittorina cincta,FALSE,915
CapeFoulwind,1,0,A,5,- Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,62
CapeFoulwind,1,0,A,5,- Pred dPrey,Notoacmea 2spokes,FALSE,2
CapeFoulwind,1,0,A,5,- Pred dPrey,Notoacmea Black,FALSE,22
CapeFoulwind,1,0,A,5,- Pred dPrey,Notoacmea Radialspokes,FALSE,8
CapeFoulwind,1,0,A,5,- Pred dPrey,Porphyra COUNT,FALSE,1
CapeFoulwind,1,0,A,5,- Pred dPrey,Xenostrobus pulex COUNT,FALSE,364
CapeFoulwind,1,0,A,5,- Pred dPrey,Xenostrobus pulex DEADCOUNT,FALSE,4
CapeFoulwind,1,0,A,6,+ Pred,Austrolittorina antipodum,FALSE,5
CapeFoulwind,1,0,A,6,+ Pred,Austrolittorina cincta,FALSE,390
CapeFoulwind,1,0,A,6,+ Pred,Chamaesipho columna DEADCOUNT,FALSE,144
CapeFoulwind,1,0,A,6,+ Pred,Elminius modestus COUNT,FALSE,15
CapeFoulwind,1,0,A,6,+ Pred,Elminius modestus DEADCOUNT,FALSE,1
CapeFoulwind,1,0,A,6,+ Pred,Notoacmea Black,FALSE,27
CapeFoulwind,1,0,A,6,+ Pred,Notoacmea Radialspokes,FALSE,7
CapeFoulwind,1,0,A,6,+ Pred,Risellopsis varia,FALSE,2
CapeFoulwind,1,0,A,6,+ Pred,Xenostrobus pulex COUNT,FALSE,673
CapeFoulwind,2,0,A,6,+ Pred,Xenostrobus pulex COUNT,FALSE,730
CapeFoulwind,1,0,A,6,+ Pred,Xenostrobus pulex DEADCOUNT,FALSE,3
CapeFoulwind,1,0,A,4,+ Pred dPrey,Austrolittorina antipodum,FALSE,18
CapeFoulwind,1,0,A,4,+ Pred dPrey,Austrolittorina cincta,FALSE,490
CapeFoulwind,1,0,A,4,+ Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,25
CapeFoulwind,1,0,A,4,+ Pred dPrey,Elminius modestus COUNT,FALSE,3
CapeFoulwind,1,0,A,4,+ Pred dPrey,Notoacmea 2spokes,FALSE,1
CapeFoulwind,1,0,A,4,+ Pred dPrey,Notoacmea Black,FALSE,24
CapeFoulwind,1,0,A,4,+ Pred dPrey,Notoacmea Radialspokes,FALSE,7
CapeFoulwind,1,0,A,4,+ Pred dPrey,Porphyra COUNT,FALSE,1
CapeFoulwind,1,0,A,4,+ Pred dPrey,Xenostrobus pulex COUNT,FALSE,349
CapeFoulwind,1,0,A,4,+ Pred dPrey,Xenostrobus pulex DEADCOUNT,FALSE,16
CapeFoulwind,1,0,B,2,- Pred,Austrolittorina antipodum,FALSE,1
CapeFoulwind,1,0,B,2,- Pred,Austrolittorina cincta,FALSE,118
CapeFoulwind,1,0,B,2,- Pred,Benhamina obliquata,FALSE,1
CapeFoulwind,1,0,B,2,- Pred,Chamaesipho columna DEADCOUNT,FALSE,259
CapeFoulwind,1,0,B,2,- Pred,Elminius modestus COUNT,FALSE,1
CapeFoulwind,1,0,B,2,- Pred,Epopella plicata COUNT,FALSE,18
CapeFoulwind,1,0,B,2,- Pred,Epopella plicata DEADCOUNT,FALSE,8
CapeFoulwind,1,0,B,2,- Pred,Nereididae spp,FALSE,1
CapeFoulwind,1,0,B,2,- Pred,Notoacmea 2spokes,FALSE,2
CapeFoulwind,1,0,B,2,- Pred,Notoacmea Black,FALSE,14
CapeFoulwind,1,0,B,2,- Pred,Notoacmea Radialspokes,FALSE,12
CapeFoulwind,1,0,B,2,- Pred,Patelloida corticata,FALSE,1
CapeFoulwind,1,0,B,2,- Pred,Perna canaliculus COUNT,FALSE,1
CapeFoulwind,1,0,B,2,- Pred,Plaxiphora caelata,FALSE,1
CapeFoulwind,1,0,B,2,- Pred,Risellopsis varia,FALSE,11
CapeFoulwind,1,0,B,2,- Pred,Xenostrobus pulex COUNT,FALSE,578
CapeFoulwind,2,0,B,2,- Pred,Xenostrobus pulex COUNT,FALSE,597
CapeFoulwind,1,0,B,2,- Pred,Xenostrobus pulex DEADCOUNT,FALSE,3
CapeFoulwind,1,0,B,6,- Pred dPrey,Austrolittorina cincta,FALSE,15
CapeFoulwind,1,0,B,6,- Pred dPrey,Benhamina obliquata,FALSE,1
CapeFoulwind,1,0,B,6,- Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,396
CapeFoulwind,1,0,B,6,- Pred dPrey,Coralline Encrusting Paint,TRUE,1
CapeFoulwind,1,0,B,6,- Pred dPrey,Epopella plicata COUNT,FALSE,84
CapeFoulwind,1,0,B,6,- Pred dPrey,Epopella plicata DEADCOUNT,FALSE,8
CapeFoulwind,1,0,B,6,- Pred dPrey,Notoacmea Black,FALSE,5
CapeFoulwind,1,0,B,6,- Pred dPrey,Notoacmea Radialspokes,FALSE,3
CapeFoulwind,1,0,B,6,- Pred dPrey,Patelloida corticata,FALSE,1
CapeFoulwind,1,0,B,6,- Pred dPrey,Perna canaliculus COUNT,FALSE,1
CapeFoulwind,1,0,B,6,- Pred dPrey,Plaxiphora caelata,FALSE,1
CapeFoulwind,1,0,B,6,- Pred dPrey,Risellopsis varia,FALSE,13
CapeFoulwind,1,0,B,6,- Pred dPrey,Sypharochiton pelliserpentis,FALSE,1
CapeFoulwind,1,0,B,6,- Pred dPrey,UNID Algae Red,TRUE,0.1
CapeFoulwind,1,0,B,6,- Pred dPrey,Xenostrobus pulex COUNT,FALSE,240
CapeFoulwind,1,0,B,6,- Pred dPrey,Xenostrobus pulex DEADCOUNT,FALSE,9
CapeFoulwind,1,0,B,4,+ Pred,Austrolittorina cincta,FALSE,351
CapeFoulwind,1,0,B,4,+ Pred,Benhamina obliquata,FALSE,1
CapeFoulwind,1,0,B,4,+ Pred,Chamaesipho brunnea COUNT,FALSE,1
CapeFoulwind,1,0,B,4,+ Pred,Chamaesipho columna DEADCOUNT,FALSE,247
CapeFoulwind,1,0,B,4,+ Pred,Coralline Encrusting Paint,TRUE,0.1
CapeFoulwind,1,0,B,4,+ Pred,Epopella plicata COUNT,FALSE,98
CapeFoulwind,1,0,B,4,+ Pred,Epopella plicata DEADCOUNT,FALSE,17
CapeFoulwind,1,0,B,4,+ Pred,Notoacmea Black,FALSE,18
CapeFoulwind,1,0,B,4,+ Pred,Notoacmea Radialspokes,FALSE,21
CapeFoulwind,1,0,B,4,+ Pred,Plaxiphora caelata,FALSE,1
CapeFoulwind,1,0,B,4,+ Pred,Xenostrobus pulex COUNT,FALSE,451
CapeFoulwind,1,0,B,4,+ Pred,Xenostrobus pulex DEADCOUNT,FALSE,1
CapeFoulwind,1,0,B,1,+ Pred dPrey,Austrolittorina cincta,FALSE,357
CapeFoulwind,1,0,B,1,+ Pred dPrey,Chamaesipho columna DEADCOUNT,FALSE,488
CapeFoulwind,1,0,B,1,+ Pred dPrey,Elminius modestus COUNT,FALSE,1
CapeFoulwind,1,0,B,1,+ Pred dPrey,Epopella plicata COUNT,FALSE,67
CapeFoulwind,1,0,B,1,+ Pred dPrey,Epopella plicata DEADCOUNT,FALSE,24
