Site,RecountNum,ElapsedDays,Block,Plot,Trtmt,SubsampleSize,Xenostrobus pulex COUNT,Xenostrobus pulex DEADCOUNT
CapeFoulwind,1,0,A,3,- Pred,1,589,6
CapeFoulwind,1,0,A,4,+ Pred dPrey,1,349,16
CapeFoulwind,1,0,A,5,- Pred dPrey,1,364,4
CapeFoulwind,1,0,A,6,+ Pred,1,673,3
CapeFoulwind,2,0,A,6,+ Pred,1,730,
CapeFoulwind,1,0,B,1,+ Pred dPrey,1,233,6
CapeFoulwind,1,0,B,2,- Pred,1,578,3
CapeFoulwind,2,0,B,2,- Pred,1,597,
CapeFoulwind,1,0,B,4,+ Pred,1,451,1
CapeFoulwind,1,0,B,6,- Pred dPrey,1,240,9
CapeFoulwind,1,0,C,2,+ Pred dPrey,1,122,1
CapeFoulwind,1,0,C,3,- Pred,1,152,4
CapeFoulwind,1,0,C,4,- Pred dPrey,1,160,
CapeFoulwind,1,0,C,6,+ Pred,1,161,7
CapeFoulwind,1,0,D,1,+ Pred,1,550,3
CapeFoulwind,2,0,D,1,+ Pred,1,573,
CapeFoulwind,1,0,D,4,- Pred,1,402,10
CapeFoulwind,1,0,D,5,+ Pred dPrey,1,290,9
CapeFoulwind,1,0,D,6,- Pred dPrey,1,233,9
CapeFoulwind,1,0,E,1,+ Pred dPrey,1,262,7
CapeFoulwind,1,0,E,2,- Pred,1,495,9
CapeFoulwind,1,0,E,4,- Pred dPrey,1,309,2
CapeFoulwind,1,0,E,6,+ Pred,1,495,
CapeFoulwind,2,0,E,6,+ Pred,1,586,
CapeFoulwind,1,0,F,2,+ Pred dPrey,1,258,
CapeFoulwind,1,0,F,3,- Pred,1,512,1
CapeFoulwind,1,0,F,4,+ Pred,1,447,5
CapeFoulwind,1,0,F,6,- Pred dPrey,1,141,
CapeFoulwind,1,-10,A,1,Bare Ctrl,1,203,2
CapeFoulwind,1,-10,A,2,Ctrl,1,568,2
CapeFoulwind,1,-10,A,3,- Pred,1,589,
CapeFoulwind,1,-10,A,4,+ Pred dPrey,1,540,
CapeFoulwind,1,-10,A,5,- Pred dPrey,1,484,
CapeFoulwind,1,-10,A,6,+ Pred,1,601,
CapeFoulwind,1,-10,B,1,+ Pred dPrey,1,207,
CapeFoulwind,1,-10,B,2,- Pred,1,518,
CapeFoulwind,1,-10,B,3,Bare Ctrl,1,363,3
CapeFoulwind,1,-10,B,4,+ Pred,1,461,
CapeFoulwind,1,-10,B,5,Ctrl,1,418,4
CapeFoulwind,1,-10,B,6,- Pred dPrey,1,287,
CapeFoulwind,1,-10,C,1,Bare Ctrl,1,23,
CapeFoulwind,1,-10,C,2,+ Pred dPrey,1,103,
CapeFoulwind,1,-10,C,3,- Pred,1,163,
CapeFoulwind,1,-10,C,4,- Pred dPrey,1,131,
CapeFoulwind,1,-10,C,5,Ctrl,1,140,2
CapeFoulwind,1,-10,C,6,+ Pred,1,236,
CapeFoulwind,2,-10,C,6,+ Pred,1,221,
CapeFoulwind,1,-10,D,1,+ Pred,1,572,
CapeFoulwind,1,-10,D,2,Bare Ctrl,1,599,4
CapeFoulwind,1,-10,D,3,Ctrl,1,660,
CapeFoulwind,1,-10,D,4,- Pred,1,460,
CapeFoulwind,1,-10,D,5,+ Pred dPrey,1,436,
CapeFoulwind,1,-10,D,6,- Pred dPrey,1,307,
CapeFoulwind,1,-10,E,1,+ Pred dPrey,1,230,
CapeFoulwind,1,-10,E,2,- Pred,1,558,
CapeFoulwind,1,-10,E,3,Ctrl,1,361,6
CapeFoulwind,1,-10,E,4,- Pred dPrey,1,293,
CapeFoulwind,1,-10,E,5,Bare Ctrl,1,656,9
CapeFoulwind,1,-10,E,6,+ Pred,1,475,
CapeFoulwind,1,-10,F,1,Bare Ctrl,1,327,
CapeFoulwind,1,-10,F,2,+ Pred dPrey,1,431,
CapeFoulwind,1,-10,F,3,- Pred,1,582,
CapeFoulwind,1,-10,F,4,+ Pred,1,558,
CapeFoulwind,1,-10,F,5,Ctrl,1,448,2
CapeFoulwind,1,-10,F,6,- Pred dPrey,1,110,
CapeFoulwind,1,178,A,1,Bare Ctrl,1,1,
CapeFoulwind,1,178,A,2,Ctrl,1,522,2
CapeFoulwind,1,178,A,3,- Pred,1,749,
CapeFoulwind,1,178,A,4,+ Pred dPrey,1,353,5
CapeFoulwind,1,178,A,5,- Pred dPrey,1,442,1
CapeFoulwind,1,178,A,6,+ Pred,1,757,5
CapeFoulwind,1,178,B,1,+ Pred dPrey,1,658,1
CapeFoulwind,1,178,B,2,- Pred,1,1045,5
CapeFoulwind,1,178,B,3,Bare Ctrl,1,6,
CapeFoulwind,1,178,B,4,+ Pred,1,707,3
CapeFoulwind,1,178,B,5,Ctrl,1,472,7
CapeFoulwind,1,178,B,6,- Pred dPrey,1,288,5
CapeFoulwind,1,178,C,1,Bare Ctrl,1,1,
CapeFoulwind,1,178,C,2,+ Pred dPrey,1,316,3
CapeFoulwind,1,178,C,3,- Pred,1,363,2
CapeFoulwind,1,178,C,4,- Pred dPrey,1,618,2
CapeFoulwind,1,178,C,5,Ctrl,1,114,2
CapeFoulwind,1,178,C,6,+ Pred,1,381,12
CapeFoulwind,1,178,D,1,+ Pred,1,750,5
CapeFoulwind,1,178,D,2,Bare Ctrl,1,9,
CapeFoulwind,1,178,D,3,Ctrl,1,840,
CapeFoulwind,1,178,D,4,- Pred,1,388,7
CapeFoulwind,2,178,D,4,- Pred,1,382,
CapeFoulwind,1,178,D,5,+ Pred dPrey,1,446,2
CapeFoulwind,1,178,D,6,- Pred dPrey,1,790,3
