Year,Season,Coast,Site,SpeciesName,TideZone,Size
2005,Winter,South_Island_East,PaiaPoint,Acanthochitona zelandica,General_Unspecified,16.00
2005,Winter,South_Island_East,PaiaPoint,Acanthochitona zelandica,General_Unspecified,31.00
2005,Winter,South_Island_East,PaiaPoint,Acanthochitona zelandica,General_Unspecified,24.00
2005,Winter,South_Island_East,PaiaPoint,Acanthochitona zelandica,General_Unspecified,23.00
2005,Winter,South_Island_East,PaiaPoint,Acanthochitona zelandica,General_Unspecified,14.00
2005,Winter,South_Island_East,PaiaPoint,Acanthochitona zelandica,General_Unspecified,16.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,22.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,11.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,15.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,8.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,17.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,20.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,23.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,17.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,17.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,18.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,15.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,20.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,15.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,8.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,19.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,25.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,20.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,25.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,23.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,23.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,20.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,22.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,18.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,23.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,15.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,14.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,16.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,17.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,14.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,12.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,18.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,25.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,25.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,20.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,26.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,18.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,20.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,21.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,20.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,19.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,15.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,15.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,20.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,22.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,15.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,14.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,22.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,15.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,25.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,23.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,10.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,10.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,10.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,10.00
2005,Winter,South_Island_East,PaiaPoint,Aulacomya atra maoriana,Mid,20.00
2005,Winter,South_Island_East,PaiaPoint,Austrolittorina antipodum,High,2.00
2005,Winter,South_Island_East,PaiaPoint,Austrolittorina antipodum,High,2.00
2005,Winter,South_Island_East,PaiaPoint,Austrolittorina antipodum,High,1.00
2005,Winter,South_Island_East,PaiaPoint,Austrolittorina antipodum,High,1.00
2005,Winter,South_Island_East,PaiaPoint,Austrolittorina antipodum,High,1.00
2005,Winter,South_Island_East,PaiaPoint,Austrolittorina antipodum,High,1.00
2005,Winter,South_Island_East,PaiaPoint,Austrolittorina antipodum,High,1.00
