Site,Species,# Observed,Estimated %,Interpolated #,# X 4,Picture #
CapeFoulwind,Chamaesipho columna,193,48,351,,1
CapeFoulwind,Chamaesipho columna,250,71,306,,
CapeFoulwind,Chamaesipho columna,222,81,301,,
CapeFoulwind,Chamaesipho columna,221,68,333,,2
CapeFoulwind,Chamaesipho columna,273,62,432,,3
CapeFoulwind,Chamaesipho columna,294,88,325,,4
CapeFoulwind,Chamaesipho columna,294,73,441,,5
CapeFoulwind,Chamaesipho columna,245,92,268,,6
CapeFoulwind,Chamaesipho columna,142,39,365,,7
CapeFoulwind,Chamaesipho columna,321,86,373,,8
CapeFoulwind,Chamaesipho columna,206,77,291,,9
CapeFoulwind,Chamaesipho columna,133,52,338,,10
CapeFoulwind,Chamaesipho columna,90,27,477,,11
CapeFoulwind,Chamaesipho columna,243,66,377,,12
CapeFoulwind,Chamaesipho columna,333,94,363,,13
CapeFoulwind,Chamaesipho columna,340,96,353,,14
CapeFoulwind,Chamaesipho columna,156,49,285,,15
CapeFoulwind,Chamaesipho columna,193,69,272,,
CapeFoulwind,Chamaesipho columna,276,74,360,,
CapeFoulwind,Chamaesipho columna,265,86,302,,
CapeFoulwind,Chamaesipho columna,269,78,310,,
CapeFoulwind,Chamaesipho columna,82,41,224,,
CapeFoulwind,Chamaesipho columna,221,68,276,,
CapeFoulwind,Chamaesipho columna,164,49,290,,
CapeFoulwind,Chamaesipho columna,116,50,270,,
CapeFoulwind,Chamaesipho columna,140,51,279,,
CapeFoulwind,Chamaesipho columna,166,38,320,,
CapeFoulwind,Chamaesipho columna,122,44,310,,
CapeFoulwind,Chamaesipho columna,169,65,253,,
CapeFoulwind,Chamaesipho columna,139,77,195,,
CapeFoulwind,Chamaesipho columna,239,79,289,,
CapeFoulwind,Chamaesipho columna,252,88,288,,
CapeFoulwind,Chamaesipho columna,219,89,249,,
CapeFoulwind,Chamaesipho columna,343,97,360,,
CapeFoulwind,Chamaesipho columna,234,75,296,,
CapeFoulwind,Chamaesipho columna,143,56,300,,
CapeFoulwind,Chamaesipho columna,18,8,343,,
CapeFoulwind,Chamaesipho columna,16,9,283,,
CapeFoulwind,Chamaesipho columna,191,54,329,,
CapeFoulwind,Chamaesipho columna,222,86,258,,
CapeFoulwind,Epopella plicata,11,21,76,,7
CapeFoulwind,Epopella plicata,1,1,127,,9
CapeFoulwind,Epopella plicata,8,16,53,,10
CapeFoulwind,Epopella plicata,21,26,62,,11
CapeFoulwind,Epopella plicata,2,4,131,,12
CapeFoulwind,Epopella plicata,4,12,36,,
CapeFoulwind,Epopella plicata,5,10,43,,
CapeFoulwind,Epopella plicata,53,100,53
CapeFoulwind,Epopella plicata,61,100,61
CapeFoulwind,Epopella plicata,13,24,71
CapeFoulwind,Epopella plicata,34,34,56
CapeFoulwind,Epopella plicata,32,46,65
CapeFoulwind,Epopella plicata,43,58,63
CapeFoulwind,Epopella plicata,38,52,68
CapeFoulwind,Epopella plicata,4,9,56
CapeFoulwind,Epopella plicata,37,49,88
CapeFoulwind,Epopella plicata,41,42,100
CapeFoulwind,Epopella plicata,53,54,89
CapeFoulwind,Epopella plicata,39,77,52
CapeFoulwind,Epopella plicata,26,51,55
CapeFoulwind,Epopella plicata,16,22,62
CapeFoulwind,Epopella plicata,19,28,66
CapeFoulwind,Epopella plicata,20,25,84
CapeFoulwind,Epopella plicata,53,77,71,,
CapeFoulwind,Epopella plicata,25,34,68,,
CapeFoulwind,Epopella plicata,8,22,43,,
CapeFoulwind,Epopella plicata,21,28,80,,
CapeFoulwind,Epopella plicata,24,57,55,,
CapeFoulwind,Epopella plicata,26,58,48,,
CapeFoulwind,Epopella plicata,25,39,53,,
