10%_constrained,20%_constrained,30%_constrained,50%_constrained,10%_or_+/-_2hr24min,20%_or_+/-_2hr24min,30%_or_+/-_2hr24min,50%_or_+/-_2hr24min,Year,Expt/Location,Aerated/Flowthrough/Neither,Temp,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,End_1st,End_2nd,Exact_End,Start_1st,Start_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Min_(hours),Max_(hours),Midpoint_(hours),Contraint_Percentage_([max-min]/mid,Start_+_End_Windows,Window,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
1,1,1,1,1,1,1,1,2005,H-Times-BottomLab,Neither,10.0,c10-1,Haustrum haustorium,Check datasheets,17.8,Turbo smaragdus,EPFS Lab Rocks,4.9,,yes,0.060,YES,0.005,100,0.000,,6/13/2005 3:10,,YES,6/16/2009 14:10,6/16/2009 15:10,,3.46,3.50,3.48,83.00,84.00,83.50,0.01,1:00:00,0.04,19.35,1
1,1,1,1,1,1,1,1,2005,H-Times-BottomLab,Neither,10.0,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.4,,yes,0.050,YES,0.004,100,0.000,,6/12/2005 19:52,,YES,6/13/2009 17:08,6/13/2009 18:08,,0.89,0.93,0.91,21.27,22.27,21.77,0.05,1:00:00,0.04,19.35,1
1,1,1,1,1,1,1,1,2005,H-Times-TopLab-aerated,Aerated,10.0,c21-1,Haustrum haustorium,Check datasheets,27.0,Cellana denticulata,EPFS Lab Rocks,15.1,,no,0.132,YES,,100,0.000,,6/4/2005 19:11,6/4/2009 20:05,,6/10/2009 13:00,6/10/2009 14:30,,5.70,5.80,5.75,136.92,139.32,138.12,0.02,2:24:00,0.10,9.09,1
1,1,1,1,1,1,1,1,2006,H-Times-TopLab-HighTemp,Aerated,18.0,c12-1,Haustrum haustorium,EPFS Rocks,16.8,Risellopsis varia,"EPFS, Lighthouse Reef & Paia Pt",4.6,3.2,yes,0.014,YES,,100,0.000,,6/13/2006 8:34,6/13/2006 9:41,,6/14/2006 11:52,6/14/2006 12:52,,1.09,1.18,1.14,26.18,28.30,27.24,0.08,2:07:00,0.09,10.18,1
1,1,1,1,1,1,1,1,2007,H-Times-TopLab-HighTemp,Aerated,18.0,c11-1,Haustrum haustorium,EPFS Rocks,21.2,Austrolittorina cincta,Paia Point,3.6,,no,0.010,no,,100,0.000,,5/23/2007 11:20,5/23/2007 12:15,,5/24/2007 12:20,5/24/2007 13:14,,1.00,1.08,1.04,24.08,25.90,24.99,0.07,1:49:00,0.08,11.67,1
1,1,1,1,1,1,1,1,2005,H-Times-TopLab-HighTemp,Aerated,19.0,c19-1,Haustrum haustorium,Check datasheets,23.7,Patelloida corticata,?Lighthouse Reef,7.0,,no,0.019,NO,,100,0.000,,7/1/2005 11:34,7/1/2009 12:44,,7/3/2009 9:28,7/3/2009 10:36,,1.86,1.96,1.91,44.73,47.03,45.88,0.05,2:18:00,0.10,9.45,1
1,1,1,1,1,1,1,1,2005,H-Times-TopLab-HighTemp,Aerated,18.3,c6-3,Haustrum haustorium,Check datasheets,24.0,Turbo smaragdus,EPFS Lab Rocks,10.2,,no,0.448,YES,0.054,100,0.000,,7/18/2005 18:13,7/18/2009 19:04,,7/19/2009 13:48,7/19/2009 14:49,,0.78,0.86,0.82,18.73,20.60,19.67,0.09,1:52:00,0.08,11.39,1
1,1,1,1,1,1,1,1,2006,H-Times-TopLab-HighTemp,Aerated,18.0,c4-3,Haustrum haustorium,EPFS Rocks,24.1,Sypharochiton pelliserpentis,"EPFS, Lighthouse Reef & Paia Pt",6.2,,no,0.012,no,,100,0.000,,7/2/2006 15:39,7/2/2006 16:39,,7/3/2006 11:08,7/3/2006 12:04,,0.77,0.85,0.81,18.48,20.42,19.45,0.10,1:56:00,0.08,11.04,1
1,1,1,1,1,1,1,1,2006,H-Times-TopLab-HighTemp,Aerated,18.0,c3-1,Haustrum haustorium,EPFS Rocks,24.6,Onithochiton neglectus neglectus,Robyn's Sea-table,8.8,,no,0.032,no,,100,0.000,,6/9/2006 10:45,6/9/2006 11:39,,6/10/2006 8:46,6/10/2006 9:43,,0.88,0.96,0.92,21.12,22.97,22.04,0.08,1:51:00,0.08,11.48,1
1,1,1,1,1,1,1,1,2005,H-Times-TopLab-HighTemp,Aerated,18.3,c8-3,Haustrum haustorium,Check datasheets,25.9,Turbo smaragdus,EPFS Lab Rocks,6.5,,yes,0.154,YES,0.012,100,0.000,,7/18/2005 17:24,7/18/2009 18:13,,7/20/2009 13:12,7/20/2009 14:16,,1.79,1.87,1.83,42.98,44.87,43.93,0.04,1:53:00,0.08,11.30,1
1,1,1,1,1,1,1,1,2006,H-Times-TopLab-HighTemp,Aerated,18.0,c22-2,Haustrum haustorium,EPFS Rocks,26.5,Cellana radians,"EPFS, Lighthouse Reef & Paia Pt",10.2,,no,0.032,no,,100,0.000,,6/12/2006 23:07,6/13/2006 0:06,,6/15/2006 9:44,6/15/2006 10:39,,2.40,2.48,2.44,57.63,59.53,58.58,0.03,1:54:00,0.08,11.21,1
