10%_constrained,20%_constrained,30%_constrained,50%_constrained,10%_or_+/-_2hr24min,20%_or_+/-_2hr24min,30%_or_+/-_2hr24min,50%_or_+/-_2hr24min,Year,Expt/Location,Aerated/Flowthrough/Neither,Temp,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Min_(hours),Max_(hours),Midpoint_(hours),Contraint_Percentage_([max-min]/mid,Start_+_End_Windows,Window,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
0,0,0,0,0,0,0,0,2005,H-Times-TopLab,Aerated,10.0,c20-1,Haustrum haustorium,Check datasheets,28.9,Siphonaria australis,EPFS & ?Lighthouse Reef,11.3,,no,0.060,NO,,30,,"occurred between two observations, only center of food consumed, prey abandoned",6/2/2005 4:30,6/2/2005 7:30,,6/2/2005 4:30,6/2/2005 7:30,,0.00,0.13,0.06,0.00,3.00,1.50,2.00,6:00:00,0.25,3.85,0
0,0,0,1,0,0,0,1,2005,H-Times-TopLab-aerated,Aerated,10.0,c9-1,Haustrum haustorium,Check datasheets,26.4,Diloma aethiops,EPFS Lab Rocks,8.0,,no,0.221,YES,,100,0.000,,6/1/2005 23:00,6/2/2005 4:30,,6/2/2005 18:00,6/2/2005 19:00,,0.56,0.83,0.70,13.50,20.00,16.75,0.39,6:30:00,0.27,3.56,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-aerated,Aerated,10.0,c21-1,Haustrum haustorium,Check datasheets,27.0,Cellana denticulata,EPFS Lab Rocks,15.1,,no,0.132,YES,,100,0.000,,6/2/2005 21:05,6/3/2005 6:25,,6/3/2005 19:11,6/3/2005 20:05,,0.53,0.96,0.75,12.77,23.00,17.88,0.57,10:14:00,0.43,2.29,0
1,1,1,1,1,1,1,1,2005,H-Times-TopLab-aerated,Aerated,10.0,c8-1,Haustrum haustorium,Check datasheets,27.0,Haustrum scobina,Tauranga Head,12.3,,no,0.295,YES,,100,0.000,,6/1/2005 20:00,6/1/2005 23:00,,6/3/2005 20:05,6/3/2005 21:08,,1.88,2.05,1.96,45.08,49.13,47.11,0.09,4:03:00,0.17,5.59,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab,Aerated,10.0,c20-1,Haustrum haustorium,Check datasheets,28.9,Siphonaria australis,EPFS & ?Lighthouse Reef,9.0,,no,0.003,NO,,100,0.000,,6/3/2005 20:05,6/3/2005 21:08,,6/3/2005 21:08,6/4/2005 6:20,,0.00,0.43,0.21,0.00,10.25,5.13,2.00,10:15:00,0.43,2.29,0
0,0,0,1,0,0,0,1,2005,H-Times-TopLab-aerated,Aerated,10.0,c9-1,Haustrum haustorium,Check datasheets,26.4,Diloma aethiops,EPFS Lab Rocks,10.2,,no,0.451,NO,,100,0.000,,6/3/2005 21:08,6/4/2005 6:20,,6/5/2005 8:20,6/5/2005 10:50,,1.08,1.57,1.33,26.00,37.70,31.85,0.37,11:42:00,0.49,2.01,0
0,1,1,1,0,1,1,1,2005,H-Times-TopLab-aerated,Aerated,10.0,c14-1,Haustrum haustorium,Check datasheets,29.0,Diloma aethiops,EPFS Lab Rocks,10.4,,no,0.648,YES,,100,0.000,,6/4/2005 19:00,6/4/2005 21:10,,6/5/2005 19:00,6/5/2005 20:00,,0.91,1.04,0.98,21.83,25.00,23.42,0.14,3:10:00,0.13,7.05,0
0,1,1,1,1,1,1,1,2005,H-Times-TopLab,Aerated,10.0,c20-1,Haustrum haustorium,Check datasheets,28.9,Siphonaria australis,EPFS & ?Lighthouse Reef,11.9,,no,0.084,NO,,90,,perimeter of foot not eaten,6/5/2005 18:06,6/5/2005 19:00,,6/6/2005 8:10,6/6/2005 9:10,,0.55,0.63,0.59,13.17,15.07,14.12,0.13,1:54:00,0.08,11.21,1
0,0,0,0,0,0,0,0,2005,H-Times-TopLab,Aerated,10.0,c20-2,Haustrum haustorium,Check datasheets,27.6,Siphonaria australis,EPFS & ?Lighthouse Reef,11.7,,no,0.078,NO,,90,0.010,,6/6/2005 17:04,6/6/2005 18:00,,6/6/2005 22:00,6/7/2005 8:00,,0.17,0.62,0.39,4.00,14.93,9.47,1.15,10:56:00,0.46,2.15,0
1,1,1,1,1,1,1,1,2005,H-Times-TopLab-aerated,Aerated,10.0,c9-2,Haustrum haustorium,Check datasheets,43.7,Diloma aethiops,EPFS Lab Rocks,10.3,,no,0.405,YES,,100,0.000,,6/6/2005 20:00,6/6/2005 21:00,,6/7/2005 19:00,6/7/2005 20:00,,0.92,1.00,0.96,22.00,24.00,23.00,0.09,2:00:00,0.08,10.71,1
0,1,1,1,0,1,1,1,2005,H-Times-TopLab,Aerated,10.0,c7-1,Haustrum haustorium,Check datasheets,26.0,Sypharochiton pelliserpentis,EPFS Lab Rocks,12.2,,no,0.107,NO,,100,0.000,,6/4/2005 19:00,6/4/2005 21:10,,6/7/2005 22:00,6/8/2005 8:00,,3.03,3.54,3.29,72.83,85.00,78.92,0.15,12:10:00,0.51,1.93,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab-aerated,Aerated,10.0,c9-2,Haustrum haustorium,Check datasheets,43.7,Diloma aethiops,EPFS Lab Rocks,9.8,,no,0.331,YES,,100,0.000,,6/8/2005 14:05,6/8/2005 15:00,,6/8/2005 22:00,6/9/2005 8:15,,0.29,0.76,0.52,7.00,18.17,12.58,0.89,11:10:00,0.47,2.10,0
0,0,0,0,0,0,0,0,2005,H-Times-TopLab,Aerated,10.0,c9-2,Haustrum haustorium,Check datasheets,43.7,Diloma aethiops,EPFS Lab Rocks,9.6,,no,0.440,YES,,100,0.000,,6/9/2005 14:30,6/9/2005 15:30,,6/9/2005 23:00,6/10/2005 8:10,,0.31,0.74,0.52,7.50,17.67,12.58,0.81,10:10:00,0.42,2.31,0
