DS1921:  C634C00004870521
Download at: 2/21/2006 4:29:55 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  02/15/2006  17:30 
Mission Start delay: 0 minute(s)
Mission Samples: 287
Device total samples: 4259
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Tuesday  02/21/2006  16:30:46 
Current PC Time: Tuesday  02/21/2006  16:30:47 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 0
10.0°C, 0
12.0°C, 0
14.0°C, 0
16.0°C, 0
18.0°C, 0
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 1
42.0°C, 0
44.0°C, 0
46.0°C, 1
48.0°C, 28
50.0°C, 3
52.0°C, 68
54.0°C, 115
56.0°C, 58
58.0°C, 12
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 02/15/2006  17:30 , 40.5°C
 02/15/2006  18:00 , 47.5°C
 02/15/2006  18:30 , 48.5°C
 02/15/2006  19:00 , 48.5°C
 02/15/2006  19:30 , 48.5°C
 02/15/2006  20:00 , 48.5°C
 02/15/2006  20:30 , 48.5°C
 02/15/2006  21:00 , 48.5°C
 02/15/2006  21:30 , 49.0°C
 02/15/2006  22:00 , 49.0°C
 02/15/2006  22:30 , 49.0°C
 02/15/2006  23:00 , 49.0°C
 02/15/2006  23:30 , 49.0°C
 02/16/2006  00:00 , 49.0°C
 02/16/2006  00:30 , 48.5°C
 02/16/2006  01:00 , 48.5°C
 02/16/2006  01:30 , 48.0°C
 02/16/2006  02:00 , 48.0°C
 02/16/2006  02:30 , 48.0°C
 02/16/2006  03:00 , 48.5°C
 02/16/2006  03:30 , 48.5°C
 02/16/2006  04:00 , 48.5°C
 02/16/2006  04:30 , 48.5°C
 02/16/2006  05:00 , 48.0°C
 02/16/2006  05:30 , 48.5°C
 02/16/2006  06:00 , 48.0°C
 02/16/2006  06:30 , 48.0°C
 02/16/2006  07:00 , 48.0°C
 02/16/2006  07:30 , 48.0°C
