DS1921:  A734C000018D2021
Download at: 5/12/2004 6:09:32 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  05/09/2004  12:02 
Mission Start delay: 0 minute(s)
Mission Samples: 157
Device total samples: 52021
Temperatures displayed in: (Celsius)
High Threshold: 35.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Wednesday  05/12/2004  18:10:29 
Current PC Time: Wednesday  05/12/2004  18:10:29 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(no)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 0
10.0°C, 156
12.0°C, 0
14.0°C, 0
16.0°C, 0
18.0°C, 0
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 05/09/2004  12:02 , 10.0°C
 05/09/2004  12:32 , 10.0°C
 05/09/2004  13:02 , 10.0°C
 05/09/2004  13:32 , 10.0°C
 05/09/2004  14:02 , 10.0°C
 05/09/2004  14:32 , 10.0°C
 05/09/2004  15:02 , 10.0°C
 05/09/2004  15:32 , 10.0°C
 05/09/2004  16:02 , 10.0°C
 05/09/2004  16:32 , 10.0°C
 05/09/2004  17:02 , 10.0°C
 05/09/2004  17:32 , 10.0°C
 05/09/2004  18:02 , 10.0°C
 05/09/2004  18:32 , 10.0°C
 05/09/2004  19:02 , 10.0°C
 05/09/2004  19:32 , 10.0°C
 05/09/2004  20:02 , 10.0°C
 05/09/2004  20:32 , 10.0°C
 05/09/2004  21:02 , 10.0°C
 05/09/2004  21:32 , 10.0°C
 05/09/2004  22:02 , 10.0°C
 05/09/2004  22:32 , 10.0°C
 05/09/2004  23:02 , 10.0°C
 05/09/2004  23:32 , 10.0°C
 05/10/2004  00:02 , 10.0°C
 05/10/2004  00:32 , 10.0°C
 05/10/2004  01:02 , 10.0°C
 05/10/2004  01:32 , 10.0°C
 05/10/2004  02:02 , 10.0°C
