DS1921:  1134C000018D0021
Download at: 8/28/2004 12:55:56 PM

Mission State
-------------
Mission is in progress
Sample rate: 10 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  08/14/2004  14:01 
Mission Start delay: 0 minute(s)
Mission Samples: 2010
Device total samples: 50581
Temperatures displayed in: (Celsius)
High Threshold: 30.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Saturday  08/28/2004  12:57:02 
Current PC Time: Saturday  08/28/2004  12:56:48 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 783
8.0°C, 707
10.0°C, 368
12.0°C, 146
14.0°C, 0
16.0°C, 0
18.0°C, 1
20.0°C, 2
22.0°C, 3
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 08/14/2004  14:01 , 11.5°C
 08/14/2004  14:11 , 11.0°C
 08/14/2004  14:21 , 11.0°C
 08/14/2004  14:31 , 11.0°C
 08/14/2004  14:41 , 11.0°C
 08/14/2004  14:51 , 11.0°C
 08/14/2004  15:01 , 11.0°C
 08/14/2004  15:11 , 11.5°C
 08/14/2004  15:21 , 11.5°C
 08/14/2004  15:31 , 11.5°C
 08/14/2004  15:41 , 11.5°C
 08/14/2004  15:51 , 11.5°C
 08/14/2004  16:01 , 11.5°C
 08/14/2004  16:11 , 11.5°C
 08/14/2004  16:21 , 11.5°C
 08/14/2004  16:31 , 11.5°C
 08/14/2004  16:41 , 11.5°C
 08/14/2004  16:51 , 11.5°C
 08/14/2004  17:01 , 11.5°C
 08/14/2004  17:11 , 11.5°C
 08/14/2004  17:21 , 11.5°C
 08/14/2004  17:31 , 11.5°C
 08/14/2004  17:41 , 11.5°C
 08/14/2004  17:51 , 11.5°C
 08/14/2004  18:01 , 11.5°C
 08/14/2004  18:11 , 11.5°C
 08/14/2004  18:21 , 11.5°C
 08/14/2004  18:31 , 11.5°C
 08/14/2004  18:41 , 12.0°C
