DS1921:  A734C000018D2021
Download at: 8/9/2004 1:42:37 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/25/2004  11:22 
Mission Start delay: 0 minute(s)
Mission Samples: 725
Device total samples: 52746
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Monday  08/09/2004  13:43:58 
Current PC Time: Monday  08/09/2004  13:44:00 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 53
10.0°C, 667
12.0°C, 0
14.0°C, 0
16.0°C, 0
18.0°C, 0
20.0°C, 0
22.0°C, 1
24.0°C, 1
26.0°C, 2
28.0°C, 1
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 07/25/2004  11:22 , 26.5°C
 07/25/2004  11:52 , 25.0°C
 07/25/2004  12:22 , 28.0°C
 07/25/2004  12:52 , 22.5°C
 07/25/2004  13:22 , 10.0°C
 07/25/2004  13:52 , 10.0°C
 07/25/2004  14:22 , 10.0°C
 07/25/2004  14:52 , 10.0°C
 07/25/2004  15:22 , 10.0°C
 07/25/2004  15:52 , 10.0°C
 07/25/2004  16:22 , 10.0°C
 07/25/2004  16:52 , 10.0°C
 07/25/2004  17:22 , 10.0°C
 07/25/2004  17:52 , 10.0°C
 07/25/2004  18:22 , 10.0°C
 07/25/2004  18:52 , 10.0°C
 07/25/2004  19:22 , 10.0°C
 07/25/2004  19:52 , 10.0°C
 07/25/2004  20:22 , 10.0°C
 07/25/2004  20:52 , 10.0°C
 07/25/2004  21:22 , 10.0°C
 07/25/2004  21:52 , 10.0°C
 07/25/2004  22:22 , 10.0°C
 07/25/2004  22:52 , 10.0°C
 07/25/2004  23:22 , 10.0°C
 07/25/2004  23:52 , 10.0°C
 07/26/2004  00:22 , 10.0°C
 07/26/2004  00:52 , 10.0°C
 07/26/2004  01:22 , 10.0°C
