DS1921:  FE34C00001885E21
Download at: 8/9/2004 1:45:55 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/25/2004  11:21 
Mission Start delay: 0 minute(s)
Mission Samples: 725
Device total samples: 50634
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Monday  08/09/2004  13:46:31 
Current PC Time: Monday  08/09/2004  13:46:16 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 0
10.0°C, 0
12.0°C, 3
14.0°C, 543
16.0°C, 174
18.0°C, 0
20.0°C, 0
22.0°C, 2
24.0°C, 0
26.0°C, 1
28.0°C, 1
30.0°C, 1
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 07/25/2004  11:21 , 26.0°C
 07/25/2004  11:51 , 23.0°C
 07/25/2004  12:21 , 30.0°C
 07/25/2004  12:51 , 23.5°C
 07/25/2004  13:21 , 14.5°C
 07/25/2004  13:51 , 15.0°C
 07/25/2004  14:21 , 15.0°C
 07/25/2004  14:51 , 15.0°C
 07/25/2004  15:21 , 15.0°C
 07/25/2004  15:51 , 15.0°C
 07/25/2004  16:21 , 15.0°C
 07/25/2004  16:51 , 15.0°C
 07/25/2004  17:21 , 15.0°C
 07/25/2004  17:51 , 15.0°C
 07/25/2004  18:21 , 15.0°C
 07/25/2004  18:51 , 15.0°C
 07/25/2004  19:21 , 15.0°C
 07/25/2004  19:51 , 15.0°C
 07/25/2004  20:21 , 15.0°C
 07/25/2004  20:51 , 15.0°C
 07/25/2004  21:21 , 15.0°C
 07/25/2004  21:51 , 15.0°C
 07/25/2004  22:21 , 15.0°C
 07/25/2004  22:51 , 15.0°C
 07/25/2004  23:21 , 14.5°C
 07/25/2004  23:51 , 14.5°C
 07/26/2004  00:21 , 14.5°C
 07/26/2004  00:51 , 14.5°C
 07/26/2004  01:21 , 14.5°C
