DS1921:  A734C000018D2021
Download at: 8/27/2004 3:42:27 PM

Mission State
-------------
Mission is in progress
Sample rate: 10 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  08/09/2004  14:46 
Mission Start delay: 0 minute(s)
Mission Samples: 2598
Device total samples: 55344
Temperatures displayed in: (Celsius)
High Threshold: 30.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(H)
Current Real-Time Clock from DS1921: Friday  08/27/2004  15:44:19 
Current PC Time: Friday  08/27/2004  15:44:05 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
HIGH ,  08/27/2004  14:16  to  08/27/2004  14:26 

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 838
10.0°C, 1744
12.0°C, 0
14.0°C, 0
16.0°C, 1
18.0°C, 2
20.0°C, 1
22.0°C, 0
24.0°C, 0
26.0°C, 4
28.0°C, 6
30.0°C, 2
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 08/09/2004  14:46 , 11.5°C
 08/09/2004  14:56 , 11.0°C
 08/09/2004  15:06 , 11.0°C
 08/09/2004  15:16 , 11.0°C
 08/09/2004  15:26 , 11.0°C
 08/09/2004  15:36 , 10.5°C
 08/09/2004  15:46 , 10.5°C
 08/09/2004  15:56 , 10.5°C
 08/09/2004  16:06 , 10.5°C
 08/09/2004  16:16 , 10.5°C
 08/09/2004  16:26 , 10.5°C
 08/09/2004  16:36 , 10.5°C
 08/09/2004  16:46 , 10.5°C
 08/09/2004  16:56 , 10.0°C
 08/09/2004  17:06 , 10.0°C
 08/09/2004  17:16 , 10.0°C
 08/09/2004  17:26 , 10.0°C
 08/09/2004  17:36 , 10.0°C
 08/09/2004  17:46 , 10.0°C
 08/09/2004  17:56 , 10.0°C
 08/09/2004  18:06 , 10.0°C
 08/09/2004  18:16 , 10.0°C
 08/09/2004  18:26 , 10.0°C
 08/09/2004  18:36 , 10.0°C
 08/09/2004  18:46 , 10.0°C
 08/09/2004  18:56 , 10.0°C
 08/09/2004  19:06 , 10.0°C
 08/09/2004  19:16 , 10.0°C
 08/09/2004  19:26 , 10.0°C
 08/09/2004  19:36 , 10.0°C
 08/09/2004  19:46 , 10.0°C
 08/09/2004  19:56 , 10.0°C
 08/09/2004  20:06 , 10.0°C
 08/09/2004  20:16 , 10.0°C
 08/09/2004  20:26 , 10.0°C
 08/09/2004  20:36 , 10.0°C
 08/09/2004  20:46 , 10.0°C
 08/09/2004  20:56 , 10.0°C
 08/09/2004  21:06 , 10.0°C
 08/09/2004  21:16 , 10.0°C
 08/09/2004  21:26 , 10.0°C
 08/09/2004  21:36 , 10.0°C
 08/09/2004  21:46 , 9.5°C
 08/09/2004  21:56 , 10.0°C
 08/09/2004  22:06 , 9.5°C
 08/09/2004  22:16 , 9.5°C
 08/09/2004  22:26 , 10.0°C
 08/09/2004  22:36 , 9.5°C
 08/09/2004  22:46 , 10.0°C
 08/09/2004  22:56 , 9.5°C
 08/09/2004  23:06 , 9.5°C
 08/09/2004  23:16 , 9.5°C
