DS1921:  EB34C0000063EF21
Download at: 8/27/2004 3:45:17 PM

Mission State
-------------
Mission is in progress
Sample rate: 10 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  08/09/2004  14:49 
Mission Start delay: 0 minute(s)
Mission Samples: 2598
Device total samples: 69776
Temperatures displayed in: (Celsius)
High Threshold: 30.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(H)
Current Real-Time Clock from DS1921: Friday  08/27/2004  15:45:18 
Current PC Time: Friday  08/27/2004  15:45:44 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
HIGH ,  08/27/2004  14:19  to  08/27/2004  14:29 
HIGH ,  08/27/2004  15:09  to  08/27/2004  15:09 

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 0
10.0°C, 0
12.0°C, 1
14.0°C, 9
16.0°C, 17
18.0°C, 1280
20.0°C, 1200
22.0°C, 80
24.0°C, 2
26.0°C, 1
28.0°C, 5
30.0°C, 3
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 08/09/2004  14:49 , 13.5°C
 08/09/2004  14:59 , 14.0°C
 08/09/2004  15:09 , 14.0°C
 08/09/2004  15:19 , 14.5°C
 08/09/2004  15:29 , 14.5°C
 08/09/2004  15:39 , 15.0°C
 08/09/2004  15:49 , 15.0°C
 08/09/2004  15:59 , 15.5°C
 08/09/2004  16:09 , 15.5°C
 08/09/2004  16:19 , 15.5°C
 08/09/2004  16:29 , 16.0°C
 08/09/2004  16:39 , 16.0°C
 08/09/2004  16:49 , 16.5°C
 08/09/2004  16:59 , 16.5°C
 08/09/2004  17:09 , 16.5°C
 08/09/2004  17:19 , 17.0°C
 08/09/2004  17:29 , 17.0°C
 08/09/2004  17:39 , 17.0°C
 08/09/2004  17:49 , 17.0°C
 08/09/2004  17:59 , 17.5°C
 08/09/2004  18:09 , 17.5°C
 08/09/2004  18:19 , 17.5°C
 08/09/2004  18:29 , 17.5°C
 08/09/2004  18:39 , 17.5°C
 08/09/2004  18:49 , 17.5°C
 08/09/2004  18:59 , 17.5°C
 08/09/2004  19:09 , 18.0°C
 08/09/2004  19:19 , 18.0°C
 08/09/2004  19:29 , 18.0°C
 08/09/2004  19:39 , 18.0°C
 08/09/2004  19:49 , 18.0°C
 08/09/2004  19:59 , 18.0°C
 08/09/2004  20:09 , 18.0°C
 08/09/2004  20:19 , 18.0°C
 08/09/2004  20:29 , 18.0°C
 08/09/2004  20:39 , 18.0°C
