DS1921:  4434C00001890D21
Download at: 8/9/2004 2:09:15 PM

Mission State
-------------
Mission is in progress
Sample rate: 15 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/23/2004  11:17 
Mission Start delay: 0 minute(s)
Mission Samples: 1644
Device total samples: 50840
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Monday  08/09/2004  14:10:23 
Current PC Time: Monday  08/09/2004  14:10:08 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 1525
10.0°C, 119
12.0°C, 0
14.0°C, 0
16.0°C, 0
18.0°C, 0
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 07/23/2004  11:17 , 8.5°C
 07/23/2004  11:32 , 8.5°C
 07/23/2004  11:47 , 8.5°C
 07/23/2004  12:02 , 8.5°C
 07/23/2004  12:17 , 8.5°C
 07/23/2004  12:32 , 8.5°C
 07/23/2004  12:47 , 8.5°C
 07/23/2004  13:02 , 8.5°C
 07/23/2004  13:17 , 8.5°C
 07/23/2004  13:32 , 8.5°C
 07/23/2004  13:47 , 8.5°C
 07/23/2004  14:02 , 8.5°C
 07/23/2004  14:17 , 8.5°C
 07/23/2004  14:32 , 8.5°C
 07/23/2004  14:47 , 8.5°C
 07/23/2004  15:02 , 8.5°C
 07/23/2004  15:17 , 8.5°C
 07/23/2004  15:32 , 8.5°C
 07/23/2004  15:47 , 8.5°C
 07/23/2004  16:02 , 8.5°C
 07/23/2004  16:17 , 8.5°C
 07/23/2004  16:32 , 8.5°C
 07/23/2004  16:47 , 8.5°C
 07/23/2004  17:02 , 8.5°C
 07/23/2004  17:17 , 8.5°C
 07/23/2004  17:32 , 8.5°C
 07/23/2004  17:47 , 8.5°C
 07/23/2004  18:02 , 8.5°C
 07/23/2004  18:17 , 8.5°C
