DS1921:  4434C00001890D21
Download at: 8/29/2004 12:46:55 PM

Mission State
-------------
Mission is in progress
Sample rate: 15 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  08/09/2004  14:13 
Mission Start delay: 0 minute(s)
Mission Samples: 1915
Device total samples: 52755
Temperatures displayed in: (Celsius)
High Threshold: 30.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Sunday  08/29/2004  12:48:08 
Current PC Time: Sunday  08/29/2004  12:47:24 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 91
8.0°C, 1262
10.0°C, 562
12.0°C, 0
14.0°C, 0
16.0°C, 0
18.0°C, 0
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 08/09/2004  14:13 , 10.0°C
 08/09/2004  14:28 , 10.0°C
 08/09/2004  14:43 , 10.0°C
 08/09/2004  14:58 , 10.0°C
 08/09/2004  15:13 , 10.0°C
 08/09/2004  15:28 , 10.0°C
 08/09/2004  15:43 , 10.0°C
 08/09/2004  15:58 , 10.0°C
 08/09/2004  16:13 , 10.0°C
 08/09/2004  16:28 , 10.0°C
 08/09/2004  16:43 , 10.0°C
 08/09/2004  16:58 , 10.0°C
 08/09/2004  17:13 , 10.0°C
 08/09/2004  17:28 , 10.0°C
 08/09/2004  17:43 , 10.0°C
 08/09/2004  17:58 , 10.0°C
 08/09/2004  18:13 , 10.0°C
 08/09/2004  18:28 , 10.0°C
 08/09/2004  18:43 , 10.0°C
 08/09/2004  18:58 , 10.0°C
 08/09/2004  19:13 , 10.0°C
 08/09/2004  19:28 , 10.0°C
 08/09/2004  19:43 , 10.0°C
 08/09/2004  19:58 , 10.0°C
 08/09/2004  20:13 , 9.5°C
 08/09/2004  20:28 , 9.5°C
 08/09/2004  20:43 , 9.5°C
 08/09/2004  20:58 , 9.5°C
 08/09/2004  21:13 , 9.5°C
