DS1921:  1134C000018D0021
Download at: 8/9/2004 2:04:29 PM

Mission State
-------------
Mission is in progress
Sample rate: 15 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/23/2004  11:18 
Mission Start delay: 0 minute(s)
Mission Samples: 1644
Device total samples: 48571
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Monday  08/09/2004  14:05:35 
Current PC Time: Monday  08/09/2004  14:05:36 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 42
8.0°C, 1039
10.0°C, 539
12.0°C, 23
14.0°C, 1
16.0°C, 0
18.0°C, 0
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 07/23/2004  11:18 , 7.0°C
 07/23/2004  11:33 , 7.0°C
 07/23/2004  11:48 , 7.0°C
 07/23/2004  12:03 , 7.0°C
 07/23/2004  12:18 , 6.5°C
 07/23/2004  12:33 , 6.5°C
 07/23/2004  12:48 , 6.5°C
 07/23/2004  13:03 , 7.0°C
 07/23/2004  13:18 , 7.0°C
 07/23/2004  13:33 , 7.0°C
 07/23/2004  13:48 , 7.0°C
 07/23/2004  14:03 , 7.0°C
 07/23/2004  14:18 , 7.0°C
 07/23/2004  14:33 , 7.0°C
 07/23/2004  14:48 , 7.5°C
 07/23/2004  15:03 , 7.5°C
 07/23/2004  15:18 , 7.5°C
 07/23/2004  15:33 , 7.5°C
 07/23/2004  15:48 , 7.5°C
 07/23/2004  16:03 , 8.0°C
 07/23/2004  16:18 , 8.0°C
 07/23/2004  16:33 , 8.0°C
 07/23/2004  16:48 , 8.0°C
 07/23/2004  17:03 , 8.0°C
 07/23/2004  17:18 , 8.0°C
 07/23/2004  17:33 , 8.5°C
 07/23/2004  17:48 , 8.5°C
 07/23/2004  18:03 , 8.5°C
 07/23/2004  18:18 , 8.5°C
