DS1921:  8034C000003E6421
Download at: 7/7/2005 9:29:23 AM

Mission State
-------------
Mission is in progress
Sample rate: 60 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  06/21/2005  09:01 
Mission Start delay: 0 minute(s)
Mission Samples: 385
Device total samples: 68194
Temperatures displayed in: (Celsius)
High Threshold: 30.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Thursday  07/07/2005  09:29:24 
Current PC Time: Thursday  07/07/2005  09:29:51 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 64
10.0°C, 309
12.0°C, 11
14.0°C, 0
16.0°C, 0
18.0°C, 0
20.0°C, 1
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 06/21/2005  09:01 , 20.0°C
 06/21/2005  10:01 , 11.5°C
 06/21/2005  11:01 , 11.5°C
 06/21/2005  12:01 , 11.5°C
 06/21/2005  13:01 , 12.0°C
 06/21/2005  14:01 , 12.0°C
 06/21/2005  15:01 , 12.0°C
 06/21/2005  16:01 , 12.5°C
 06/21/2005  17:01 , 12.0°C
 06/21/2005  18:01 , 12.0°C
 06/21/2005  19:01 , 12.0°C
 06/21/2005  20:01 , 12.0°C
 06/21/2005  21:01 , 11.5°C
 06/21/2005  22:01 , 11.5°C
 06/21/2005  23:01 , 11.5°C
 06/22/2005  00:01 , 11.5°C
 06/22/2005  01:01 , 11.5°C
 06/22/2005  02:01 , 11.5°C
 06/22/2005  03:01 , 11.5°C
 06/22/2005  04:01 , 11.5°C
 06/22/2005  05:01 , 11.5°C
 06/22/2005  06:01 , 11.5°C
 06/22/2005  07:01 , 11.5°C
 06/22/2005  08:01 , 11.5°C
 06/22/2005  09:01 , 11.5°C
 06/22/2005  10:01 , 11.5°C
 06/22/2005  11:01 , 11.5°C
 06/22/2005  12:01 , 11.5°C
 06/22/2005  13:01 , 11.5°C
