DS1921:  C634C00004870521
Download at: 8/18/2005 5:24:18 PM

Mission State
-------------
Mission is in progress
Sample rate: 60 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/29/2005  13:02 
Mission Start delay: 0 minute(s)
Mission Samples: 485
Device total samples: 3972
Temperatures displayed in: (Celsius)
High Threshold: 30.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Thursday  08/18/2005  17:25:01 
Current PC Time: Thursday  08/18/2005  17:24:35 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 0
10.0°C, 1
12.0°C, 3
14.0°C, 4
16.0°C, 63
18.0°C, 414
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 07/29/2005  13:02 , 18.5°C
 07/29/2005  14:02 , 18.5°C
 07/29/2005  15:02 , 18.5°C
 07/29/2005  16:02 , 18.5°C
 07/29/2005  17:02 , 18.5°C
 07/29/2005  18:02 , 18.5°C
 07/29/2005  19:02 , 18.5°C
 07/29/2005  20:02 , 18.5°C
 07/29/2005  21:02 , 18.5°C
 07/29/2005  22:02 , 18.5°C
 07/29/2005  23:02 , 18.0°C
 07/30/2005  00:02 , 18.0°C
 07/30/2005  01:02 , 18.0°C
 07/30/2005  02:02 , 18.0°C
 07/30/2005  03:02 , 18.0°C
 07/30/2005  04:02 , 18.0°C
 07/30/2005  05:02 , 18.0°C
 07/30/2005  06:02 , 18.0°C
 07/30/2005  07:02 , 18.0°C
 07/30/2005  08:02 , 18.0°C
 07/30/2005  09:02 , 18.0°C
 07/30/2005  10:02 , 18.0°C
 07/30/2005  11:02 , 18.5°C
 07/30/2005  12:02 , 18.5°C
 07/30/2005  13:02 , 18.5°C
 07/30/2005  14:02 , 18.5°C
 07/30/2005  15:02 , 18.5°C
 07/30/2005  16:02 , 18.5°C
 07/30/2005  17:02 , 18.5°C
