DS1921:  BF34C00004652C21
Download at: 6/27/2006 3:45:01 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  06/03/2006  11:05 
Mission Start delay: 0 minute(s)
Mission Samples: 1162
Device total samples: 5940
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Tuesday  06/27/2006  15:47:01 
Current PC Time: Tuesday  06/27/2006  15:46:17 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 5
10.0°C, 1156
12.0°C, 0
14.0°C, 0
16.0°C, 0
18.0°C, 1
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 06/03/2006  11:05 , 19.5°C
 06/03/2006  11:35 , 10.5°C
 06/03/2006  12:05 , 10.0°C
 06/03/2006  12:35 , 10.0°C
 06/03/2006  13:05 , 10.0°C
 06/03/2006  13:35 , 10.0°C
 06/03/2006  14:05 , 10.0°C
 06/03/2006  14:35 , 10.0°C
 06/03/2006  15:05 , 10.0°C
 06/03/2006  15:35 , 10.0°C
 06/03/2006  16:05 , 10.0°C
 06/03/2006  16:35 , 10.0°C
 06/03/2006  17:05 , 10.0°C
 06/03/2006  17:35 , 10.0°C
 06/03/2006  18:05 , 10.0°C
 06/03/2006  18:35 , 10.0°C
 06/03/2006  19:05 , 10.0°C
 06/03/2006  19:35 , 10.0°C
 06/03/2006  20:05 , 10.0°C
 06/03/2006  20:35 , 10.0°C
 06/03/2006  21:05 , 10.0°C
 06/03/2006  21:35 , 10.0°C
 06/03/2006  22:05 , 10.0°C
 06/03/2006  22:35 , 10.0°C
 06/03/2006  23:05 , 10.0°C
 06/03/2006  23:35 , 10.0°C
 06/04/2006  00:05 , 10.0°C
 06/04/2006  00:35 , 10.0°C
 06/04/2006  01:05 , 10.0°C
