DS1921:  1134C000018D0021
Download at: 8/4/2006 2:57:29 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/19/2006  14:17 
Mission Start delay: 0 minute(s)
Mission Samples: 770
Device total samples: 54303
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Friday  08/04/2006  14:58:08 
Current PC Time: Friday  08/04/2006  14:57:57 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 1
10.0°C, 6
12.0°C, 372
14.0°C, 391
16.0°C, 0
18.0°C, 0
20.0°C, 0
22.0°C, 0
24.0°C, 0
26.0°C, 0
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 07/19/2006  14:17 , 11.5°C
 07/19/2006  14:47 , 11.5°C
 07/19/2006  15:17 , 12.0°C
 07/19/2006  15:47 , 12.0°C
 07/19/2006  16:17 , 12.5°C
 07/19/2006  16:47 , 12.5°C
 07/19/2006  17:17 , 12.5°C
 07/19/2006  17:47 , 13.0°C
 07/19/2006  18:17 , 13.0°C
 07/19/2006  18:47 , 13.0°C
 07/19/2006  19:17 , 13.5°C
 07/19/2006  19:47 , 13.5°C
 07/19/2006  20:17 , 13.5°C
 07/19/2006  20:47 , 13.5°C
 07/19/2006  21:17 , 13.5°C
 07/19/2006  21:47 , 13.5°C
 07/19/2006  22:17 , 13.5°C
 07/19/2006  22:47 , 13.5°C
 07/19/2006  23:17 , 13.5°C
 07/19/2006  23:47 , 13.5°C
 07/20/2006  00:17 , 13.5°C
 07/20/2006  00:47 , 13.5°C
 07/20/2006  01:17 , 13.5°C
 07/20/2006  01:47 , 13.5°C
 07/20/2006  02:17 , 13.0°C
 07/20/2006  02:47 , 13.0°C
 07/20/2006  03:17 , 13.0°C
 07/20/2006  03:47 , 13.0°C
 07/20/2006  04:17 , 13.0°C
