DS1921:  A734C000018D2021
Download at: 7/6/2006 4:58:40 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  06/02/2006  17:14 
Mission Start delay: 0 minute(s)
Mission Samples: 1632
Device total samples: 94728
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Thursday  07/06/2006  16:59:46 
Current PC Time: Thursday  07/06/2006  16:59:25 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 0
10.0°C, 13
12.0°C, 436
14.0°C, 1172
16.0°C, 2
18.0°C, 2
20.0°C, 1
22.0°C, 1
24.0°C, 4
26.0°C, 1
28.0°C, 0
30.0°C, 0
32.0°C, 0
34.0°C, 0
36.0°C, 0
38.0°C, 0
40.0°C, 0
42.0°C, 0
44.0°C, 0
46.0°C, 0
48.0°C, 0
50.0°C, 0
52.0°C, 0
54.0°C, 0
56.0°C, 0
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 06/02/2006  17:14 , 20.0°C
 06/02/2006  17:44 , 15.0°C
 06/02/2006  18:14 , 15.0°C
 06/02/2006  18:44 , 15.0°C
 06/02/2006  19:14 , 15.0°C
 06/02/2006  19:44 , 15.0°C
 06/02/2006  20:14 , 15.0°C
 06/02/2006  20:44 , 15.0°C
 06/02/2006  21:14 , 15.0°C
 06/02/2006  21:44 , 15.0°C
 06/02/2006  22:14 , 14.5°C
 06/02/2006  22:44 , 14.5°C
 06/02/2006  23:14 , 14.5°C
 06/02/2006  23:44 , 14.5°C
 06/03/2006  00:14 , 14.5°C
 06/03/2006  00:44 , 14.5°C
 06/03/2006  01:14 , 14.0°C
 06/03/2006  01:44 , 14.0°C
 06/03/2006  02:14 , 14.0°C
 06/03/2006  02:44 , 14.0°C
 06/03/2006  03:14 , 14.0°C
 06/03/2006  03:44 , 14.0°C
 06/03/2006  04:14 , 14.0°C
 06/03/2006  04:44 , 14.0°C
 06/03/2006  05:14 , 13.5°C
 06/03/2006  05:44 , 13.5°C
 06/03/2006  06:14 , 13.5°C
 06/03/2006  06:44 , 13.5°C
 06/03/2006  07:14 , 13.5°C
