DS1921:  C634C00004870521
Download at: 6/6/2007 8:38:31 PM

Mission State
-------------
Mission is in progress
Sample rate: 27 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  06/04/2007  12:34 
Mission Start delay: 0 minute(s)
Mission Samples: 125
Device total samples: 9948
Temperatures displayed in: (Celsius)
High Threshold: -40.0°C
Low Threshold: -40.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(H)
Current Real-Time Clock from DS1921: Wednesday  06/06/2007  20:38:53 
Current PC Time: Wednesday  06/06/2007  20:38:32 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(no)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
HIGH ,  06/04/2007  12:34  to  06/06/2007  20:22 

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C to -38.5°C, 0
-38.0°C to -36.5°C, 0
-36.0°C to -34.5°C, 0
-34.0°C to -32.5°C, 0
-32.0°C to -30.5°C, 0
-30.0°C to -28.5°C, 0
-28.0°C to -26.5°C, 0
-26.0°C to -24.5°C, 0
-24.0°C to -22.5°C, 0
-22.0°C to -20.5°C, 0
-20.0°C to -18.5°C, 0
-18.0°C to -16.5°C, 0
-16.0°C to -14.5°C, 0
-14.0°C to -12.5°C, 0
-12.0°C to -10.5°C, 0
-10.0°C to -8.5°C, 0
-8.0°C to -6.5°C, 0
-6.0°C to -4.5°C, 0
-4.0°C to -2.5°C, 0
-2.0°C to -0.5°C, 0
0.0°C to 1.5°C, 0
2.0°C to 3.5°C, 0
4.0°C to 5.5°C, 0
6.0°C to 7.5°C, 0
8.0°C to 9.5°C, 0
10.0°C to 11.5°C, 0
12.0°C to 13.5°C, 10
14.0°C to 15.5°C, 95
16.0°C to 17.5°C, 0
18.0°C to 19.5°C, 1
20.0°C to 21.5°C, 5
22.0°C to 23.5°C, 6
24.0°C to 25.5°C, 6
26.0°C to 27.5°C, 2
28.0°C to 29.5°C, 0
30.0°C to 31.5°C, 0
32.0°C to 33.5°C, 0
34.0°C to 35.5°C, 0
36.0°C to 37.5°C, 0
38.0°C to 39.5°C, 0
40.0°C to 41.5°C, 0
42.0°C to 43.5°C, 0
44.0°C to 45.5°C, 0
46.0°C to 47.5°C, 0
48.0°C to 49.5°C, 0
50.0°C to 51.5°C, 0
52.0°C to 53.5°C, 0
54.0°C to 55.5°C, 0
56.0°C to 57.5°C, 0
58.0°C to 59.5°C, 0
60.0°C to 61.5°C, 0
62.0°C to 63.5°C, 0
64.0°C to 65.5°C, 0
66.0°C to 67.5°C, 0
68.0°C to 69.5°C, 0
70.0°C to 71.5°C, 0
72.0°C to 73.5°C, 0
74.0°C to 75.5°C, 0
76.0°C to 77.5°C, 0
78.0°C to 79.5°C, 0
80.0°C to 81.5°C, 0
82.0°C to 83.5°C, 0
84.0°C to 85.5°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 06/04/2007  12:34 , 12.5°C
 06/04/2007  13:01 , 13.0°C
 06/04/2007  13:28 , 13.0°C
 06/04/2007  13:55 , 13.0°C
 06/04/2007  14:22 , 13.5°C
 06/04/2007  14:49 , 13.5°C
 06/04/2007  15:16 , 13.5°C
 06/04/2007  15:43 , 13.5°C
 06/04/2007  16:10 , 13.5°C
 06/04/2007  16:37 , 13.5°C
 06/04/2007  17:04 , 14.0°C
 06/04/2007  17:31 , 14.0°C
 06/04/2007  17:58 , 14.0°C
 06/04/2007  18:25 , 14.0°C
 06/04/2007  18:52 , 14.0°C
 06/04/2007  19:19 , 14.0°C
 06/04/2007  19:46 , 14.0°C
 06/04/2007  20:13 , 14.0°C
 06/04/2007  20:40 , 14.0°C
 06/04/2007  21:07 , 14.0°C
 06/04/2007  21:34 , 14.0°C
 06/04/2007  22:01 , 14.0°C
 06/04/2007  22:28 , 14.0°C
 06/04/2007  22:55 , 14.0°C
 06/04/2007  23:22 , 14.0°C
 06/04/2007  23:49 , 14.0°C
 06/05/2007  00:16 , 14.0°C
 06/05/2007  00:43 , 14.0°C
 06/05/2007  01:10 , 14.0°C
 06/05/2007  01:37 , 14.0°C
 06/05/2007  02:04 , 14.0°C
 06/05/2007  02:31 , 14.0°C
 06/05/2007  02:58 , 14.0°C
 06/05/2007  03:25 , 14.0°C
 06/05/2007  03:52 , 14.5°C
 06/05/2007  04:19 , 14.5°C
 06/05/2007  04:46 , 14.5°C
 06/05/2007  05:13 , 14.5°C
 06/05/2007  05:40 , 14.5°C
 06/05/2007  06:07 , 14.5°C
 06/05/2007  06:34 , 14.0°C
 06/05/2007  07:01 , 14.5°C
 06/05/2007  07:28 , 14.0°C
 06/05/2007  07:55 , 14.5°C
 06/05/2007  08:22 , 14.5°C
 06/05/2007  08:49 , 14.5°C
 06/05/2007  09:16 , 14.5°C
 06/05/2007  09:43 , 14.5°C
 06/05/2007  10:10 , 14.5°C
 06/05/2007  10:37 , 14.5°C
 06/05/2007  11:04 , 14.5°C
 06/05/2007  11:31 , 14.5°C
 06/05/2007  11:58 , 14.5°C
 06/05/2007  12:25 , 14.5°C
 06/05/2007  12:52 , 14.5°C
 06/05/2007  13:19 , 14.5°C
 06/05/2007  13:46 , 14.5°C
 06/05/2007  14:13 , 14.5°C
 06/05/2007  14:40 , 14.5°C
 06/05/2007  15:07 , 14.5°C
 06/05/2007  15:34 , 14.5°C
 06/05/2007  16:01 , 14.5°C
 06/05/2007  16:28 , 14.5°C
 06/05/2007  16:55 , 14.5°C
 06/05/2007  17:22 , 14.5°C
 06/05/2007  17:49 , 14.5°C
 06/05/2007  18:16 , 14.5°C
 06/05/2007  18:43 , 14.5°C
 06/05/2007  19:10 , 14.5°C
 06/05/2007  19:37 , 14.5°C
 06/05/2007  20:04 , 14.5°C
 06/05/2007  20:31 , 14.5°C
 06/05/2007  20:58 , 14.5°C
 06/05/2007  21:25 , 14.5°C
 06/05/2007  21:52 , 14.5°C
 06/05/2007  22:19 , 14.5°C
 06/05/2007  22:46 , 14.5°C
 06/05/2007  23:13 , 14.5°C
 06/05/2007  23:40 , 14.5°C
 06/06/2007  00:07 , 14.5°C
 06/06/2007  00:34 , 14.5°C
 06/06/2007  01:01 , 14.5°C
 06/06/2007  01:28 , 14.5°C
 06/06/2007  01:55 , 14.5°C
 06/06/2007  02:22 , 14.5°C
 06/06/2007  02:49 , 14.5°C
 06/06/2007  03:16 , 14.5°C
 06/06/2007  03:43 , 14.0°C
 06/06/2007  04:10 , 14.0°C
 06/06/2007  04:37 , 14.0°C
 06/06/2007  05:04 , 14.0°C
 06/06/2007  05:31 , 14.0°C
 06/06/2007  05:58 , 14.0°C
 06/06/2007  06:25 , 14.0°C
 06/06/2007  06:52 , 14.0°C
 06/06/2007  07:19 , 14.0°C
 06/06/2007  07:46 , 14.0°C
 06/06/2007  08:13 , 14.0°C
 06/06/2007  08:40 , 14.0°C
 06/06/2007  09:07 , 14.0°C
 06/06/2007  09:34 , 14.0°C
 06/06/2007  10:01 , 14.0°C
 06/06/2007  10:28 , 14.0°C
 06/06/2007  10:55 , 14.0°C
 06/06/2007  11:22 , 14.5°C
 06/06/2007  11:49 , 20.0°C
 06/06/2007  12:16 , 21.5°C
 06/06/2007  12:43 , 23.0°C
 06/06/2007  13:10 , 25.5°C
 06/06/2007  13:37 , 27.0°C
 06/06/2007  14:04 , 26.0°C
 06/06/2007  14:31 , 25.5°C
 06/06/2007  14:58 , 25.0°C
 06/06/2007  15:25 , 25.5°C
 06/06/2007  15:52 , 25.0°C
 06/06/2007  16:19 , 24.0°C
 06/06/2007  16:46 , 22.5°C
 06/06/2007  17:13 , 22.5°C
 06/06/2007  17:40 , 21.0°C
 06/06/2007  18:07 , 20.0°C
 06/06/2007  18:34 , 19.5°C
 06/06/2007  19:01 , 21.0°C
 06/06/2007  19:28 , 22.0°C
 06/06/2007  19:55 , 23.5°C
 06/06/2007  20:22 , 22.5°C

Debug Dump (optional)
---------------------
Register Page:
53 38 20 04 06 86 07 00 00 00 01 00 00 1B 01 00 
00 7D 00 00 A2 34 12 04 06 07 7D 00 00 DC 26 00 
Alarms:
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
01 00 00 7D 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
Histogram:
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 0A 00 5F 00 00 00 01 00 05 00 06 00 
06 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
Log:
69 6A 6A 6A 6B 6B 6B 6B 6B 6B 6C 6C 6C 6C 6C 6C 
6C 6C 6C 6C 6C 6C 6C 6C 6C 6C 6C 6C 6C 6C 6C 6C 
6C 6C 6D 6D 6D 6D 6D 6D 6C 6D 6C 6D 6D 6D 6D 6D 
6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 
6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 6D 
6D 6D 6D 6D 6D 6D 6D 6C 6C 6C 6C 6C 6C 6C 6C 6C 
6C 6C 6C 6C 6C 6C 6C 6C 6D 78 7B 7E 83 86 84 83 
82 83 82 80 7D 7D 7A 78 77 7A 7C 7F 7D 
