DS1921:  A734C000018D2021
Download at: 7/27/2007 9:29:14 AM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/10/2007  15:01 
Mission Start delay: 0 minute(s)
Mission Samples: 805
Device total samples: 100632
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: -40.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Friday  07/27/2007  09:29:19 
Current PC Time: Friday  07/27/2007  09:29:18 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C to -38.5°C, 0
-38.0°C to -36.5°C, 0
-36.0°C to -34.5°C, 0
-34.0°C to -32.5°C, 0
-32.0°C to -30.5°C, 0
-30.0°C to -28.5°C, 0
-28.0°C to -26.5°C, 0
-26.0°C to -24.5°C, 0
-24.0°C to -22.5°C, 0
-22.0°C to -20.5°C, 0
-20.0°C to -18.5°C, 0
-18.0°C to -16.5°C, 0
-16.0°C to -14.5°C, 0
-14.0°C to -12.5°C, 0
-12.0°C to -10.5°C, 0
-10.0°C to -8.5°C, 0
-8.0°C to -6.5°C, 0
-6.0°C to -4.5°C, 0
-4.0°C to -2.5°C, 0
-2.0°C to -0.5°C, 0
0.0°C to 1.5°C, 0
2.0°C to 3.5°C, 0
4.0°C to 5.5°C, 0
6.0°C to 7.5°C, 0
8.0°C to 9.5°C, 1
10.0°C to 11.5°C, 4
12.0°C to 13.5°C, 249
14.0°C to 15.5°C, 551
16.0°C to 17.5°C, 0
18.0°C to 19.5°C, 0
20.0°C to 21.5°C, 0
22.0°C to 23.5°C, 0
24.0°C to 25.5°C, 0
26.0°C to 27.5°C, 0
28.0°C to 29.5°C, 0
30.0°C to 31.5°C, 0
32.0°C to 33.5°C, 0
34.0°C to 35.5°C, 0
36.0°C to 37.5°C, 0
38.0°C to 39.5°C, 0
40.0°C to 41.5°C, 0
42.0°C to 43.5°C, 0
44.0°C to 45.5°C, 0
46.0°C to 47.5°C, 0
48.0°C to 49.5°C, 0
50.0°C to 51.5°C, 0
52.0°C to 53.5°C, 0
54.0°C to 55.5°C, 0
56.0°C to 57.5°C, 0
58.0°C to 59.5°C, 0
60.0°C to 61.5°C, 0
62.0°C to 63.5°C, 0
64.0°C to 65.5°C, 0
66.0°C to 67.5°C, 0
68.0°C to 69.5°C, 0
70.0°C to 71.5°C, 0
72.0°C to 73.5°C, 0
74.0°C to 75.5°C, 0
76.0°C to 77.5°C, 0
78.0°C to 79.5°C, 0
80.0°C to 81.5°C, 0
82.0°C to 83.5°C, 0
84.0°C to 85.5°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 07/10/2007  15:01 , 12.5°C
 07/10/2007  15:31 , 12.5°C
 07/10/2007  16:01 , 12.5°C
 07/10/2007  16:31 , 13.0°C
 07/10/2007  17:01 , 13.0°C
 07/10/2007  17:31 , 13.5°C
 07/10/2007  18:01 , 13.5°C
