DS1921:  2A34C00004761121
Download at: 7/27/2007 9:31:46 AM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  05/25/2007  20:31 
Mission Start delay: 0 minute(s)
Mission Samples: 3003
Device total samples: 88295
Temperatures displayed in: (Celsius)
High Threshold: -40.0°C
Low Threshold: -40.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(H)
Current Real-Time Clock from DS1921: Friday  07/27/2007  09:33:30 
Current PC Time: Friday  07/27/2007  09:31:56 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
HIGH ,  05/25/2007  20:31  to  05/31/2007  03:31 
HIGH ,  05/31/2007  04:01  to  06/05/2007  11:01 
HIGH ,  06/05/2007  11:31  to  06/10/2007  18:31 
HIGH ,  06/10/2007  19:01  to  06/16/2007  02:01 
HIGH ,  06/16/2007  02:31  to  06/21/2007  09:31 
HIGH ,  06/21/2007  10:01  to  06/26/2007  17:01 
HIGH ,  06/26/2007  17:31  to  07/02/2007  00:31 
HIGH ,  07/02/2007  01:01  to  07/07/2007  08:01 
HIGH ,  07/07/2007  08:31  to  07/12/2007  15:31 
HIGH ,  07/12/2007  16:01  to  07/17/2007  23:01 
HIGH ,  07/17/2007  23:31  to  07/23/2007  06:31 
HIGH ,  07/23/2007  07:01  to  07/27/2007  09:31 

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C to -38.5°C, 0
-38.0°C to -36.5°C, 0
-36.0°C to -34.5°C, 0
-34.0°C to -32.5°C, 0
-32.0°C to -30.5°C, 0
-30.0°C to -28.5°C, 0
-28.0°C to -26.5°C, 0
-26.0°C to -24.5°C, 0
-24.0°C to -22.5°C, 0
-22.0°C to -20.5°C, 0
-20.0°C to -18.5°C, 0
-18.0°C to -16.5°C, 0
-16.0°C to -14.5°C, 0
-14.0°C to -12.5°C, 0
-12.0°C to -10.5°C, 0
-10.0°C to -8.5°C, 0
-8.0°C to -6.5°C, 0
-6.0°C to -4.5°C, 0
-4.0°C to -2.5°C, 0
-2.0°C to -0.5°C, 0
0.0°C to 1.5°C, 0
2.0°C to 3.5°C, 0
4.0°C to 5.5°C, 0
6.0°C to 7.5°C, 0
8.0°C to 9.5°C, 1456
10.0°C to 11.5°C, 1039
12.0°C to 13.5°C, 506
14.0°C to 15.5°C, 0
16.0°C to 17.5°C, 1
18.0°C to 19.5°C, 0
20.0°C to 21.5°C, 0
22.0°C to 23.5°C, 0
24.0°C to 25.5°C, 0
26.0°C to 27.5°C, 0
28.0°C to 29.5°C, 1
30.0°C to 31.5°C, 0
32.0°C to 33.5°C, 0
34.0°C to 35.5°C, 0
36.0°C to 37.5°C, 0
38.0°C to 39.5°C, 0
40.0°C to 41.5°C, 0
42.0°C to 43.5°C, 0
44.0°C to 45.5°C, 0
46.0°C to 47.5°C, 0
48.0°C to 49.5°C, 0
50.0°C to 51.5°C, 0
52.0°C to 53.5°C, 0
54.0°C to 55.5°C, 0
56.0°C to 57.5°C, 0
58.0°C to 59.5°C, 0
60.0°C to 61.5°C, 0
62.0°C to 63.5°C, 0
64.0°C to 65.5°C, 0
66.0°C to 67.5°C, 0
68.0°C to 69.5°C, 0
70.0°C to 71.5°C, 0
72.0°C to 73.5°C, 0
74.0°C to 75.5°C, 0
76.0°C to 77.5°C, 0
78.0°C to 79.5°C, 0
80.0°C to 81.5°C, 0
82.0°C to 83.5°C, 0
84.0°C to 85.5°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 05/25/2007  20:31 , 28.5°C
 05/25/2007  21:01 , 13.0°C
 05/25/2007  21:31 , 12.5°C
 05/25/2007  22:01 , 12.5°C
 05/25/2007  22:31 , 12.5°C
 05/25/2007  23:01 , 12.5°C
 05/25/2007  23:31 , 12.5°C
 05/26/2007  00:01 , 12.5°C
 05/26/2007  00:31 , 12.5°C
 05/26/2007  01:01 , 12.5°C
 05/26/2007  01:31 , 12.5°C
 05/26/2007  02:01 , 12.5°C
 05/26/2007  02:31 , 12.5°C
 05/26/2007  03:01 , 12.5°C
 05/26/2007  03:31 , 12.5°C
 05/26/2007  04:01 , 12.5°C
 05/26/2007  04:31 , 12.5°C
 05/26/2007  05:01 , 12.5°C
 05/26/2007  05:31 , 12.5°C
 05/26/2007  06:01 , 12.5°C
 05/26/2007  06:31 , 12.5°C
 05/26/2007  07:01 , 12.5°C
 05/26/2007  07:31 , 12.5°C
 05/26/2007  08:01 , 12.5°C
 05/26/2007  08:31 , 12.5°C
 05/26/2007  09:01 , 12.5°C
 05/26/2007  09:31 , 12.5°C
 05/26/2007  10:01 , 12.5°C
 05/26/2007  10:31 , 12.5°C
 05/26/2007  11:01 , 12.5°C
 05/26/2007  11:31 , 13.0°C
 05/26/2007  12:01 , 13.0°C
 05/26/2007  12:31 , 13.0°C
 05/26/2007  13:01 , 13.0°C
 05/26/2007  13:31 , 13.0°C
 05/26/2007  14:01 , 13.0°C
 05/26/2007  14:31 , 13.0°C
 05/26/2007  15:01 , 13.0°C
 05/26/2007  15:31 , 13.0°C
 05/26/2007  16:01 , 13.0°C
 05/26/2007  16:31 , 13.0°C
 05/26/2007  17:01 , 13.0°C
 05/26/2007  17:31 , 13.0°C
 05/26/2007  18:01 , 13.0°C
 05/26/2007  18:31 , 13.0°C
 05/26/2007  19:01 , 13.0°C
 05/26/2007  19:31 , 12.5°C
 05/26/2007  20:01 , 12.5°C
 05/26/2007  20:31 , 12.5°C
 05/26/2007  21:01 , 12.5°C
 05/26/2007  21:31 , 12.5°C
 05/26/2007  22:01 , 12.5°C
 05/26/2007  22:31 , 12.5°C
 05/26/2007  23:01 , 12.5°C
 05/26/2007  23:31 , 12.5°C
 05/27/2007  00:01 , 12.5°C
 05/27/2007  00:31 , 12.5°C
 05/27/2007  01:01 , 12.5°C
 05/27/2007  01:31 , 12.5°C
 05/27/2007  02:01 , 12.5°C
 05/27/2007  02:31 , 12.5°C
 05/27/2007  03:01 , 12.5°C
 05/27/2007  03:31 , 12.5°C
 05/27/2007  04:01 , 12.5°C
 05/27/2007  04:31 , 12.5°C
 05/27/2007  05:01 , 12.5°C
 05/27/2007  05:31 , 12.5°C
 05/27/2007  06:01 , 12.5°C
 05/27/2007  06:31 , 12.5°C
 05/27/2007  07:01 , 12.5°C
 05/27/2007  07:31 , 12.5°C
 05/27/2007  08:01 , 12.5°C
 05/27/2007  08:31 , 13.0°C
 05/27/2007  09:01 , 12.5°C
 05/27/2007  09:31 , 13.0°C
 05/27/2007  10:01 , 13.0°C
 05/27/2007  10:31 , 13.0°C
 05/27/2007  11:01 , 13.0°C
 05/27/2007  11:31 , 13.0°C
 05/27/2007  12:01 , 13.0°C
 05/27/2007  12:31 , 13.0°C
 05/27/2007  13:01 , 13.0°C
 05/27/2007  13:31 , 13.0°C
 05/27/2007  14:01 , 13.0°C
 05/27/2007  14:31 , 13.0°C
 05/27/2007  15:01 , 13.0°C
 05/27/2007  15:31 , 13.0°C
 05/27/2007  16:01 , 13.0°C
 05/27/2007  16:31 , 13.0°C
 05/27/2007  17:01 , 13.0°C
 05/27/2007  17:31 , 13.0°C
 05/27/2007  18:01 , 13.0°C
 05/27/2007  18:31 , 13.0°C
 05/27/2007  19:01 , 12.5°C
 05/27/2007  19:31 , 12.5°C
 05/27/2007  20:01 , 12.5°C
 05/27/2007  20:31 , 12.5°C
 05/27/2007  21:01 , 12.5°C
 05/27/2007  21:31 , 12.5°C
 05/27/2007  22:01 , 12.5°C
 05/27/2007  22:31 , 12.5°C
 05/27/2007  23:01 , 12.5°C
 05/27/2007  23:31 , 12.5°C
 05/28/2007  00:01 , 12.5°C
 05/28/2007  00:31 , 12.5°C
 05/28/2007  01:01 , 12.5°C
 05/28/2007  01:31 , 12.5°C
 05/28/2007  02:01 , 12.5°C
 05/28/2007  02:31 , 12.5°C
 05/28/2007  03:01 , 12.5°C
 05/28/2007  03:31 , 12.5°C
 05/28/2007  04:01 , 12.5°C
 05/28/2007  04:31 , 12.5°C
 05/28/2007  05:01 , 12.5°C
 05/28/2007  05:31 , 12.5°C
 05/28/2007  06:01 , 12.5°C
 05/28/2007  06:31 , 12.5°C
 05/28/2007  07:01 , 12.5°C
 05/28/2007  07:31 , 12.5°C
 05/28/2007  08:01 , 12.5°C
 05/28/2007  08:31 , 12.5°C
 05/28/2007  09:01 , 12.0°C
 05/28/2007  09:31 , 12.0°C
 05/28/2007  10:01 , 12.5°C
 05/28/2007  10:31 , 12.0°C
 05/28/2007  11:01 , 12.5°C
 05/28/2007  11:31 , 12.5°C
 05/28/2007  12:01 , 12.5°C
 05/28/2007  12:31 , 12.5°C
 05/28/2007  13:01 , 12.5°C
 05/28/2007  13:31 , 12.5°C
 05/28/2007  14:01 , 12.5°C
 05/28/2007  14:31 , 12.5°C
 05/28/2007  15:01 , 12.5°C
 05/28/2007  15:31 , 12.5°C
 05/28/2007  16:01 , 12.5°C
 05/28/2007  16:31 , 12.5°C
 05/28/2007  17:01 , 12.5°C
 05/28/2007  17:31 , 12.5°C
 05/28/2007  18:01 , 12.5°C
 05/28/2007  18:31 , 12.5°C
 05/28/2007  19:01 , 12.5°C
 05/28/2007  19:31 , 12.5°C
 05/28/2007  20:01 , 12.0°C
 05/28/2007  20:31 , 12.0°C
 05/28/2007  21:01 , 12.0°C
 05/28/2007  21:31 , 12.0°C
 05/28/2007  22:01 , 12.0°C
 05/28/2007  22:31 , 12.0°C
 05/28/2007  23:01 , 12.0°C
 05/28/2007  23:31 , 12.0°C
 05/29/2007  00:01 , 12.0°C
 05/29/2007  00:31 , 12.0°C
 05/29/2007  01:01 , 12.0°C
 05/29/2007  01:31 , 12.0°C
 05/29/2007  02:01 , 12.0°C
 05/29/2007  02:31 , 12.0°C
 05/29/2007  03:01 , 12.0°C
 05/29/2007  03:31 , 12.0°C
 05/29/2007  04:01 , 12.0°C
 05/29/2007  04:31 , 12.0°C
 05/29/2007  05:01 , 12.0°C
 05/29/2007  05:31 , 12.0°C
 05/29/2007  06:01 , 12.0°C
 05/29/2007  06:31 , 12.0°C
 05/29/2007  07:01 , 11.5°C
 05/29/2007  07:31 , 12.0°C
 05/29/2007  08:01 , 11.5°C
 05/29/2007  08:31 , 11.5°C
 05/29/2007  09:01 , 11.5°C
 05/29/2007  09:31 , 12.0°C
 05/29/2007  10:01 , 12.0°C
 05/29/2007  10:31 , 12.0°C
 05/29/2007  11:01 , 12.0°C
 05/29/2007  11:31 , 12.0°C
 05/29/2007  12:01 , 12.0°C
 05/29/2007  12:31 , 12.0°C
 05/29/2007  13:01 , 12.5°C
 05/29/2007  13:31 , 12.5°C
 05/29/2007  14:01 , 12.5°C
 05/29/2007  14:31 , 12.5°C
 05/29/2007  15:01 , 12.5°C
 05/29/2007  15:31 , 12.5°C
 05/29/2007  16:01 , 12.5°C
 05/29/2007  16:31 , 12.5°C
 05/29/2007  17:01 , 12.5°C
 05/29/2007  17:31 , 12.5°C
 05/29/2007  18:01 , 12.5°C
 05/29/2007  18:31 , 12.5°C
 05/29/2007  19:01 , 12.5°C
 05/29/2007  19:31 , 12.5°C
 05/29/2007  20:01 , 12.5°C
 05/29/2007  20:31 , 12.0°C
 05/29/2007  21:01 , 12.0°C
 05/29/2007  21:31 , 12.0°C
 05/29/2007  22:01 , 12.0°C
 05/29/2007  22:31 , 12.0°C
 05/29/2007  23:01 , 12.0°C
 05/29/2007  23:31 , 12.0°C
 05/30/2007  00:01 , 12.0°C
 05/30/2007  00:31 , 12.0°C
 05/30/2007  01:01 , 12.0°C
 05/30/2007  01:31 , 12.0°C
 05/30/2007  02:01 , 12.0°C
 05/30/2007  02:31 , 12.0°C
 05/30/2007  03:01 , 12.0°C
 05/30/2007  03:31 , 12.0°C
 05/30/2007  04:01 , 12.0°C
 05/30/2007  04:31 , 12.0°C
 05/30/2007  05:01 , 12.0°C
 05/30/2007  05:31 , 12.0°C
 05/30/2007  06:01 , 12.0°C
 05/30/2007  06:31 , 12.0°C
 05/30/2007  07:01 , 12.0°C
 05/30/2007  07:31 , 12.0°C
 05/30/2007  08:01 , 12.0°C
 05/30/2007  08:31 , 12.0°C
 05/30/2007  09:01 , 12.0°C
 05/30/2007  09:31 , 12.0°C
 05/30/2007  10:01 , 12.0°C
 05/30/2007  10:31 , 12.0°C
 05/30/2007  11:01 , 12.0°C
 05/30/2007  11:31 , 12.0°C
 05/30/2007  12:01 , 12.0°C
 05/30/2007  12:31 , 12.0°C
 05/30/2007  13:01 , 12.5°C
 05/30/2007  13:31 , 12.5°C
 05/30/2007  14:01 , 12.5°C
 05/30/2007  14:31 , 12.5°C
 05/30/2007  15:01 , 12.5°C
 05/30/2007  15:31 , 12.5°C
 05/30/2007  16:01 , 12.5°C
 05/30/2007  16:31 , 12.5°C
 05/30/2007  17:01 , 12.5°C
 05/30/2007  17:31 , 12.5°C
 05/30/2007  18:01 , 12.5°C
 05/30/2007  18:31 , 12.5°C
 05/30/2007  19:01 , 12.5°C
 05/30/2007  19:31 , 12.5°C
 05/30/2007  20:01 , 12.0°C
 05/30/2007  20:31 , 12.0°C
 05/30/2007  21:01 , 12.0°C
 05/30/2007  21:31 , 12.0°C
 05/30/2007  22:01 , 12.0°C
 05/30/2007  22:31 , 12.0°C
 05/30/2007  23:01 , 12.0°C
 05/30/2007  23:31 , 12.0°C
 05/31/2007  00:01 , 12.0°C
 05/31/2007  00:31 , 12.0°C
 05/31/2007  01:01 , 12.0°C
 05/31/2007  01:31 , 12.0°C
 05/31/2007  02:01 , 12.0°C
 05/31/2007  02:31 , 12.0°C
 05/31/2007  03:01 , 12.0°C
 05/31/2007  03:31 , 12.0°C
 05/31/2007  04:01 , 12.0°C
 05/31/2007  04:31 , 12.0°C
 05/31/2007  05:01 , 12.0°C
 05/31/2007  05:31 , 12.0°C
 05/31/2007  06:01 , 12.0°C
 05/31/2007  06:31 , 12.0°C
 05/31/2007  07:01 , 12.0°C
 05/31/2007  07:31 , 12.0°C
 05/31/2007  08:01 , 12.0°C
 05/31/2007  08:31 , 12.0°C
 05/31/2007  09:01 , 12.0°C
 05/31/2007  09:31 , 12.0°C
 05/31/2007  10:01 , 12.0°C
 05/31/2007  10:31 , 12.0°C
 05/31/2007  11:01 , 12.0°C
 05/31/2007  11:31 , 12.0°C
 05/31/2007  12:01 , 12.5°C
 05/31/2007  12:31 , 12.5°C
 05/31/2007  13:01 , 12.5°C
 05/31/2007  13:31 , 12.5°C
 05/31/2007  14:01 , 12.5°C
 05/31/2007  14:31 , 12.5°C
 05/31/2007  15:01 , 12.5°C
 05/31/2007  15:31 , 12.5°C
 05/31/2007  16:01 , 12.5°C
 05/31/2007  16:31 , 12.5°C
 05/31/2007  17:01 , 12.5°C
