DS1921:  8034C000003E6421
Download at: 7/27/2004 3:44:36 PM

Mission State
-------------
Mission is in progress
Sample rate: 10 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/18/2004  15:07 
Mission Start delay: 0 minute(s)
Mission Samples: 1300
Device total samples: 64429
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Tuesday  07/27/2004  15:44:58 
Current PC Time: Tuesday  07/27/2004  15:46:03 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)


Format: [Time/Date , Temperature] (Celsius)
 07/18/2004  15:17 , 49.0°C
 07/18/2004  15:27 , 52.0°C
 07/18/2004  15:37 , 51.5°C
 07/18/2004  15:47 , 50.5°C
 07/18/2004  15:57 , 51.0°C
 07/18/2004  16:07 , 51.0°C
 07/18/2004  16:17 , 50.5°C
 07/18/2004  16:27 , 50.5°C
 07/18/2004  16:37 , 50.5°C
 07/18/2004  16:47 , 50.0°C
 07/18/2004  16:57 , 45.5°C
 07/18/2004  17:07 , 48.5°C
 07/18/2004  17:17 , 49.5°C
 07/18/2004  17:27 , 50.0°C
 07/18/2004  17:37 , 49.0°C
 07/18/2004  17:47 , 49.5°C
 07/18/2004  17:57 , 49.0°C
 07/18/2004  18:07 , 49.0°C
 07/18/2004  18:17 , 50.0°C
 07/18/2004  18:27 , 49.5°C
 07/18/2004  18:37 , 50.0°C
 07/18/2004  18:47 , 50.0°C
 07/18/2004  18:57 , 49.0°C
 07/18/2004  19:07 , 49.5°C
 07/18/2004  19:17 , 50.0°C
 07/18/2004  19:27 , 49.0°C
 07/18/2004  19:37 , 50.0°C
 07/18/2004  19:47 , 49.5°C
 07/18/2004  19:57 , 49.5°C
 07/18/2004  20:07 , 49.5°C
 07/18/2004  20:17 , 49.5°C
 07/18/2004  20:27 , 49.0°C
 07/18/2004  20:37 , 49.5°C
 07/18/2004  20:47 , 49.0°C
 07/18/2004  20:57 , 49.0°C
 07/18/2004  21:07 , 50.0°C
 07/18/2004  21:17 , 49.0°C
 07/18/2004  21:27 , 49.0°C
 07/18/2004  21:37 , 49.0°C
 07/18/2004  21:47 , 49.0°C
 07/18/2004  21:57 , 49.0°C
 07/18/2004  22:07 , 49.0°C
 07/18/2004  22:17 , 49.5°C
 07/18/2004  22:27 , 50.5°C
 07/18/2004  22:37 , 49.5°C
 07/18/2004  22:47 , 48.5°C
 07/18/2004  22:57 , 49.0°C
 07/18/2004  23:07 , 49.5°C
 07/18/2004  23:17 , 49.0°C
 07/18/2004  23:27 , 49.5°C
 07/18/2004  23:37 , 49.0°C
 07/18/2004  23:47 , 48.5°C
 07/18/2004  23:57 , 49.0°C
 07/19/2004  00:07 , 49.5°C
 07/19/2004  00:17 , 48.5°C
 07/19/2004  00:27 , 49.0°C
 07/19/2004  00:37 , 49.0°C
 07/19/2004  00:47 , 48.5°C
 07/19/2004  00:57 , 49.0°C
 07/19/2004  01:07 , 49.0°C
 07/19/2004  01:17 , 49.0°C
 07/19/2004  01:27 , 50.0°C
 07/19/2004  01:37 , 49.0°C
 07/19/2004  01:47 , 49.0°C
 07/19/2004  01:57 , 49.0°C
 07/19/2004  02:07 , 48.5°C
 07/19/2004  02:17 , 49.0°C
