DS1921:  8034C000003E6421
Download at: 8/24/2004 2:59:57 PM

Mission State
-------------
Mission is in progress
Sample rate: 10 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  08/10/2004  08:01 
Mission Start delay: 0 minute(s)
Mission Samples: 2058
Device total samples: 67368
Temperatures displayed in: (Celsius)
High Threshold: 70.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Tuesday  08/24/2004  15:00:45 
Current PC Time: Tuesday  08/24/2004  15:01:19 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
-40.0°C, 0
-38.0°C, 0
-36.0°C, 0
-34.0°C, 0
-32.0°C, 0
-30.0°C, 0
-28.0°C, 0
-26.0°C, 0
-24.0°C, 0
-22.0°C, 0
-20.0°C, 0
-18.0°C, 0
-16.0°C, 0
-14.0°C, 0
-12.0°C, 0
-10.0°C, 0
-8.0°C, 0
-6.0°C, 0
-4.0°C, 0
-2.0°C, 0
0.0°C, 0
2.0°C, 0
4.0°C, 0
6.0°C, 0
8.0°C, 0
10.0°C, 0
12.0°C, 0
14.0°C, 0
16.0°C, 0
18.0°C, 0
20.0°C, 0
22.0°C, 0
24.0°C, 1
26.0°C, 1
28.0°C, 0
30.0°C, 2
32.0°C, 0
34.0°C, 1
36.0°C, 1
38.0°C, 2
40.0°C, 4
42.0°C, 2
44.0°C, 7
46.0°C, 115
48.0°C, 1046
50.0°C, 592
52.0°C, 58
54.0°C, 140
56.0°C, 86
58.0°C, 0
60.0°C, 0
62.0°C, 0
64.0°C, 0
66.0°C, 0
68.0°C, 0
70.0°C, 0
72.0°C, 0
74.0°C, 0
76.0°C, 0
78.0°C, 0
80.0°C, 0
82.0°C, 0
84.0°C, 0

Log Data
--------
Format: [Time/Date , Temperature] (Celsius)
 08/10/2004  08:01 , 50.0°C
 08/10/2004  08:11 , 50.5°C
 08/10/2004  08:21 , 50.0°C
 08/10/2004  08:31 , 49.5°C
 08/10/2004  08:41 , 50.0°C
 08/10/2004  08:51 , 50.5°C
 08/10/2004  09:01 , 51.0°C
 08/10/2004  09:11 , 50.5°C
 08/10/2004  09:21 , 50.5°C
 08/10/2004  09:31 , 51.0°C
 08/10/2004  09:41 , 51.0°C
 08/10/2004  09:51 , 51.0°C
 08/10/2004  10:01 , 50.5°C
 08/10/2004  10:11 , 50.5°C
 08/10/2004  10:21 , 50.5°C
 08/10/2004  10:31 , 51.0°C
 08/10/2004  10:41 , 50.0°C
 08/10/2004  10:51 , 50.0°C
 08/10/2004  11:01 , 50.5°C
 08/10/2004  11:11 , 49.5°C
 08/10/2004  11:21 , 49.5°C
 08/10/2004  11:31 , 50.0°C
 08/10/2004  11:41 , 50.0°C
 08/10/2004  11:51 , 48.0°C
 08/10/2004  12:01 , 48.5°C
 08/10/2004  12:11 , 49.5°C
 08/10/2004  12:21 , 50.0°C
 08/10/2004  12:31 , 50.5°C
 08/10/2004  12:41 , 51.0°C
