IndividualID,SpeciesName,Date,Site,StableIsotope,LiveMeasure,Height-MaxLength,Width-BarnacleHeight,Aperature-LimpetHeight,WholeWeight-AirDry,ShellWeight-OvenDry,ShellWeightWithOperculum,TissueWeight-Wet,TissueWetWithOperculum/Plates/Mantle,Operculum/MantleWeight,TissueWeight-OvenDry,ImmersedWholeWeight,FoilNumber,AshFreeDryMass,Comment
3070,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,40.80,26.90,31.70,9.125,,FALSE,0.732,FALSE,0.053,,,2379,,
3069,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,44.40,29.00,35.70,12.185,,FALSE,1.088,FALSE,0.081,,,2378,,
3068,Haustrum scobina,7/9/2007,Rakautara,TRUE,FALSE,13.60,9.70,10.60,0.506,,FALSE,0.036,FALSE,0.002,,,2377,,
3067,Haustrum scobina,7/9/2007,Rakautara,TRUE,FALSE,11.20,7.70,8.70,0.302,,FALSE,0.030,FALSE,0.002,,,2376,,
3066,Haustrum scobina,7/9/2007,Rakautara,TRUE,FALSE,12.90,9.20,10.70,0.490,,FALSE,0.043,FALSE,0.002,,,2375,,Damaged protoconch
3065,Haustrum scobina,7/9/2007,Rakautara,TRUE,FALSE,12.90,8.70,9.40,0.490,,FALSE,0.027,FALSE,0.001,,,2374,,
3064,Haustrum scobina,7/9/2007,Rakautara,TRUE,FALSE,11.00,7.20,8.60,0.229,,FALSE,0.023,FALSE,0.001,,,2373,,
3063,Haustrum scobina,7/9/2007,Rakautara,TRUE,FALSE,13.00,8.30,10.30,0.363,,FALSE,0.029,FALSE,0.002,,,2372,,
3062,Haustrum scobina,7/9/2007,Rakautara,TRUE,FALSE,11.70,7.80,9.10,0.334,,FALSE,0.031,FALSE,0.002,,,2371,,
3061,Haustrum scobina,7/9/2007,Rakautara,TRUE,FALSE,14.10,9.70,11.10,0.602,,FALSE,0.062,FALSE,0.003,,,2370,,
3060,Haustrum scobina,7/9/2007,Rakautara,TRUE,FALSE,11.30,8.00,9.20,0.295,,FALSE,0.027,FALSE,0.001,,,2369,,
3059,Haustrum scobina,7/9/2007,Rakautara,TRUE,FALSE,13.70,8.80,10.00,0.500,,FALSE,0.038,FALSE,0.001,,,2368,,
3058,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,25.70,18.10,21.30,2.889,,FALSE,0.227,FALSE,0.019,,,2367,,
3057,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,25.10,16.10,19.70,2.281,,FALSE,0.158,FALSE,0.012,,,2366,,chipped shell
3056,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,29.40,20.00,23.60,4.128,,FALSE,0.324,FALSE,0.023,,,2365,,
3055,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,29.20,19.80,23.30,3.675,,FALSE,0.290,FALSE,0.020,,,2364,,
3054,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,27.10,18.00,21.20,2.860,,FALSE,0.216,FALSE,0.016,,,2363,,
3053,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,40.10,29.10,32.10,11.656,,FALSE,0.907,FALSE,0.083,,,2362,,
3052,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,42.50,28.80,33.10,10.386,,FALSE,0.963,FALSE,0.072,,,2361,,
3051,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,44.80,28.80,35.90,13.459,,FALSE,1.065,FALSE,0.101,,,2360,,
3050,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,42.90,30.30,33.40,11.964,,FALSE,1.065,FALSE,0.085,,,2359,,
3049,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,42.90,29.10,35.80,11.700,,FALSE,0.982,FALSE,0.084,,,2358,,
3048,Haustrum haustorium,7/9/2007,Rakautara,TRUE,FALSE,43.70,31.00,35.90,13.573,,FALSE,1.241,FALSE,0.093,,,2357,,
3047,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,40.60,27.60,31.70,11.202,,FALSE,0.845,FALSE,0.072,,,2356,,
3046,Haustrum haustorium,6/15/2007,OkahuPoint,TRUE,FALSE,29.80,20.10,23.30,4.019,,FALSE,0.303,FALSE,0.027,,,2355,,
3045,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,41.00,26.30,30.40,9.582,,FALSE,0.769,FALSE,0.065,,,2354,,
3044,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,39.90,27.10,32.10,9.201,,FALSE,0.894,FALSE,0.077,,,2353,,
3043,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,41.60,29.00,33.50,11.360,,FALSE,1.005,FALSE,0.086,,,2352,,
3042,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,40.20,26.90,30.80,8.509,,FALSE,0.748,FALSE,0.058,,,2351,,
3041,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,43.20,28.50,33.20,10.725,,FALSE,0.893,FALSE,0.068,,,2350,,
3040,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,27.00,17.20,19.90,2.504,,FALSE,0.169,FALSE,0.011,,,2349,,
3039,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,41.50,26.50,30.80,9.310,,FALSE,0.833,FALSE,0.068,,,2348,,
3038,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,41.80,26.90,31.90,9.130,,FALSE,0.822,FALSE,0.063,,,2347,,
3037,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,40.80,27.30,32.30,9.304,,FALSE,0.906,FALSE,0.061,,,2346,,
3036,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,24.50,25.60,18.30,2.036,,FALSE,0.127,FALSE,0.008,,,2345,,
3035,Haustrum haustorium,6/15/2007,JacksonHead,TRUE,FALSE,28.70,18.70,22.00,3.207,,FALSE,0.236,FALSE,0.020,,,2344,,
