Plate,Name,Row,Column,Micro g N,Delta Air,Micro g C,Delta PDB
2007-awp,CHECK14,Z,13,100.5,1.53,385.1,-24.44
2007-awp,CHECK,Z,13,101.9,1.48,385.7,-24.44
2007-awp,CHECK,Z,13,98.1,1.75,394.6,-24.48
2007-awp,Novak A1,A,1,144.9,7.66,475.9,-17.92
2007-awp,Tray 1st of 3 A2,A,2,125.4,8.63,411.1,-17.73
2007-awp,A3,A,3,105.8,7.92,345.3,-17.88
2007-awp,A4,A,4,152.8,8.36,508.7,-17.80
2007-awp,A5,A,5,110.3,8.66,362.1,-17.64
2007-awp,A6,A,6,96.7,7.63,376.4,-18.71
2007-awp,A7,A,7,93.1,8.22,373.8,-18.93
2007-awp,A8,A,8,81.6,8.03,329.7,-18.90
2007-awp,A9,A,9,87.9,8.04,348.0,-18.57
2007-awp,A10,A,10,103.4,7.31,387.3,-18.81
2007-awp,A11,A,11,108.9,7.33,406.1,-18.70
2007-awp,A12,A,12,80.5,8.02,314.8,-18.19
2007-awp,CHECK,Z,14,102.5,1.69,381.2,-24.49
2007-awp,CHECK,Z,14,101.3,1.47,388.8,-24.50
2007-awp,B1,B,1,98.2,8.68,382.6,-18.30
2007-awp,B2,B,2,91.5,8.18,351.3,-18.19
2007-awp,B3,B,3,74.5,8.00,281.2,-18.08
2007-awp,B4,B,4,85.7,8.15,333.0,-18.19
2007-awp,B5,B,5,82.7,7.52,317.5,-18.85
2007-awp,B6,B,6,99.6,7.67,378.2,-18.65
2007-awp,B7,B,7,96.6,7.68,376.8,-18.87
2007-awp,B8,B,8,101.3,7.92,385.8,-18.35
2007-awp,B9,B,9,98.2,7.84,368.8,-18.30
2007-awp,B10,B,10,50.2,12.10,297.9,-16.44
2007-awp,B11,B,11,53.0,11.76,321.4,-19.36
2007-awp,B12,B,12,56.1,11.86,343.9,-19.62
2007-awp,CHECK,Z,15,103.7,1.24,388.3,-24.42
2007-awp,CHECK,Z,15,109.1,1.52,384.6,-24.50
2007-awp,C1,C,1,72.8,12.48,426.3,-19.38
2007-awp,C2,C,2,78.7,12.50,391.8,-19.60
2007-awp,C3,C,3,70.9,12.52,358.5,-18.72
2007-awp,C4,C,4,93.3,9.45,390.2,-18.54
2007-awp,C5,C,5,66.1,8.91,300.7,-19.00
2007-awp,C6,C,6,95.0,9.16,423.9,-19.26
2007-awp,C7,C,7,70.7,8.95,311.7,-18.91
2007-awp,C8,C,8,79.3,9.00,343.7,-18.78
2007-awp,C9,C,9,64.8,9.36,303.9,-18.35
2007-awp,C10,C,10,67.1,10.72,272.0,-18.29
2007-awp,C11,C,11,99.4,11.85,405.1,-18.72
2007-awp,C12,C,12,69.5,11.47,273.8,-18.73
2007-awp,CHECK,Z,16,95.9,1.43,385.3,-24.50
